,distância (m),intensidade do campo magnético superior na volta (μT),uy_lin,uB_lin,B_lin
2,0.055,43.099999999999994,0.01818181818181818,0.00046403712296983764,1.6344772701607315
4,0.065,27.35,0.015384615384615384,0.0007312614259597806,1.4369573306694496
5,0.075,18.58,0.013333333333333334,0.0010764262648008613,1.2690457096576229
6,0.085,15.43,0.011764705882352941,0.0012961762799740765,1.1883659260631483
0,0.095,11.75,0.010526315789473684,0.001702127659574468,1.070037866607755
1,0.105,9.95,0.009523809523809525,0.0020100502512562816,0.9978230807457255
3,0.115,8.45,0.008695652173913044,0.0023668639053254443,0.9268567089496923
