,fonte (v),Corrente (miliA),Tensão (v),Menor dígito,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
53,1.3,-4.27,-0.399,1.0,-42.699999999999996,-0.0006333532453010195,0.0002886751345948129,0.00040824829046386303,-0.06163205463345217,0.2886751345948129,0.4082482904638631,0.009344262295081968
54,1.5,-5.04,-0.521,1.0,-50.4,-0.0008446634438244226,0.0002886751345948129,0.00040824829046386303,-0.07274604731535247,0.2886751345948129,0.4082482904638631,0.010337301587301588
55,1.7,-5.41,-0.529,1.0,-54.1,-0.0008585198502849736,0.0002886751345948129,0.00040824829046386303,-0.07808653730535652,0.2886751345948129,0.4082482904638631,0.00977818853974122
56,1.9,-6.23,-0.605,1.0,-62.300000000000004,-0.0009901557116602081,0.0002886751345948129,0.00040824829046386303,-0.08992221782374385,0.2886751345948129,0.4082482904638631,0.009711075441412519
57,2.1,-6.65,-0.662,1.0,-66.5,-0.0010888826076916344,0.0002886751345948129,0.00040824829046386303,-0.09598439565023491,0.2886751345948129,0.4082482904638631,0.009954887218045114
58,2.3,-7.35,-0.718,1.0,-73.5,-0.0011858774529154915,0.0002886751345948129,0.00040824829046386303,-0.10608802536105336,0.2886751345948129,0.4082482904638631,0.009768707482993197
59,2.5,-7.86,-0.815,1.0,-78.60000000000001,-0.0013538863812496723,0.0002886751345948129,0.00040824829046386303,-0.1134492412932211,0.2886751345948129,0.4082482904638631,0.010368956743002544
60,2.7,-8.09,-0.847,1.0,-80.9,-0.0014093120070918766,0.0002886751345948129,0.00040824829046386303,-0.11676900534106144,0.2886751345948129,0.4082482904638631,0.010469715698393077
61,2.9,-9.35,-0.95,1.0,-93.5,-0.001587713240271471,0.0002886751345948129,0.00040824829046386303,-0.13495553882053465,0.2886751345948129,0.4082482904638631,0.010160427807486631
62,3.1,-9.67,-1.013,1.0,-96.7,-0.00169683244114831,0.0002886751345948129,0.00040824829046386303,-0.13957434097405166,0.2886751345948129,0.4082482904638631,0.010475698035160288
63,3.3,-10.47,-1.085,1.0,-104.7,-0.0018215400992932695,0.0002886751345948129,0.00040824829046386303,-0.15112134635784422,0.2886751345948129,0.4082482904638631,0.010362941738299904
64,3.5,-11.18,-1.172,1.0,-111.8,-0.0019722285195517618,0.0002886751345948129,0.00040824829046386303,-0.16136931363596005,0.2886751345948129,0.4082482904638631,0.010483005366726297
65,3.7,-11.57,-1.212,1.0,-115.7,-0.002041510551854517,0.0002886751345948129,0.00040824829046386303,-0.1669984787605589,0.2886751345948129,0.4082482904638631,0.010475367329299913
66,3.9,-11.95,-1.252,1.0,-119.5,-0.0021107925841572723,0.0002886751345948129,0.00040824829046386303,-0.17248330631786035,0.2886751345948129,0.4082482904638631,0.010476987447698745
67,4.1,-12.75,-1.336,1.0,-127.5,-0.0022562848519930576,0.0002886751345948129,0.00040824829046386303,-0.18403031170165288,0.2886751345948129,0.4082482904638631,0.010478431372549021
68,4.3,-13.55,-1.42,1.0,-135.5,-0.002401777119828843,0.0002886751345948129,0.00040824829046386303,-0.19557731708544537,0.2886751345948129,0.4082482904638631,0.01047970479704797
69,4.5,-14.09,-1.44,1.0,-140.9,-0.0024364181359802207,0.0002886751345948129,0.00040824829046386303,-0.20337154571950533,0.2886751345948129,0.4082482904638631,0.010220014194464158
70,4.7,-14.15,-1.483,1.0,-141.5,-0.002510896320705683,0.0002886751345948129,0.00040824829046386303,-0.20423757112328977,0.2886751345948129,0.4082482904638631,0.010480565371024736
71,4.9,-15.11,-1.541,1.0,-151.1,-0.002611355267544677,0.0002886751345948129,0.00040824829046386303,-0.21809397758384078,0.2886751345948129,0.4082482904638631,0.010198544010589014
72,5.1,-16.07,-1.599,1.0,-160.7,-0.002711814214383672,0.0002886751345948129,0.00040824829046386303,-0.2319503840443918,0.2886751345948129,0.4082482904638631,0.009950217797137523
73,5.3,-16.82,-1.758,1.0,-168.2,-0.0029872102927871237,0.0002886751345948129,0.00040824829046386303,-0.24277570159169728,0.2886751345948129,0.4082482904638631,0.010451843043995244
74,5.5,-17.68,-1.801,1.0,-176.8,-0.0030616884775125854,0.0002886751345948129,0.00040824829046386303,-0.25518873237927425,0.2886751345948129,0.4082482904638631,0.010186651583710406
75,5.7,-17.7,-1.811,1.0,-177.0,-0.0030790089855882745,0.0002886751345948129,0.00040824829046386303,-0.25547740751386905,0.2886751345948129,0.4082482904638631,0.010231638418079095
76,5.9,-18.61,-1.941,1.0,-186.1,-0.003304175590572228,0.0002886751345948129,0.00040824829046386303,-0.26861212613793306,0.2886751345948129,0.4082482904638631,0.010429876410531972
77,6.1,-19.25,-1.983,1.0,-192.5,-0.0033769217244901213,0.0002886751345948129,0.00040824829046386303,-0.2778497304449671,0.2886751345948129,0.4082482904638631,0.010301298701298702
78,6.3,-19.89,-2.024,1.0,-198.9,-0.0034479358076004453,0.0002886751345948129,0.00040824829046386303,-0.2870873347520011,0.2886751345948129,0.4082482904638631,0.010175967823026646
79,6.5,-20.33,-2.13,1.0,-203.29999999999998,-0.003631533193202746,0.0002886751345948129,0.00040824829046386303,-0.29343818771308694,0.2886751345948129,0.4082482904638631,0.010477127397934088
80,6.7,-21.07,-2.185,1.0,-210.7,-0.0037267959876190345,0.0002886751345948129,0.00040824829046386303,-0.304119167693095,0.2886751345948129,0.4082482904638631,0.010370194589463694
81,6.9,-21.81,-2.24,1.0,-218.1,-0.0038220587820353234,0.0002886751345948129,0.00040824829046386303,-0.3148001476731031,0.2886751345948129,0.4082482904638631,0.010270518110958277
82,7.1,-22.35,-2.279,1.0,-223.5,-0.003889608763530509,0.0002886751345948129,0.00040824829046386303,-0.32259437630716303,0.2886751345948129,0.4082482904638631,0.010196868008948546
83,7.3,-22.88,-2.317,1.0,-228.79999999999998,-0.003955426694218126,0.0002886751345948129,0.00040824829046386303,-0.33024426737392554,0.2886751345948129,0.4082482904638631,0.010126748251748254
84,7.5,-23.56,-2.467,1.0,-235.6,-0.004215234315353458,0.0002886751345948129,0.00040824829046386303,-0.3400592219501492,0.2886751345948129,0.4082482904638631,0.010471137521222411
85,7.7,-24.26,-2.47,1.0,-242.60000000000002,-0.004220430467776165,0.0002886751345948129,0.00040824829046386303,-0.3501628516609677,0.2886751345948129,0.4082482904638631,0.010181368507831821
86,7.9,-24.99,-2.62,1.0,-249.89999999999998,-0.004480238088911496,0.0002886751345948129,0.00040824829046386303,-0.3606994940736783,0.2886751345948129,0.4082482904638631,0.01048419367747099
87,8.1,-25.52,-2.647,1.0,-255.2,-0.004527003460715856,0.0002886751345948129,0.00040824829046386303,-0.3683493851404409,0.2886751345948129,0.4082482904638631,0.010372257053291535
88,8.3,-26.1,-2.721,1.0,-261.0,-0.004655175220475954,0.0002886751345948129,0.00040824829046386303,-0.37672096404369043,0.2886751345948129,0.4082482904638631,0.01042528735632184
89,8.5,-26.67,-2.795,1.0,-266.70000000000005,-0.00478334698023605,0.0002886751345948129,0.00040824829046386303,-0.38494820537964275,0.2886751345948129,0.4082482904638631,0.01047994000749906
90,8.7,-27.21,-2.86,1.0,-272.1,-0.0048959302827280265,0.0002886751345948129,0.00040824829046386303,-0.3927424340137026,0.2886751345948129,0.4082482904638631,0.010510841602352074
91,8.9,-28.06,-2.941,1.0,-280.59999999999997,-0.005036226398141106,0.0002886751345948129,0.00040824829046386303,-0.4050111272339821,0.2886751345948129,0.4082482904638631,0.010481111903064862
92,9.1,-28.63,-2.946,1.0,-286.3,-0.005044886652178951,0.0002886751345948129,0.00040824829046386303,-0.4132383685699343,0.2886751345948129,0.4082482904638631,0.010289905693328676
93,9.3,-29.2,-2.95,1.0,-292.0,-0.005051814855409226,0.0002886751345948129,0.00040824829046386303,-0.42146560990588644,0.2886751345948129,0.4082482904638631,0.010102739726027397
94,9.5,-29.91,-3.133,1.0,-299.1,-0.0053687801531943306,0.0002886751345948129,0.00040824829046386303,-0.43171357718400233,0.2886751345948129,0.4082482904638631,0.010474757606151788
95,9.7,-30.74,-3.196,1.0,-307.4,-0.0054778993540711704,0.0002886751345948129,0.00040824829046386303,-0.44369359526968705,0.2886751345948129,0.4082482904638631,0.010396877033181524
96,9.9,-31.08,-3.258,1.0,-310.79999999999995,-0.00558528650414044,0.0002886751345948129,0.00040824829046386303,-0.44860107255779885,0.2886751345948129,0.4082482904638631,0.010482625482625484
97,10.1,-31.57,-3.308,1.0,-315.7,-0.0056718890445188845,0.0002886751345948129,0.00040824829046386303,-0.4556736133553718,0.2886751345948129,0.4082482904638631,0.010478302185619258
