,fonte (v),Corrente (miliA),Tensão (v),Menor dígito,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
0,0.3,1.24,0.086,1.0,12.4,0.00020669139636988603,0.0002886751345948129,0.00040824829046386303,0.05161511406555255,0.2886751345948129,0.4082482904638631,0.006935483870967742
1,0.8,1.25,0.183,1.0,12.5,0.0003747003247040672,0.0002886751345948129,0.00040824829046386303,0.05196152422706632,0.2886751345948129,0.4082482904638631,0.01464
2,1.3,1.26,0.387,1.0,12.6,0.0007280386894481183,0.0002886751345948129,0.00040824829046386303,0.0523079343885801,0.2886751345948129,0.4082482904638631,0.030714285714285715
3,1.8,1.27,0.521,1.0,12.7,0.0009601334976623478,0.0002886751345948129,0.00040824829046386303,0.05265434455009387,0.2886751345948129,0.4082482904638631,0.0410236220472441
4,2.3,1.28,0.655,1.0,12.8,0.0011922283058765774,0.0002886751345948129,0.00040824829046386303,0.05300075471160765,0.2886751345948129,0.4082482904638631,0.051171875
5,2.8,1.29,0.891,1.0,12.9,0.0016009922964628322,0.0002886751345948129,0.00040824829046386303,0.05334716487312143,0.2886751345948129,0.4082482904638631,0.06906976744186047
6,3.3,1.3,1.039,1.0,13.0,0.001857335815983026,0.0002886751345948129,0.00040824829046386303,0.0536935750346352,0.2886751345948129,0.4082482904638631,0.07992307692307692
7,3.8,1.31,1.186,1.0,13.100000000000001,0.002111947284695651,0.0002886751345948129,0.00040824829046386303,0.054039985196148985,0.2886751345948129,0.4082482904638631,0.09053435114503815
8,4.3,1.32,1.267,1.0,13.200000000000001,0.00225224340010873,0.0002886751345948129,0.00040824829046386303,0.05438639535766275,0.2886751345948129,0.4082482904638631,0.09598484848484846
9,4.8,1.33,1.457,1.0,13.3,0.002581333053546817,0.0002886751345948129,0.00040824829046386303,0.05473280551917653,0.2886751345948129,0.4082482904638631,0.10954887218045113
10,5.3,1.34,1.565,1.0,13.4,0.0027683945407642554,0.0002886751345948129,0.00040824829046386303,0.055079215680690304,0.2886751345948129,0.4082482904638631,0.1167910447761194
11,5.8,1.35,1.806,1.0,13.5,0.0031858187853883555,0.0002886751345948129,0.00040824829046386303,0.055425625842204077,0.2886751345948129,0.4082482904638631,0.13377777777777777
12,6.3,1.36,3.896,1.0,13.600000000000001,0.0068058049732073085,0.0002886751345948129,0.00040824829046386303,0.055772036003717856,0.2886751345948129,0.4082482904638631,0.2864705882352941
13,6.8,1.37,2.131,1.0,13.700000000000001,0.00374873529784824,0.0002886751345948129,0.00040824829046386303,0.05611844616523163,0.2886751345948129,0.4082482904638631,0.15554744525547443
14,7.3,1.38,2.196,1.0,13.799999999999999,0.003861318600340218,0.0002886751345948129,0.00040824829046386303,0.0564648563267454,0.2886751345948129,0.4082482904638631,0.15913043478260872
15,7.8,1.39,2.228,1.0,13.899999999999999,0.003916744226182422,0.0002886751345948129,0.00040824829046386303,0.05681126648825917,0.2886751345948129,0.4082482904638631,0.1602877697841727
16,8.3,1.4,2.477,1.0,14.0,0.004348024877267072,0.0002886751345948129,0.00040824829046386303,0.057157676649772955,0.2886751345948129,0.4082482904638631,0.1769285714285714
17,8.8,1.41,2.63,1.0,14.1,0.00461302865082511,0.0002886751345948129,0.00040824829046386303,0.05750408681128673,0.2886751345948129,0.4082482904638631,0.18652482269503545
18,9.3,1.42,2.796,1.0,14.2,0.004900549084881543,0.0002886751345948129,0.00040824829046386303,0.0578504969728005,0.2886751345948129,0.4082482904638631,0.19690140845070422
19,9.8,1.43,3.012,1.0,14.299999999999999,0.005274672059316421,0.0002886751345948129,0.00040824829046386303,0.05819690713431428,0.2886751345948129,0.4082482904638631,0.21062937062937065
20,10.3,1.44,3.076,1.0,14.399999999999999,0.005385523311000829,0.0002886751345948129,0.00040824829046386303,0.05854331729582805,0.2886751345948129,0.4082482904638631,0.21361111111111114
21,0.5,1.45,-0.278,1.0,14.5,-0.00042377509758518536,0.0002886751345948129,0.00040824829046386303,0.058889727457341834,0.2886751345948129,0.4082482904638631,-0.01917241379310345
22,1.0,1.46,-0.335,1.0,14.6,-0.0005225019936166114,0.0002886751345948129,0.00040824829046386303,0.05923613761885561,0.2886751345948129,0.4082482904638631,-0.022945205479452058
23,1.5,1.47,-0.475,1.0,14.7,-0.0007649891066762542,0.0002886751345948129,0.00040824829046386303,0.05958254778036938,0.2886751345948129,0.4082482904638631,-0.03231292517006803
24,2.0,1.48,-0.632,1.0,14.8,-0.001036921083464568,0.0002886751345948129,0.00040824829046386303,0.05992895794188316,0.2886751345948129,0.4082482904638631,-0.042702702702702704
25,2.5,1.49,-0.797,1.0,14.9,-0.001322709466713433,0.0002886751345948129,0.00040824829046386303,0.06027536810339694,0.2886751345948129,0.4082482904638631,-0.05348993288590604
26,3.0,1.5,-0.92,1.0,15.0,-0.0015357517160444049,0.0002886751345948129,0.00040824829046386303,0.060621778264910706,0.2886751345948129,0.4082482904638631,-0.06133333333333334
27,3.5,1.51,-1.106,1.0,15.1,-0.001857913166252216,0.0002886751345948129,0.00040824829046386303,0.060968188426424486,0.2886751345948129,0.4082482904638631,-0.07324503311258279
28,4.0,1.52,-1.253,1.0,15.2,-0.002112524634964841,0.0002886751345948129,0.00040824829046386303,0.06131459858793826,0.2886751345948129,0.4082482904638631,-0.08243421052631579
