,fonte (v),Corrente (microA),Tensão (v),Menor dígito,Unnamed: 4,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
0,0.2,0.9,0.285,1.0000000000000001e-07,,9.000000000000001e-07,0.0005513695070760926,0.0002886751345948129,0.00040824829046386303,8.790157848412054e-08,2.8867513459481292e-08,4.082482904638631e-08,316666.6666666666
1,0.4,26.7,0.408,1.0000000000000001e-07,,2.67e-05,0.0007644117564070646,0.0002886751345948129,0.00040824829046386303,1.2514067084685138e-07,2.8867513459481292e-08,4.082482904638631e-08,15280.898876404493
2,0.6,219.0,0.492,1.0000000000000001e-07,,0.000219,0.0009099040242428504,0.0002886751345948129,0.00040824829046386303,4.027018127597641e-07,2.8867513459481292e-08,4.082482904638631e-08,2246.5753424657532
3,0.8,481.1,0.527,1.0000000000000001e-07,,0.00048110000000000004,0.0009705258025077611,0.0002886751345948129,0.00040824829046386303,7.810105766462664e-07,2.8867513459481292e-08,4.082482904638631e-08,1095.4063604240282
4,1.0,764.0,0.548,1e-06,,0.000764,0.0010068988694667074,0.0002886751345948129,0.00040824829046386303,1.189341554530629e-06,2.886751345948129e-07,4.0824829046386305e-07,717.2774869109948
5,1.2,1054.0,0.563,1e-06,,0.001054,0.0010328796315802406,0.0002886751345948129,0.00040824829046386303,1.6079204996931078e-06,2.886751345948129e-07,4.0824829046386305e-07,534.1555977229601
6,1.4,1399.0,0.577,1e-06,,0.001399,0.0010571283428862047,0.0002886751345948129,0.00040824829046386303,2.1058851068691604e-06,2.886751345948129e-07,4.0824829046386305e-07,412.43745532523224
7,1.6,1947.0,0.594,1e-06,,0.001947,0.0010865732066148758,0.0002886751345948129,0.00040824829046386303,2.896854975658947e-06,2.886751345948129e-07,4.0824829046386305e-07,305.08474576271186
8,1.8,2414.0,0.603,1e-06,,0.002414,0.0011021616638829956,0.0002886751345948129,0.00040824829046386303,3.5709114149378354e-06,2.886751345948129e-07,4.0824829046386305e-07,249.79287489643744
9,2.0,2948.0,0.612,1e-06,,0.002948,0.0011177501211511157,0.0002886751345948129,0.00040824829046386303,4.3416740243059865e-06,2.886751345948129e-07,4.0824829046386305e-07,207.59837177747625
10,2.2,3750.0,0.624,1e-06,,0.00375,0.001138534730841942,0.0002886751345948129,0.00040824829046386303,5.499261314031185e-06,2.886751345948129e-07,4.0824829046386305e-07,166.4
11,2.4,4424.0,0.631,1e-06,,0.004424,0.0011506590864949241,0.0002886751345948129,0.00040824829046386303,6.472096517615706e-06,2.886751345948129e-07,4.0824829046386305e-07,142.63110307414104
12,2.6,4876.0,0.636,1e-06,,0.004876,0.0011593193405327685,0.0002886751345948129,0.00040824829046386303,7.124502321799982e-06,2.886751345948129e-07,4.0824829046386305e-07,130.43478260869566
13,2.8,5485.0,0.642,1e-06,,0.005485,0.0011697116453781818,0.0002886751345948129,0.00040824829046386303,8.003518106641189e-06,2.886751345948129e-07,4.0824829046386305e-07,117.0464904284412
14,3.0,10850.0,0.65,1e-05,(troca de escala),0.01085,0.001183568051838733,0.0002886751345948129,0.00040824829046386303,1.652665145555304e-05,2.8867513459481293e-06,4.082482904638631e-06,59.90783410138249
15,3.2,11510.0,0.675,1e-05,,0.01151,0.0012268693220279549,0.0002886751345948129,0.00040824829046386303,1.7479279399715918e-05,2.8867513459481293e-06,4.082482904638631e-06,58.64465682015639
16,3.4,12460.0,0.679,1e-05,,0.01246,0.0012337975252582304,0.0002886751345948129,0.00040824829046386303,1.8850486289041286e-05,2.8867513459481293e-06,4.082482904638631e-06,54.49438202247191
17,3.6,13100.0,0.681,1e-05,,0.0131,0.001237261626873368,0.0002886751345948129,0.00040824829046386303,1.977424671974469e-05,2.8867513459481293e-06,4.082482904638631e-06,51.98473282442748
18,3.8,14130.0,0.684,1e-05,,0.01413,0.0012424577792960747,0.0002886751345948129,0.00040824829046386303,2.126092366290797e-05,2.8867513459481293e-06,4.082482904638631e-06,48.40764331210191
19,4.0,15020.0,0.687,1e-05,,0.01502,0.0012476539317187814,0.0002886751345948129,0.00040824829046386303,2.2545528011854893e-05,2.8867513459481293e-06,4.082482904638631e-06,45.739014647137154
20,4.2,16130.0,0.69,1e-05,,0.01613,0.0012528500841414878,0.0002886751345948129,0.00040824829046386303,2.41476750088561e-05,2.8867513459481293e-06,4.082482904638631e-06,42.77743335399876
21,4.4,16790.0,0.692,1e-05,,0.01679,0.0012563141857566255,0.0002886751345948129,0.00040824829046386303,2.510030295301898e-05,2.8867513459481293e-06,4.082482904638631e-06,41.215008933889216
22,4.6,17920.0,0.695,1e-05,,0.01792,0.0012615103381793324,0.0002886751345948129,0.00040824829046386303,2.6731317463479674e-05,2.8867513459481293e-06,4.082482904638631e-06,38.783482142857146
23,4.8,18700.0,0.697,1e-05,,0.0187,0.00126497443979447,0.0002886751345948129,0.00040824829046386303,2.785715048839945e-05,2.8867513459481293e-06,4.082482904638631e-06,37.272727272727266
24,5.0,19360.0,0.698,1e-05,,0.01936,0.0012667064906020389,0.0002886751345948129,0.00040824829046386303,2.8809778432562328e-05,2.8867513459481293e-06,4.082482904638631e-06,36.053719008264466
25,5.2,20530.0,0.701,1e-05,,0.02053,0.0012719026430247455,0.0002886751345948129,0.00040824829046386303,3.0498527969941985e-05,2.8867513459481293e-06,4.082482904638631e-06,34.14515343399903
26,5.4,21180.0,0.702,1e-05,,0.02118,0.0012736346938323144,0.0002886751345948129,0.00040824829046386303,3.143672215737513e-05,2.8867513459481293e-06,4.082482904638631e-06,33.14447592067988
27,5.6,22280.0,0.705,1e-05,,0.02228,0.001278830846255021,0.0002886751345948129,0.00040824829046386303,3.30244353976466e-05,2.8867513459481293e-06,4.082482904638631e-06,31.64272890484739
