time;Bx;By;Bz;BT
0,002047;0,23;-26,85;-0,15;26,85
0,021137;0,15;-26,85;-0,08;26,85
0,022084;0,15;-26,93;-0,30;26,93
0,029809;0,00;-26,93;-0,45;26,93
0,039734;0,00;-26,78;-0,08;26,78
0,050783;0,00;-26,78;-0,15;26,78
0,061383;-0,08;-26,40;0,00;26,40
0,069492;-0,15;-26,33;0,30;26,33
0,079971;0,00;-26,18;0,38;26,18
0,089498;-0,08;-26,25;0,53;26,26
0,106440;0,15;-26,25;0,75;26,26
0,110772;0,15;-26,10;0,68;26,11
0,119841;0,23;-26,33;0,45;26,33
0,129933;0,15;-26,25;0,45;26,25
0,140073;0,23;-26,55;0,38;26,55
0,150168;0,38;-26,55;0,45;26,56
0,162294;0,38;-26,70;0,45;26,71
0,169600;0,45;-26,85;0,30;26,86
0,179814;0,15;-26,85;0,23;26,85
0,189618;0,08;-27,00;0,45;27,00
0,199727;0,00;-26,93;0,53;26,93
0,210878;-0,08;-27,08;0,30;27,08
0,219717;-0,15;-26,93;0,15;26,93
0,229770;-0,15;-26,93;0,15;26,93
0,239413;-0,15;-26,93;0,15;26,93
0,258366;-0,15;-26,70;-0,08;26,70
0,261135;-0,08;-26,70;-0,15;26,70
0,270563;-0,15;-26,78;-0,30;26,78
0,279644;-0,08;-26,78;-0,23;26,78
0,289556;0,00;-26,70;0,08;26,70
0,299836;0,08;-26,70;-0,23;26,70
0,311145;0,30;-26,63;-0,30;26,63
0,319706;0,38;-26,70;-0,38;26,71
0,330711;0,45;-26,78;-0,30;26,78
0,339340;0,45;-26,85;-0,08;26,85
0,350282;0,45;-26,85;-0,15;26,85
0,360472;0,23;-26,78;-0,23;26,78
0,370988;0,38;-26,70;-0,30;26,70
0,389196;0,45;-26,63;-0,08;26,63
0,390421;0,15;-26,48;0,08;26,48
0,400038;0,23;-26,33;-0,15;26,33
0,409484;0,23;-26,25;-0,15;26,25
0,419696;0,08;-26,40;-0,30;26,40
0,429795;0,15;-26,40;-0,30;26,40
0,439714;0,15;-26,48;-0,23;26,48
0,449748;0,15;-26,48;-0,45;26,48
0,459770;0,15;-26,55;-0,38;26,55
0,469857;0,45;-26,55;-0,53;26,56
0,480036;0,45;-26,40;-0,30;26,41
0,490374;0,38;-26,40;-0,30;26,40
0,499868;0,23;-26,10;-0,45;26,10
0,518931;0,15;-26,10;-0,23;26,10
0,519635;0,30;-26,10;-0,23;26,10
0,535672;0,45;-26,03;0,08;26,03
0,539585;0,23;-26,18;-0,15;26,18
0,549630;0,30;-26,33;0,15;26,33
0,559854;0,30;-26,25;0,15;26,25
0,569733;0,45;-26,33;0,15;26,33
0,580091;0,60;-26,55;0,15;26,56
0,589695;0,75;-26,25;0,00;26,26
0,600474;0,75;-26,25;-0,15;26,26
0,609653;0,45;-26,25;-0,08;26,25
0,620328;0,60;-25,95;-0,15;25,96
0,631357;0,15;-26,03;-0,30;26,03
0,644440;0,15;-26,25;-0,53;26,26
0,650277;0,08;-26,18;-0,83;26,19
0,660539;0,08;-25,95;-0,53;25,96
0,670624;0,15;-25,95;-0,45;25,95
0,680440;-0,15;-25,80;-0,60;25,81
0,695918;0,15;-25,88;-0,45;25,88
0,699628;0,15;-25,95;-0,45;25,95
0,715439;0,15;-25,95;-0,23;25,95
0,719810;0,08;-26,03;-0,23;26,03
0,729701;0,08;-26,10;0,15;26,10
0,742908;0,08;-26,18;0,15;26,18
0,749569;0,15;-26,33;0,15;26,33
0,759933;0,30;-26,63;0,30;26,63
0,770225;0,15;-26,63;0,15;26,63
0,780298;0,23;-26,55;-0,08;26,55
0,790074;0,30;-26,33;-0,30;26,33
0,800472;0,15;-26,55;-0,30;26,55
0,812778;0,15;-26,55;-0,45;26,55
0,819526;0,00;-26,55;-0,45;26,55
0,829762;-0,15;-26,48;-0,45;26,48
0,841641;-0,45;-26,48;-0,45;26,48
0,850112;-0,53;-26,40;-0,45;26,41
0,860561;-0,75;-26,70;-0,23;26,71
0,870057;-0,53;-26,78;0,00;26,78
0,879926;-0,23;-26,48;0,23;26,48
0,893035;-0,38;-26,48;0,38;26,48
0,900038;-0,45;-26,85;0,23;26,85
0,909740;-0,45;-27,08;0,45;27,08
0,919677;-0,15;-26,93;0,30;26,93
0,930291;-0,15;-26,85;0,38;26,85
0,939551;-0,15;-26,70;0,53;26,71
0,950586;-0,15;-26,78;0,45;26,78
0,961473;-0,38;-26,85;0,23;26,85
0,970897;-0,15;-26,85;0,15;26,85
0,979848;-0,15;-26,55;0,15;26,55
0,990611;0,08;-26,55;-0,15;26,55
0,999751;0,15;-26,48;-0,15;26,48
1,010128;0,23;-26,63;-0,30;26,63
1,020135;0,15;-26,63;-0,38;26,63
1,030138;0,15;-26,55;-0,53;26,56
1,040663;0,15;-26,48;-0,60;26,48
1,049863;0,08;-26,55;-0,75;26,56
1,060256;0,15;-26,25;-0,75;26,26
1,069697;0,15;-26,25;-0,53;26,26
1,083418;0,15;-26,55;-0,45;26,55
1,100645;0,30;-26,55;-0,38;26,55
1,101733;0,38;-26,55;-0,45;26,56
1,109848;0,45;-26,33;-0,38;26,33
1,119834;0,38;-26,55;-0,30;26,55
1,129782;0,60;-26,55;-0,15;26,56
1,140002;0,45;-26,85;-0,30;26,86
1,149516;0,30;-26,85;-0,68;26,86
1,159744;-0,08;-26,85;-0,75;26,86
1,169885;-0,08;-26,70;-0,75;26,71
1,180181;-0,30;-26,93;-0,68;26,94
1,190375;-0,45;-27,30;-0,60;27,31
1,200451;-0,75;-27,30;-0,45;27,31
1,209753;-0,60;-27,30;-0,23;27,31
1,219914;-0,45;-27,15;-0,45;27,16
1,233332;-0,45;-27,23;-0,23;27,23
1,247733;-0,30;-27,15;-0,08;27,15
1,249586;-0,45;-27,45;-0,08;27,45
1,259706;-0,23;-27,15;0,15;27,15
1,269723;-0,15;-26,85;0,00;26,85
1,279829;0,23;-26,85;-0,30;26,85
1,289863;0,08;-26,85;-0,53;26,86
1,301060;0,23;-27,00;-0,38;27,00
1,309909;0,45;-26,85;-0,45;26,86
1,320950;0,45;-27,00;-0,45;27,01
1,330376;0,75;-26,85;-0,45;26,86
1,339889;0,75;-27,00;-0,53;27,02
1,349749;0,75;-26,85;-0,45;26,86
1,368258;0,45;-26,93;-0,15;26,93
1,371750;0,53;-27,08;-0,08;27,08
