time;Bx;By;Bz;BT
0,001665;0,08;-25,95;-0,08;25,95
0,002312;0,15;-26,03;-0,08;26,03
0,013677;0,15;-25,80;0,15;25,80
0,021398;0,15;-25,65;0,15;25,65
0,037288;0,15;-25,43;0,15;25,43
0,041291;-0,08;-25,43;0,15;25,43
0,051373;0,15;-25,28;0,15;25,28
0,062662;0,38;-25,43;0,15;25,43
0,071381;0,23;-25,28;0,30;25,28
0,081454;0,23;-25,05;0,38;25,05
0,091409;0,45;-24,98;0,23;24,98
0,103341;0,45;-25,13;0,30;25,13
0,118408;0,38;-25,05;0,23;25,05
0,121242;0,60;-25,05;0,08;25,06
0,131408;0,60;-25,13;0,08;25,13
0,141668;0,60;-25,05;0,15;25,06
0,151362;0,98;-25,05;0,08;25,07
0,161423;1,05;-25,13;-0,08;25,15
0,171406;0,98;-25,35;-0,08;25,37
0,181416;1,20;-25,28;-0,08;25,30
0,191456;1,05;-25,65;-0,08;25,67
0,201451;1,12;-25,65;-0,15;25,68
0,220012;1,12;-25,50;0,00;25,52
0,221394;1,05;-25,65;0,00;25,67
0,231682;0,60;-25,65;0,00;25,66
0,241696;0,45;-25,65;0,00;25,65
0,251703;0,15;-25,58;0,08;25,58
0,262984;-0,15;-25,43;0,08;25,43
0,271714;-0,15;-25,28;-0,30;25,28
0,282865;-0,45;-25,35;-0,30;25,36
0,292025;-0,68;-25,43;-0,45;25,44
0,303134;-0,83;-25,58;-0,68;25,60
0,323976;-0,45;-25,58;-0,75;25,59
0,326677;-0,30;-25,58;-0,60;25,58
0,331573;-0,08;-25,65;-0,68;25,66
0,343392;0,00;-25,58;-0,75;25,59
0,351763;-0,15;-25,43;-0,30;25,43
0,361524;0,15;-25,35;-0,15;25,35
0,371547;0,15;-25,43;-0,15;25,43
0,381743;0,30;-25,43;-0,15;25,43
0,392029;0,45;-25,50;-0,30;25,51
0,401892;0,38;-25,65;-0,15;25,65
0,414919;0,45;-25,65;0,00;25,65
0,421953;0,45;-25,58;-0,15;25,58
0,433561;0,53;-25,73;-0,15;25,73
0,442857;0,23;-25,65;-0,15;25,65
0,451805;0,45;-25,43;-0,23;25,43
0,461851;0,30;-25,50;0,00;25,50
0,471830;-0,15;-25,43;0,23;25,43
0,481979;-0,15;-25,35;0,08;25,35
0,493408;-0,15;-25,35;-0,08;25,35
0,502368;-0,15;-25,35;0,15;25,35
0,511734;-0,15;-25,35;0,15;25,35
0,522241;-0,15;-25,50;-0,08;25,50
0,536889;-0,08;-25,58;0,15;25,58
0,549629;0,15;-25,50;0,08;25,50
0,551392;0,15;-25,58;-0,30;25,58
0,561506;0,23;-25,65;-0,15;25,65
0,571660;0,23;-25,80;-0,15;25,80
0,581911;0,30;-25,88;-0,15;25,88
0,593137;0,60;-26,03;-0,30;26,03
0,602218;0,75;-26,10;-0,38;26,11
0,613201;0,45;-26,25;-0,45;26,26
0,621838;0,30;-26,25;-0,53;26,26
0,632721;0,45;-26,25;-0,30;26,26
0,647917;0,45;-26,18;-0,15;26,18
0,655294;0,45;-25,95;-0,15;25,95
0,661514;0,68;-26,10;0,00;26,11
0,671837;0,38;-26,10;0,08;26,10
0,681858;0,15;-25,95;0,15;25,95
0,691972;0,45;-25,95;0,30;25,96
0,701966;0,15;-26,03;0,30;26,03
0,712416;0,23;-25,95;0,30;25,95
0,721923;0,30;-25,95;0,23;25,95
0,732984;0,00;-25,95;0,30;25,95
0,747373;-0,30;-25,88;0,15;25,88
0,751389;-0,08;-25,80;-0,23;25,80
0,763732;0,00;-25,65;-0,08;25,65
0,771576;0,15;-25,58;-0,23;25,58
0,784275;0,15;-25,43;0,08;25,43
0,791598;0,15;-25,43;-0,08;25,43
0,802023;0,38;-25,35;-0,15;25,35
0,811730;0,53;-25,50;-0,30;25,51
0,821980;0,75;-25,43;-0,15;25,44
0,835258;0,45;-25,43;0,15;25,43
0,849081;0,53;-25,58;0,08;25,58
0,851529;0,45;-25,50;0,15;25,50
0,861452;0,75;-25,65;0,00;25,66
0,874279;0,75;-25,65;0,08;25,66
0,882302;0,60;-25,65;0,23;25,66
0,891754;0,53;-25,43;0,30;25,43
0,901576;0,68;-25,65;0,23;25,66
0,911890;0,90;-25,58;0,30;25,59
0,929192;0,75;-25,50;0,23;25,51
0,932579;0,75;-25,65;0,23;25,66
0,947263;0,53;-25,65;0,15;25,66
0,951549;0,38;-25,65;0,08;25,65
0,962378;0,38;-25,73;-0,08;25,73
0,972040;0,38;-25,80;-0,30;25,80
0,985062;0,30;-25,65;-0,15;25,65
0,992027;0,08;-25,73;-0,45;25,73
1,001494;0,38;-25,73;-0,38;25,73
1,012165;0,08;-25,65;-0,45;25,65
1,030252;0,15;-25,50;0,08;25,50
1,032126;0,23;-25,65;-0,08;25,65
1,047862;0,23;-25,65;-0,08;25,65
1,051406;0,15;-25,65;0,15;25,65
1,061531;0,00;-25,65;0,15;25,65
1,072186;0,08;-25,80;0,15;25,80
