time;Bx;By;Bz;BT
0,002183;-0,15;-25,88;-0,30;25,88
0,023148;0,00;-25,80;-0,23;25,80
0,024002;0,00;-25,65;-0,15;25,65
0,032516;0,15;-25,58;0,08;25,58
0,046754;0,15;-25,35;0,08;25,35
0,057319;0,08;-25,35;0,15;25,35
0,061850;0,30;-25,35;0,53;25,36
0,072033;0,53;-25,35;0,45;25,36
0,082702;0,53;-25,50;0,15;25,51
0,092908;0,23;-25,35;0,15;25,35
0,102112;0,15;-25,35;0,15;25,35
0,112186;0,15;-25,50;0,08;25,50
0,122137;0,23;-25,58;-0,08;25,58
0,138188;0,15;-25,35;-0,08;25,35
0,142015;0,15;-25,35;-0,15;25,35
0,154064;-0,08;-25,58;0,15;25,58
0,165942;0,15;-25,58;0,38;25,58
0,172840;0,15;-25,65;0,45;25,65
0,182309;0,15;-25,65;0,53;25,66
0,192546;0,00;-25,65;0,45;25,65
0,202152;-0,23;-25,80;0,45;25,80
0,212250;-0,45;-25,73;0,15;25,73
0,222093;-0,45;-25,65;0,23;25,65
0,232343;-0,45;-25,80;0,08;25,80
0,243197;-0,68;-25,95;-0,15;25,96
0,252398;-0,60;-25,80;-0,38;25,81
0,262225;-0,75;-25,80;-0,23;25,81
0,288005;-0,90;-25,65;-0,23;25,67
0,288759;-0,68;-25,58;-0,38;25,59
0,292600;-0,60;-25,73;-0,23;25,73
0,302946;-0,30;-25,80;-0,23;25,80
0,311953;-0,23;-25,35;0,08;25,35
0,322157;0,00;-25,28;0,15;25,28
0,332756;0,08;-25,35;0,30;25,35
0,342642;0,15;-25,35;-0,08;25,35
0,352209;0,30;-25,65;-0,08;25,65
0,362053;0,15;-25,58;-0,08;25,58
0,371992;0,45;-25,50;0,08;25,50
0,387338;0,08;-25,65;0,08;25,65
0,395443;-0,08;-26,18;-0,08;26,18
0,402382;-0,08;-26,25;-0,23;26,25
0,413343;0,08;-26,25;-0,38;26,25
0,422025;0,00;-26,40;-0,08;26,40
0,432417;-0,15;-26,55;0,00;26,55
0,442553;0,15;-26,40;0,08;26,40
