time;Bx;By;Bz;BT
0,002430;0,23;-26,10;0,23;26,10
0,017599;0,23;-26,25;0,30;26,25
0,018319;0,30;-26,33;0,23;26,33
0,024610;0,15;-26,25;0,30;26,25
0,034706;0,08;-26,18;0,45;26,18
0,051418;0,45;-26,10;0,30;26,11
0,056347;0,60;-26,10;0,60;26,11
0,064702;0,53;-26,25;0,45;26,26
0,074657;0,45;-26,25;0,75;26,26
0,084794;0,15;-26,25;0,53;26,26
0,094796;0,15;-26,25;0,38;26,25
0,105139;0,15;-26,25;0,45;26,25
0,117806;0,15;-26,40;0,45;26,40
0,124697;0,15;-26,33;0,30;26,33
0,134610;0,15;-26,25;0,15;26,25
0,152300;0,15;-25,80;0,15;25,80
0,154705;0,08;-25,73;0,08;25,73
0,164732;0,08;-25,73;0,08;25,73
0,174588;0,15;-25,65;0,15;25,65
0,184626;0,08;-25,73;0,15;25,73
0,194583;0,15;-25,35;0,08;25,35
0,205868;-0,08;-25,58;0,15;25,58
0,214689;-0,30;-25,73;-0,15;25,73
0,228933;-0,45;-26,03;0,00;26,03
0,234474;-0,45;-26,10;0,15;26,10
0,252572;-0,38;-25,88;0,00;25,88
0,255460;-0,53;-25,95;0,23;25,96
0,264638;-0,45;-25,95;0,15;25,95
0,274577;-0,68;-26,10;0,08;26,11
0,284596;-0,68;-26,10;0,00;26,11
0,294646;-0,30;-26,03;-0,08;26,03
0,305084;0,00;-25,95;-0,30;25,95
0,314712;0,15;-25,88;-0,53;25,88
0,324711;0,45;-25,73;-0,53;25,73
0,350952;0,45;-25,88;-0,75;25,89
0,352145;0,30;-25,73;-0,75;25,74
0,354469;0,53;-25,88;-0,75;25,89
0,364933;0,60;-25,80;-0,53;25,81
0,374969;0,68;-25,73;-0,38;25,74
0,384498;0,45;-25,88;-0,15;25,88
0,394821;0,45;-25,95;-0,15;25,95
0,404848;0,15;-26,10;0,15;26,10
0,414554;0,23;-26,10;0,15;26,10
0,424978;0,15;-26,25;0,23;26,25
0,434997;0,23;-26,25;0,38;26,25
0,448565;0,30;-26,40;0,30;26,40
0,459606;0,15;-26,55;0,45;26,55
0,464569;0,23;-26,40;0,53;26,41
0,474803;0,38;-26,40;0,68;26,41
0,487138;0,53;-26,55;0,68;26,56
0,495072;0,53;-26,55;0,75;26,57
0,504955;0,38;-26,40;0,75;26,41
0,514805;0,15;-26,18;0,75;26,19
0,524894;0,23;-26,03;0,90;26,04
0,548101;0,23;-25,73;0,68;25,73
0,548898;0,15;-25,95;0,30;25,95
0,561871;0,30;-25,95;0,38;25,95
0,564525;0,38;-25,80;0,15;25,80
0,575021;0,30;-25,88;-0,15;25,88
0,584871;0,68;-25,95;-0,15;25,96
0,594736;0,75;-26,10;-0,23;26,11
0,604791;0,68;-26,33;-0,53;26,34
0,614758;0,60;-26,40;-0,30;26,41
0,626917;0,23;-26,33;-0,15;26,33
0,641566;0,00;-26,40;-0,30;26,40
0,645022;-0,15;-26,63;-0,15;26,63
0,658319;-0,45;-26,55;-0,30;26,56
0,668470;-0,15;-26,70;-0,15;26,70
0,674794;-0,15;-26,48;-0,23;26,48
0,686052;-0,15;-26,25;-0,15;26,25
0,694736;-0,15;-26,40;-0,23;26,40
0,704753;0,15;-26,25;-0,30;26,25
0,714409;0,15;-26,25;-0,45;26,25
0,725103;0,23;-26,18;-0,30;26,18
0,741574;0,45;-26,03;0,15;26,03
0,744517;0,15;-25,95;-0,15;25,95
0,756517;0,15;-25,95;-0,15;25,95
0,764662;0,15;-25,95;0,08;25,95
0,778041;0,15;-25,95;0,23;25,95
0,785794;0,38;-25,88;-0,08;25,88
0,794593;0,38;-25,95;0,15;25,95
0,804736;0,23;-25,88;-0,30;25,88
0,814694;0,23;-25,80;-0,53;25,81
0,824934;0,45;-25,80;-0,15;25,80
0,848181;0,45;-25,95;0,00;25,95
0,848958;0,45;-26,25;-0,15;26,25
0,864117;0,45;-26,25;-0,38;26,26
0,865855;0,15;-26,40;-0,30;26,40
0,874601;0,15;-26,25;-0,38;26,25
0,888980;0,30;-26,03;-0,30;26,03
0,894467;0,38;-25,95;-0,30;25,95
0,905344;0,23;-26,18;-0,45;26,18
0,914881;0,15;-26,10;-0,53;26,11
0,924871;0,15;-25,73;-0,45;25,73
0,941259;0,00;-25,65;-0,45;25,65
0,945222;0,30;-25,50;-0,15;25,50
0,957816;0,38;-25,65;-0,15;25,65
0,964842;0,30;-25,88;-0,08;25,88
0,974684;0,15;-26,03;0,15;26,03
0,984568;0,15;-25,73;-0,15;25,73
0,997667;0,53;-25,65;0,08;25,66
1,004693;0,75;-25,65;0,08;25,66
1,014783;1,05;-25,65;0,15;25,67
1,024907;0,83;-25,95;0,23;25,96
1,044124;0,90;-25,95;0,08;25,97
1,044751;0,83;-25,95;0,00;25,96
1,055915;0,75;-25,95;0,00;25,96
1,064695;0,75;-26,10;0,08;26,11
1,074692;0,75;-26,10;-0,15;26,11
1,084710;0,38;-26,25;-0,15;26,25
1,094485;0,08;-26,18;-0,30;26,18
1,108296;0,30;-26,03;-0,60;26,03
1,114604;0,23;-25,95;-0,60;25,96
1,125625;0,30;-25,80;-0,38;25,80
1,144729;0,45;-25,88;-0,38;25,88
1,145703;0,08;-25,95;-0,45;25,95
1,159219;0,00;-25,95;-0,23;25,95
1,164485;0,15;-25,95;-0,38;25,95
1,174613;0,15;-26,18;-0,15;26,18
1,184704;0,30;-26,10;0,15;26,10
1,196409;0,23;-26,03;0,45;26,03
1,204905;0,15;-26,03;0,15;26,03
1,219220;0,38;-26,18;0,23;26,18
1,224700;0,60;-26,10;0,15;26,11
1,236412;0,53;-26,25;0,23;26,26
1,244395;0,45;-26,48;0,30;26,48
1,255470;0,30;-26,40;0,15;26,40
1,265024;0,15;-26,63;0,08;26,63
1,274620;0,45;-26,85;-0,15;26,85
1,284375;0,45;-26,85;0,15;26,85
1,294669;0,38;-26,78;-0,15;26,78
1,304579;0,38;-26,55;-0,15;26,55
1,315229;0,30;-26,25;-0,08;26,25
1,327911;0,38;-26,03;-0,15;26,03
1,338299;0,60;-25,95;-0,15;25,96
1,344400;0,45;-25,95;-0,30;25,96
1,354372;0,15;-25,88;-0,08;25,88
1,364530;-0,08;-26,10;-0,15;26,10
1,374625;-0,15;-26,18;-0,15;26,18
1,384603;-0,15;-26,33;-0,08;26,33
1,394753;-0,23;-26,70;-0,08;26,70
1,404908;-0,23;-26,70;0,00;26,70
1,417643;-0,45;-26,70;0,15;26,70
1,425278;-0,08;-26,48;0,15;26,48
1,438511;-0,08;-26,33;0,15;26,33
1,444877;0,15;-26,18;0,08;26,18
1,458829;0,15;-26,10;0,30;26,10
1,464739;0,38;-25,95;0,30;25,95
1,474663;0,23;-25,95;0,08;25,95
1,484696;0,15;-26,18;-0,15;26,18
