time;Bx;By;Bz;BT
1,374941;0,15;-25,35;-0,08;25,35
1,387115;-0,08;-25,43;0,08;25,43
1,394170;0,08;-25,35;0,15;25,35
1,404094;-0,15;-25,28;0,30;25,28
1,414061;-0,15;-25,28;0,30;25,28
1,425132;-0,38;-25,05;0,38;25,06
1,434232;-0,45;-24,83;0,38;24,83
1,444393;-0,38;-24,90;0,15;24,90
1,454229;-0,38;-24,98;0,15;24,98
1,465268;-0,23;-24,98;0,15;24,98
1,474193;-0,38;-24,98;-0,23;24,98
1,492717;-0,38;-24,90;-0,45;24,91
1,494295;-0,38;-24,90;-0,45;24,91
1,508896;-0,45;-25,20;-0,45;25,21
1,515491;-0,45;-25,13;-0,45;25,13
1,524242;-0,45;-25,20;-0,23;25,21
1,536582;-0,45;-25,20;-0,08;25,20
1,544540;-0,45;-25,35;0,00;25,35
1,554955;-0,30;-25,28;0,15;25,28
1,564591;-0,15;-25,35;0,15;25,35
1,574216;-0,15;-25,35;0,00;25,35
1,583965;-0,08;-25,35;0,15;25,35
1,594303;-0,08;-25,65;0,38;25,65
1,604775;-0,38;-25,58;0,15;25,58
1,614426;-0,45;-25,43;0,00;25,43
1,625175;-0,45;-25,28;0,00;25,28
1,643840;-0,53;-25,35;0,00;25,36
1,645256;-0,45;-25,28;0,23;25,28
1,656223;-0,60;-25,05;0,45;25,06
1,665221;-0,60;-24,98;0,45;24,99
1,673958;-0,60;-24,90;0,23;24,91
1,684877;-0,38;-24,98;0,53;24,98
1,694366;-0,45;-25,05;0,60;25,06
1,704440;-0,53;-25,13;0,45;25,13
1,714945;-0,60;-25,35;0,45;25,36
1,724878;-0,75;-25,50;0,15;25,51
1,734275;-0,68;-25,80;-0,08;25,81
1,744515;-0,60;-25,80;-0,23;25,81
1,755091;-0,68;-25,65;-0,08;25,66
1,770624;-0,45;-25,65;-0,15;25,65
1,774682;-0,15;-25,50;-0,15;25,50
1,786630;0,08;-25,50;-0,08;25,50
1,794682;0,08;-25,43;0,08;25,43
1,804334;0,15;-25,43;0,15;25,43
1,816717;0,15;-25,35;0,30;25,35
1,824340;0,08;-25,43;0,45;25,43
1,834380;-0,08;-25,43;0,45;25,43
1,844878;-0,15;-25,35;0,53;25,36
1,854437;-0,45;-25,43;0,45;25,43
1,867107;-0,75;-25,28;0,45;25,29
1,874123;-0,60;-25,28;0,38;25,28
1,885074;-0,75;-25,28;0,45;25,29
1,893872;-0,83;-25,35;0,68;25,37
1,904725;-0,68;-25,13;0,60;25,14
1,924664;-0,60;-25,28;0,60;25,29
1,925348;-0,45;-25,35;0,60;25,36
1,937575;-0,30;-25,28;0,75;25,29
1,944283;-0,15;-25,35;0,75;25,36
1,954106;0,15;-25,35;0,75;25,36
1,965636;0,23;-25,20;0,53;25,21
1,974990;0,30;-25,20;0,38;25,20
1,984531;0,30;-25,35;0,45;25,36
1,993840;0,38;-25,13;0,45;25,13
2,004196;0,30;-25,05;0,30;25,05
2,014995;0,23;-25,05;0,15;25,05
2,024147;0,23;-25,05;0,30;25,05
2,034318;0,08;-24,83;0,45;24,83
2,044034;0,15;-24,75;0,53;24,76
2,054251;0,15;-24,75;0,53;24,76
2,065007;0,15;-24,68;0,45;24,68
2,074251;0,08;-24,75;0,38;24,75
2,086516;0,15;-24,53;0,53;24,53
2,094048;0,23;-24,53;0,83;24,54
2,104185;0,08;-24,45;0,45;24,45
2,114818;0,15;-24,68;0,15;24,68
2,124572;-0,15;-24,75;-0,15;24,75
2,134212;-0,15;-24,98;-0,30;24,98
2,143943;-0,30;-24,83;-0,15;24,83
2,154383;-0,15;-24,83;0,08;24,83
2,165694;-0,45;-25,05;-0,08;25,05
2,174484;-0,53;-25,05;-0,23;25,06
2,184515;-0,60;-25,05;-0,23;25,06
2,207328;-0,68;-25,13;0,08;25,13
2,208625;-0,60;-25,13;0,45;25,14
2,220476;-0,45;-24,90;0,60;24,91
2,223983;-0,60;-25,05;0,60;25,06
2,234457;-0,38;-25,13;0,38;25,13
2,244238;-0,30;-25,20;0,23;25,20
2,254226;-0,45;-25,35;0,23;25,35
2,264667;-0,23;-25,43;0,23;25,43
2,273968;-0,38;-25,43;0,00;25,43
2,285020;-0,38;-25,43;-0,15;25,43
2,293948;-0,45;-25,28;-0,23;25,28
2,304953;-0,38;-25,28;-0,45;25,28
2,314900;-0,45;-25,13;-0,45;25,13
2,324248;-0,15;-25,05;-0,30;25,05
2,334812;0,08;-24,90;-0,23;24,90
2,344370;0,00;-24,90;-0,15;24,90
2,355865;0,15;-24,90;-0,15;24,90
2,369010;0,08;-24,83;-0,23;24,83
2,374448;0,15;-24,98;-0,08;24,98
2,384396;0,23;-25,05;0,08;25,05
2,394212;0,08;-25,20;0,23;25,20
2,404781;0,00;-25,28;0,15;25,28
2,414984;0,00;-25,35;-0,08;25,35
2,424193;0,15;-25,28;0,08;25,28
2,434795;0,00;-25,13;0,15;25,13
2,444655;-0,15;-25,35;0,15;25,35
2,454421;-0,15;-25,50;0,15;25,50
2,469780;-0,15;-25,35;0,15;25,35
2,474344;0,00;-25,20;0,08;25,20
2,486367;-0,23;-25,35;0,15;25,35
2,494223;-0,38;-25,28;0,15;25,28
2,504294;-0,38;-25,13;0,15;25,13
2,514304;-0,38;-25,28;0,30;25,28
2,527607;-0,30;-25,05;0,38;25,05
2,534341;-0,38;-24,90;0,15;24,90
2,544903;-0,45;-24,83;0,15;24,83
2,554787;-0,53;-25,05;0,15;25,06
2,565491;-0,68;-24,98;-0,15;24,98
2,574453;-0,53;-25,05;-0,08;25,06
2,584561;-0,68;-25,05;-0,15;25,06
2,594626;-0,75;-25,05;-0,23;25,06
2,605241;-0,38;-25,05;-0,15;25,05
2,616872;-0,15;-25,20;0,15;25,20
2,625461;-0,15;-25,35;0,38;25,35
2,634801;0,00;-25,20;0,45;25,20
2,645852;0,15;-25,20;0,45;25,20
2,654635;0,15;-25,35;0,68;25,36
2,664225;0,08;-25,35;0,75;25,36
2,674056;0,00;-25,35;0,75;25,36
2,684492;-0,15;-25,43;0,60;25,43
2,696895;-0,38;-25,05;0,53;25,06
2,704074;-0,23;-24,98;0,15;24,98
2,714594;-0,45;-25,05;0,15;25,05
2,724093;-0,45;-25,05;0,23;25,06
2,734726;-0,60;-24,83;0,00;24,83
2,755587;-0,30;-25,05;-0,08;25,05
2,756571;-0,08;-25,05;-0,08;25,05
2,769009;-0,23;-25,05;-0,15;25,05
2,774093;-0,08;-25,35;-0,30;25,35
2,784284;-0,23;-25,35;-0,30;25,35
2,795036;-0,38;-25,50;-0,45;25,51
2,804509;-0,23;-25,43;-0,30;25,43
2,814199;-0,38;-25,65;-0,23;25,65
2,824454;-0,68;-25,43;-0,15;25,43
2,835156;-0,75;-25,35;-0,45;25,37
2,847217;-0,83;-25,50;-0,23;25,51
2,856523;-0,98;-25,65;-0,15;25,67
2,864431;-0,90;-25,65;-0,15;25,67
2,875435;-0,53;-25,35;0,15;25,36
2,884608;-0,68;-25,35;0,15;25,36
2,899075;-0,45;-25,35;0,23;25,35
2,904704;-0,38;-25,35;0,00;25,35
2,914167;-0,15;-25,20;0,38;25,20
2,925077;-0,15;-25,05;0,30;25,05
2,934314;-0,08;-24,75;0,15;24,75
2,945068;-0,15;-24,98;-0,08;24,98
2,955289;-0,15;-25,05;-0,08;25,05
2,965271;-0,15;-25,05;-0,23;25,05
2,974865;-0,23;-25,05;-0,23;25,05
2,984597;-0,30;-24,98;-0,15;24,98
2,995088;-0,45;-25,28;-0,15;25,28
3,004724;-0,45;-25,35;0,15;25,35
3,014254;-0,45;-25,35;0,30;25,36
