Tensão da fonte (v),Corrente,Tensão do amperímetro (v),Menor dígito
0.20,305.1,0.151, 0.1
0.30,543.4,0.269, 0.1
0.40,662.0,0.326, 0.1
0.70,1115,0.523,1
0.80,1337,0.585,1
0.90,1550,0.624,1
1.00,2000,0.684,1
1.10,2212,0.706,1
1.20,2380,0.722,1
1.30,2743,0.755,1
1.40,3094,0.783,1
1.50,3455,0.811,1
1.60,3835,0.838,1
1.70,4263,0.868,1
1.80,4476,0.882,1
1.90,4726,0.899,1
2.00,5136,0.925,1
2.10,5550,0.952,1
2.20,5746,0.964,1
