Tensão da fonte (v),Corrente,Tensão do amperímetro (v),Menor dígito
0.50,0.00,0.000,0.01
1.00,0.00,0.000,0.01
1.50,0.01,0.001,0.01
2.00,0.01,0.001,0.01
2.50,0.01,0.001,0.01
3.00,0.01,0.001,0.01
3.50,0.02,0.001,0.01
4.00,0.02,0.002,0.01
4.50,0.02,0.002,0.01
5.00,0.02,0.002,0.01
5.50,0.02,0.002,0.01
6.00,0.03,0.002,0.01
6.50,0.03,0.003,0.01
7.00,0.03,0.003,0.01
7.50,0.03,0.003,0.01
8.00,0.04,0.003,0.01
