"event","experiment time","system time","system time text"
"START",0.000000000E0,1638039522.235,"2021-11-27 15:58:42.235 UTC-03:00"
"PAUSE",1.196115348E1,1638039534.196,"2021-11-27 15:58:54.196 UTC-03:00"
"START",1.196115348E1,1638039567.841,"2021-11-27 15:59:27.841 UTC-03:00"
"PAUSE",5.098394227E1,1638039606.864,"2021-11-27 16:00:06.864 UTC-03:00"
"START",5.098394227E1,1638040361.993,"2021-11-27 16:12:41.993 UTC-03:00"
"PAUSE",8.101087268E1,1638040392.020,"2021-11-27 16:13:12.020 UTC-03:00"
"START",8.101087268E1,1638040716.559,"2021-11-27 16:18:36.559 UTC-03:00"
"PAUSE",1.015694300E2,1638040737.117,"2021-11-27 16:18:57.117 UTC-03:00"
