Time (s),Sound pressure level (dB)
1.218506963E1,9.594383891E1
1.239310916E1,9.581891650E1
1.258454552E1,9.529366490E1
1.278569072E1,9.570174066E1
1.299775770E1,9.551335269E1
1.319788244E1,9.482945682E1
1.338596078E1,9.449493845E1
1.359835067E1,9.426569424E1
1.378600713E1,9.421196427E1
1.400298301E1,9.550821847E1
1.419942796E1,9.573966356E1
1.439920541E1,9.590609431E1
1.459645666E1,9.581520871E1
1.480197520E1,9.578755704E1
1.499725338E1,9.484198628E1
1.519788177E1,9.433311250E1
1.538132124E1,9.551022573E1
1.560114604E1,9.413562272E1
1.578223176E1,9.435127942E1
1.599838182E1,9.543792132E1
1.618429692E1,9.380230302E1
1.639101077E1,9.447534073E1
1.658956640E1,9.407745220E1
1.679126817E1,9.377667348E1
1.698833848E1,9.457798074E1
1.720026984E1,9.427809271E1
1.738675015E1,9.366064829E1
1.759499156E1,9.344035036E1
1.777910577E1,9.282660912E1
1.789256635E1,9.207229070E1
1.808430822E1,9.185632366E1
1.829744156E1,9.192774544E1
1.848579728E1,9.089964859E1
1.869875301E1,8.976529855E1
1.888610754E1,9.076417767E1
1.909827145E1,9.068494860E1
1.929828010E1,8.964414288E1
1.948520098E1,9.025659562E1
1.968480223E1,9.003219029E1
1.988542140E1,8.735021660E1
2.008482343E1,8.651250699E1
2.030190713E1,8.697361773E1
2.048210374E1,8.791846785E1
2.069756973E1,8.708702930E1
2.088279905E1,8.816243207E1
2.109726504E1,8.734214784E1
2.128739640E1,8.638466430E1
2.148814645E1,8.640843113E1
2.169734806E1,8.445481112E1
2.188949010E1,8.650191648E1
2.208453859E1,8.605054960E1
2.228374332E1,8.524558872E1
2.249830733E1,8.759046255E1
2.269760931E1,8.518719154E1
2.288508187E1,8.217834490E1
2.308493338E1,8.541796885E1
2.329866832E1,8.353560762E1
2.350366108E1,8.130364190E1
2.368266843E1,8.188121612E1
2.389833884E1,7.985968388E1
2.409896114E1,7.681180754E1
2.429810306E1,7.800126615E1
2.447944239E1,7.832255419E1
2.468475843E1,8.043582199E1
2.489690249E1,8.132319524E1
2.508516671E1,8.025259955E1
2.528425983E1,7.937556843E1
2.549719874E1,8.048583436E1
2.568447900E1,8.151585310E1
2.589193890E1,8.152029577E1
2.608867025E1,8.162742178E1
2.628565666E1,7.997800824E1
2.649940249E1,7.873229223E1
2.668582332E1,7.835511831E1
2.688233296E1,7.807458909E1
2.709977864E1,7.815080851E1
2.728766317E1,7.867261751E1
2.749972624E1,7.955124711E1
2.768255994E1,8.007248149E1
2.789689832E1,7.951485651E1
2.809735103E1,7.920429284E1
2.830150421E1,7.830690573E1
2.849867483E1,7.789780680E1
2.869646259E1,7.658671498E1
2.889684546E1,7.686858608E1
2.909679551E1,7.645904369E1
2.929136483E1,7.462618611E1
2.949747822E1,7.342785906E1
2.969639478E1,7.418411694E1
2.988625999E1,7.158962553E1
3.008531968E1,7.478192815E1
3.029764712E1,7.447619920E1
3.049769374E1,7.382629379E1
3.069018639E1,7.345160640E1
3.089392561E1,7.517094571E1
3.108510447E1,7.278583034E1
3.128599358E1,7.404137098E1
3.149311176E1,7.315255468E1
3.169209988E1,7.268835328E1
3.189624087E1,7.367642337E1
3.209741697E1,7.401161447E1
3.231244488E1,7.094659313E1
3.248424598E1,7.280231333E1
3.268481228E1,7.235811931E1
3.288572832E1,7.141486629E1
3.308671582E1,7.151856669E1
3.329820936E1,7.165364143E1
3.348448848E1,7.436252948E1
3.369815905E1,7.173183509E1
3.389846983E1,7.140151616E1
3.408632290E1,7.106071723E1
3.429753577E1,7.152500277E1
3.449697743E1,6.926221153E1
3.469636280E1,6.964916848E1
3.488203811E1,7.097815927E1
3.510057587E1,7.070904524E1
3.529953519E1,7.161649078E1
3.550099171E1,6.909682313E1
3.568188790E1,7.191895024E1
3.590108014E1,7.031131638E1
3.609610249E1,7.230264060E1
3.629354655E1,7.175051145E1
3.649782295E1,7.081180750E1
3.669480410E1,6.877762973E1
3.689705598E1,6.443585639E1
3.709454426E1,6.686024908E1
3.729573384E1,6.538113012E1
3.749378452E1,6.839526001E1
3.769648952E1,6.769183381E1
3.789827655E1,6.635703883E1
3.808427811E1,6.768496275E1
3.829389394E1,6.812822379E1
3.849937900E1,6.742332052E1
3.869211410E1,7.081964882E1
3.888690811E1,7.288013893E1
3.908981743E1,7.030337916E1
3.928762363E1,6.970979301E1
3.949274050E1,6.343178671E1
3.968742181E1,6.388488916E1
3.989668233E1,6.854001845E1
4.008513842E1,6.895429489E1
4.028601191E1,7.019113173E1
4.049755816E1,6.282084131E1
4.069814873E1,6.229471841E1
4.089807957E1,6.396367921E1
4.108500327E1,6.374136725E1
4.129095972E1,6.441081659E1
4.149771160E1,6.340458042E1
4.168110603E1,6.506729901E1
4.189742478E1,6.129523903E1
4.208650535E1,6.003805586E1
4.228725405E1,6.075249395E1
4.249715488E1,6.348843689E1
4.269689649E1,6.475136673E1
4.289671024E1,6.106035123E1
