Time (s),Sound pressure level (dB)
4.401928279E0,9.543736730E1
4.602309581E0,9.500913976E1
4.802128748E0,9.455633334E1
5.001929217E0,9.461250441E1
5.201216821E0,8.883535568E1
5.395365623E0,9.184427593E1
5.595606404E0,8.954380496E1
5.816710050E0,9.260774681E1
5.985713279E0,9.201813457E1
6.202049476E0,9.190874338E1
6.403858070E0,9.175123519E1
6.593542601E0,9.114203978E1
6.793336351E0,8.866772014E1
6.991241664E0,8.761931707E1
7.199788799E0,8.830376708E1
7.382016611E0,8.716072240E1
7.592817497E0,8.747165421E1
7.797928434E0,8.782353283E1
7.999658434E0,8.635488572E1
8.202026142E0,9.035762684E1
8.383756559E0,8.950607551E1
8.586545101E0,8.497758101E1
8.792070465E0,8.741233195E1
8.995576923E0,8.759418188E1
9.188917496E0,8.783243630E1
9.402135100E0,8.529065183E1
9.598515309E0,8.566438401E1
9.803082652E0,8.603991683E1
9.985931923E0,8.622815545E1
1.020210536E1,8.623737471E1
1.040146739E1,8.579478879E1
1.060204036E1,8.460963046E1
1.079259192E1,8.378107427E1
1.098727723E1,8.338192888E1
1.120546177E1,8.285070567E1
1.139842276E1,8.221908035E1
1.159049859E1,8.199977978E1
1.179721234E1,8.207653656E1
1.199816911E1,8.288387458E1
1.222166151E1,8.407820535E1
1.239021817E1,8.480052294E1
1.260183437E1,8.512114676E1
1.279677098E1,8.533661553E1
1.299828411E1,8.539531740E1
1.320152859E1,8.549232734E1
1.339149718E1,8.542777373E1
1.360123562E1,8.541594662E1
1.379852312E1,8.518491541E1
1.398306703E1,8.480356220E1
1.418960718E1,8.455610372E1
1.439070619E1,8.475239019E1
1.459220859E1,8.503361144E1
1.478604406E1,8.491944736E1
1.500248525E1,8.462324115E1
1.518879364E1,8.412597684E1
1.540284234E1,8.365750177E1
1.559335088E1,8.365341462E1
1.579056786E1,8.363956566E1
1.600277093E1,8.328474986E1
1.620312380E1,8.290338145E1
1.638456150E1,8.246677123E1
1.659011900E1,8.202774119E1
1.680409124E1,8.177633918E1
1.700544473E1,8.189262273E1
1.719036791E1,8.185179268E1
1.740053380E1,8.175457323E1
1.760001489E1,8.131009820E1
1.780229546E1,8.075386075E1
1.798325072E1,8.062706114E1
1.820345275E1,8.082942690E1
1.840163728E1,8.116251606E1
1.859197504E1,8.107235276E1
1.880220796E1,8.117022367E1
1.900202239E1,8.137920580E1
1.919150978E1,8.099178970E1
1.939348020E1,8.055255916E1
1.958153202E1,8.072153112E1
1.978123281E1,8.091960176E1
1.998192874E1,8.091952472E1
2.018634218E1,8.026716984E1
2.038595848E1,7.979248252E1
2.060401681E1,7.980958314E1
2.079015249E1,7.875329971E1
2.099555723E1,7.818028094E1
2.118332707E1,7.865418408E1
2.140134963E1,7.955282908E1
2.158937395E1,7.874800510E1
2.180321536E1,7.647188433E1
2.199286718E1,7.781872632E1
2.219194655E1,7.932590336E1
2.239017187E1,7.803014429E1
2.260230952E1,7.795787247E1
2.279108504E1,7.719777388E1
2.300326556E1,7.591962437E1
2.319006754E1,7.596368950E1
2.339277577E1,7.562860312E1
2.359200098E1,7.466042674E1
2.380434697E1,7.499379887E1
2.400377442E1,7.755008654E1
2.420304291E1,7.644404380E1
2.438538900E1,7.617970278E1
2.460334275E1,7.625622537E1
2.480176103E1,7.705837800E1
2.499122515E1,7.329216662E1
2.519873233E1,7.439539862E1
2.538866478E1,7.493852643E1
2.560086166E1,7.503853849E1
2.580202494E1,7.638699458E1
2.600170312E1,7.288566487E1
2.619462655E1,7.329213217E1
2.639966187E1,7.385938361E1
2.659959207E1,7.366870869E1
2.678272879E1,7.387564209E1
2.698312249E1,7.267161885E1
2.720275884E1,7.267877484E1
2.740238624E1,7.145988466E1
2.758637405E1,7.165738092E1
2.778629098E1,7.185305099E1
2.799897910E1,7.341454705E1
2.818851353E1,7.334923372E1
2.838319056E1,7.292724084E1
2.858896848E1,7.170359086E1
2.878994718E1,7.119526544E1
2.898955999E1,7.053006528E1
2.919034728E1,7.149350132E1
2.939269363E1,7.101684850E1
2.960184738E1,7.199453914E1
2.979824514E1,7.218545610E1
2.998928228E1,7.241961148E1
3.020200098E1,7.179396591E1
3.040319452E1,7.179368960E1
3.060150546E1,7.116001674E1
3.078791468E1,7.150682696E1
3.100226978E1,7.065898564E1
3.120361134E1,7.118562558E1
3.140203056E1,7.166037395E1
3.159110290E1,6.974354566E1
3.180287400E1,7.085781884E1
3.199573915E1,6.980717152E1
3.220391108E1,6.768050052E1
3.239046816E1,6.933587403E1
3.259063650E1,6.828463248E1
3.279387139E1,6.877335793E1
3.298359030E1,6.759021508E1
3.320206244E1,7.015555165E1
3.339375092E1,6.995459536E1
3.360203671E1,6.945076212E1
3.380103665E1,6.748375127E1
3.399043723E1,6.700059415E1
3.419779457E1,6.673769201E1
3.438946270E1,6.705092025E1
3.459025723E1,7.212536437E1
3.478907535E1,6.674989829E1
3.499419285E1,6.674453110E1
3.518809577E1,6.563447722E1
3.539186936E1,6.566139743E1
3.560134467E1,6.606838698E1
3.579042118E1,6.767316794E1
3.598993665E1,6.664715415E1
3.619005535E1,6.587995144E1
3.639803243E1,6.621863129E1
3.660472051E1,6.489129623E1
3.678975155E1,6.582961953E1
3.700245186E1,6.706043206E1
3.719084941E1,6.681171351E1
3.740405874E1,6.596656705E1
3.760191066E1,6.478786573E1
3.780141842E1,6.466149593E1
3.799013644E1,6.518611630E1
3.820150082E1,6.526058078E1
3.839171462E1,6.581798728E1
3.860286618E1,6.274177601E1
3.879830337E1,6.401085291E1
3.898878946E1,6.124132969E1
3.919451769E1,6.173055643E1
3.940291472E1,6.179821914E1
3.958680738E1,6.249804427E1
3.979509967E1,6.413084398E1
3.999608748E1,6.208323943E1
4.020188259E1,6.127628817E1
4.039665321E1,6.367380949E1
4.059893170E1,6.111559634E1
4.078986629E1,6.107958436E1
4.099860165E1,6.175120515E1
4.119157811E1,6.225429330E1
4.138848582E1,6.454274349E1
4.158760181E1,6.450463285E1
4.180332847E1,6.188448491E1
4.199993686E1,6.234152282E1
4.218986071E1,6.319850284E1
4.239894102E1,5.903462468E1
4.260211108E1,6.134001222E1
4.280241629E1,6.167451181E1
4.298987806E1,6.045082362E1
4.320365123E1,6.130753431E1
