time;Bx;By;Bz;BT
0,002126;-0,45;-25,95;0,15;25,95
0,007846;-0,68;-25,95;-0,08;25,96
0,017682;-0,53;-25,95;-0,08;25,96
0,034016;-0,23;-26,18;-0,08;26,18
0,038553;-0,38;-26,18;-0,08;26,18
0,050586;-0,45;-25,95;0,15;25,95
0,057886;-0,15;-26,03;0,00;26,03
0,067862;-0,30;-25,80;0,00;25,80
0,078195;-0,30;-25,95;0,00;25,95
0,088179;-0,08;-25,73;0,15;25,73
0,098123;-0,30;-25,80;0,45;25,81
0,108029;-0,38;-25,80;0,60;25,81
0,117859;-0,38;-25,95;0,75;25,96
0,135672;-0,30;-25,73;0,90;25,74
0,139365;-0,23;-25,73;1,05;25,75
0,148405;-0,15;-26,03;0,98;26,04
0,160479;-0,08;-25,65;0,98;25,67
0,167939;0,15;-25,65;1,28;25,68
0,178035;0,45;-25,58;0,83;25,59
0,187903;0,30;-25,65;0,45;25,66
0,198022;0,38;-25,65;0,30;25,65
0,208176;0,45;-25,73;0,30;25,73
0,218664;0,38;-25,95;0,23;25,95
0,228176;0,53;-25,95;0,45;25,96
0,237979;0,30;-26,25;0,30;26,25
0,247800;0,00;-26,40;0,30;26,40
0,263073;-0,15;-26,40;0,60;26,41
0,270232;-0,08;-26,40;0,60;26,41
0,278349;0,23;-26,33;0,75;26,34
0,287796;0,23;-26,40;0,30;26,40
0,298187;0,23;-26,25;0,38;26,25
0,307933;-0,08;-26,25;0,30;26,25
0,318770;0,08;-26,10;0,45;26,10
0,327913;0,15;-25,95;0,15;25,95
0,337971;0,15;-26,18;-0,23;26,18
0,347913;0,15;-26,03;-0,08;26,03
0,358854;0,00;-26,10;-0,08;26,10
0,368125;0,15;-26,25;0,38;26,25
0,380893;0,15;-26,33;0,38;26,33
0,399868;0,30;-26,40;0,53;26,41
0,400693;0,45;-26,55;0,38;26,56
0,408115;0,45;-26,70;0,38;26,71
0,418123;0,60;-26,55;0,53;26,56
0,428189;0,68;-26,55;0,45;26,56
0,437943;0,60;-26,70;0,45;26,71
0,448057;0,53;-26,55;0,45;26,56
0,458105;0,53;-26,55;0,30;26,56
0,468419;0,30;-26,40;0,15;26,40
0,478235;-0,15;-26,25;0,30;26,25
0,490705;-0,15;-26,25;0,45;26,25
0,498025;-0,15;-26,48;0,53;26,48
0,508870;-0,23;-26,48;0,60;26,48
0,521493;-0,38;-26,40;0,75;26,41
0,528242;-0,38;-26,48;0,53;26,48
0,544958;-0,53;-26,25;0,68;26,26
0,549128;-0,75;-26,25;0,90;26,28
0,558806;-0,45;-26,25;0,68;26,26
0,569496;-0,75;-26,18;0,60;26,19
0,578642;-0,98;-26,25;0,45;26,27
0,588199;-0,90;-26,03;0,45;26,04
0,601301;-0,75;-25,95;0,08;25,96
0,609676;-0,75;-25,88;0,00;25,89
0,619870;-0,75;-26,03;0,08;26,04
0,629420;-0,45;-26,03;-0,15;26,03
0,638621;-0,53;-26,33;-0,38;26,33
0,648772;-0,45;-26,55;-0,45;26,56
0,658284;-0,23;-26,48;-0,60;26,48
0,675650;-0,15;-26,70;-0,75;26,71
0,692670;-0,15;-26,55;-0,53;26,56
0,693859;0,08;-26,55;-0,38;26,55
0,698020;0,38;-26,48;-0,60;26,48
0,710734;0,60;-26,63;-0,90;26,65
0,720169;0,75;-26,55;-0,75;26,57
0,728056;0,83;-26,40;-0,38;26,42
0,738128;0,60;-26,40;-0,30;26,41
0,748485;0,45;-26,03;-0,08;26,03
0,758310;0,38;-26,25;-0,15;26,25
0,769776;0,23;-26,40;-0,38;26,40
0,777719;0,15;-26,25;-0,23;26,25
0,788286;-0,23;-26,33;0,00;26,33
0,797908;-0,38;-26,33;-0,08;26,33
0,808602;-0,53;-26,33;-0,23;26,33
0,828880;-0,38;-26,25;-0,45;26,26
0,829731;-0,45;-26,48;-0,45;26,48
0,845291;-0,45;-26,40;-0,08;26,40
0,847873;-0,45;-26,55;0,15;26,55
0,857892;-0,60;-26,63;0,08;26,63
0,868583;-0,60;-26,55;0,00;26,56
0,878543;-0,53;-26,40;-0,08;26,41
0,888090;-0,38;-26,33;0,00;26,33
0,898197;-0,23;-26,48;0,30;26,48
0,908536;0,00;-26,25;0,53;26,26
0,919499;0,00;-26,25;0,38;26,25
0,931025;0,00;-26,40;0,15;26,40
0,939323;0,08;-26,55;-0,08;26,55
0,949188;0,15;-26,25;-0,08;26,25
0,959267;0,38;-26,40;0,08;26,40
0,972720;0,23;-26,25;0,15;26,25
0,978104;0,15;-26,18;0,00;26,18
0,988077;-0,15;-26,48;-0,15;26,48
0,998469;-0,23;-26,55;-0,08;26,55
1,008139;-0,60;-26,48;0,08;26,48
1,018235;-0,68;-26,18;0,15;26,18
1,028182;-0,75;-26,25;0,15;26,26
1,040797;-0,83;-26,25;0,60;26,27
1,048076;-0,75;-26,40;0,45;26,41
1,058209;-0,75;-26,48;0,45;26,49
1,069176;-0,75;-26,40;0,45;26,41
1,078125;-0,75;-26,40;0,23;26,41
1,088321;-0,23;-26,33;0,45;26,33
1,098811;-0,45;-26,25;0,38;26,26
1,108566;-0,08;-26,40;0,60;26,41
1,123227;-0,15;-26,48;0,38;26,48
1,128026;-0,15;-26,48;0,38;26,48
1,138127;-0,30;-26,55;0,38;26,55
1,150928;-0,23;-26,63;0,38;26,63
1,158467;0,15;-26,33;0,38;26,33
1,168954;0,08;-26,33;0,30;26,33
1,177884;0,23;-26,25;0,53;26,26
1,188273;-0,15;-26,40;0,30;26,40
1,198498;0,15;-26,33;0,15;26,33
1,209424;0,23;-26,25;0,15;26,25
1,218469;0,45;-26,03;0,08;26,03
1,227971;0,75;-25,80;0,15;25,81
1,238514;0,53;-25,95;0,15;25,96
1,248578;0,45;-25,95;-0,15;25,95
1,261403;0,45;-26,25;-0,30;26,26
1,269569;0,75;-26,18;-0,15;26,19
1,277935;0,45;-26,25;-0,15;26,25
1,288866;0,08;-26,25;-0,08;26,25
1,300720;0,08;-26,40;-0,15;26,40
1,308460;-0,15;-26,63;-0,08;26,63
1,319315;-0,15;-26,63;-0,15;26,63
1,328229;-0,23;-26,78;-0,15;26,78
1,338220;-0,23;-26,63;-0,08;26,63
1,349678;-0,30;-26,55;-0,08;26,55
1,358102;-0,45;-26,48;-0,23;26,48
1,374125;-0,38;-26,48;-0,23;26,48
1,377745;-0,38;-26,55;-0,30;26,55
1,390642;-0,38;-26,40;-0,45;26,41
1,400755;-0,45;-26,25;-0,23;26,25
1,407946;-0,38;-26,18;-0,15;26,18
1,418240;-0,45;-26,03;-0,45;26,03
1,427920;-0,30;-25,88;-0,23;25,88
1,438460;-0,23;-25,95;-0,15;25,95
1,448163;-0,15;-25,95;-0,15;25,95
1,458690;-0,23;-25,73;0,00;25,73
1,468550;-0,15;-25,73;0,08;25,73
1,483108;-0,15;-25,73;0,08;25,73
1,488194;-0,15;-25,65;0,15;25,65
1,497997;-0,15;-25,95;0,38;25,95
1,508476;-0,38;-26,25;0,45;26,26
1,525127;-0,38;-26,25;0,45;26,26
1,528217;-0,38;-25,95;0,45;25,96
1,538362;-0,23;-26,10;0,45;26,10
1,549291;-0,15;-26,10;0,38;26,10
1,558343;-0,23;-26,10;0,38;26,10
1,568367;-0,15;-26,25;0,30;26,25
1,577847;-0,15;-26,18;0,45;26,18
1,591017;0,15;-26,25;0,30;26,25
1,599813;0,00;-26,33;0,38;26,33
1,608760;-0,08;-26,55;0,30;26,55
1,618929;0,00;-26,55;0,38;26,55
1,628378;-0,08;-26,55;0,38;26,55
1,640342;0,08;-26,55;0,38;26,55
1,654420;-0,15;-26,55;0,45;26,55
1,658407;-0,15;-26,85;0,30;26,85
1,667957;-0,45;-26,70;-0,08;26,70
1,677935;0,08;-26,33;-0,23;26,33
1,688109;0,08;-26,55;-0,45;26,55
1,700942;0,08;-26,48;-0,45;26,48
1,708502;0,00;-26,25;-0,45;26,25
1,718445;-0,15;-26,25;-0,45;26,25
1,727969;-0,08;-26,25;-0,53;26,26
1,738651;-0,23;-26,25;-0,68;26,26
1,748866;-0,15;-25,95;-0,30;25,95
1,758730;-0,53;-26,25;-0,15;26,26
1,768537;-0,23;-25,95;0,00;25,95
1,778659;-0,53;-25,95;-0,15;25,96
1,788994;-0,23;-26,10;-0,15;26,10
1,809807;-0,23;-25,95;-0,23;25,95
1,810372;-0,23;-25,95;-0,08;25,95
1,821032;-0,23;-25,80;-0,15;25,80
1,828347;-0,45;-25,95;-0,15;25,95
1,838034;-0,15;-25,88;-0,30;25,88
1,848003;-0,23;-25,95;-0,23;25,95
1,858015;-0,15;-25,95;-0,23;25,95
1,867972;-0,45;-26,03;-0,08;26,03
1,878116;-0,45;-26,03;0,00;26,03
1,888202;-0,38;-25,80;0,15;25,80
1,897982;-0,23;-25,95;0,15;25,95
1,907993;0,00;-25,95;0,08;25,95
1,920751;0,00;-25,80;0,15;25,80
1,937611;0,00;-25,95;0,08;25,95
1,938181;-0,08;-25,95;0,15;25,95
1,953357;-0,08;-25,80;0,30;25,80
1,957986;0,30;-25,95;0,23;25,95
1,967970;0,15;-26,18;0,23;26,18
1,977850;0,15;-25,88;0,15;25,88
1,988128;0,15;-25,88;0,30;25,88
1,997960;0,00;-25,95;0,30;25,95
2,007885;-0,15;-25,95;0,30;25,95
2,018167;0,08;-26,10;0,08;26,10
2,031199;-0,15;-26,25;0,08;26,25
2,037866;-0,45;-26,10;0,15;26,10
2,047865;-0,53;-26,10;0,38;26,11
2,058092;-0,75;-26,40;0,45;26,41
2,068104;-0,68;-26,40;0,38;26,41
2,078151;-0,75;-26,33;0,15;26,34
2,090500;-0,68;-26,25;0,23;26,26
2,104592;-0,75;-26,25;0,60;26,27
2,108098;-0,75;-26,40;0,53;26,42
2,118464;-0,45;-26,40;0,23;26,40
2,128461;-0,15;-26,18;-0,08;26,18
2,140890;-0,15;-25,95;0,15;25,95
2,148540;-0,23;-25,95;0,15;25,95
2,157783;0,08;-25,80;0,30;25,80
2,168354;0,08;-25,65;0,15;25,65
2,178578;0,23;-25,65;-0,23;25,65
2,188139;0,23;-25,50;-0,23;25,50
2,198382;0,15;-25,65;-0,15;25,65
2,208548;0,00;-25,95;-0,15;25,95
2,226014;-0,08;-25,95;-0,45;25,95
2,239258;-0,08;-26,10;-0,45;26,10
2,240457;-0,30;-26,25;-0,23;26,25
2,250630;-0,30;-26,25;-0,23;26,25
2,259144;-0,38;-26,25;0,15;26,25
2,267949;-0,45;-26,33;0,23;26,33
2,279810;-0,45;-26,25;0,45;26,26
2,288141;-0,08;-25,80;0,60;25,81
2,298613;-0,08;-25,80;0,75;25,81
2,307858;-0,15;-25,65;0,75;25,66
2,318593;-0,15;-25,65;0,53;25,66
2,330218;-0,15;-25,73;0,60;25,73
2,338001;-0,08;-25,65;0,53;25,66
2,348107;0,08;-25,35;0,30;25,35
2,361510;-0,23;-25,65;-0,08;25,65
2,368783;-0,45;-25,95;-0,30;25,96
2,384700;-0,45;-25,95;-0,45;25,96
2,387929;-0,23;-26,10;-0,23;26,10
2,398142;-0,23;-26,25;-0,30;26,25
2,407888;-0,15;-26,18;-0,15;26,18
2,418196;-0,23;-26,33;-0,08;26,33
2,429636;-0,15;-26,25;0,00;26,25
2,438574;0,15;-25,95;0,30;25,95
2,448743;0,08;-25,80;0,45;25,80
2,458547;-0,08;-25,88;0,75;25,89
2,470640;-0,08;-25,95;0,38;25,95
2,480513;-0,15;-25,80;0,45;25,80
2,488360;0,08;-25,88;0,38;25,88
2,497968;0,23;-25,73;0,23;25,73
2,508576;0,08;-25,95;0,30;25,95
2,521828;-0,08;-26,18;0,08;26,18
2,538919;0,15;-26,10;0,08;26,10
2,539948;0,15;-25,95;-0,15;25,95
2,548043;0,00;-26,03;0,15;26,03
2,557719;0,15;-25,95;0,08;25,95
2,568041;-0,23;-25,95;0,00;25,95
2,580855;-0,45;-26,10;0,23;26,10
2,589424;-0,15;-26,25;0,30;26,25
2,598730;-0,15;-26,18;0,60;26,18
2,608970;-0,30;-26,33;0,60;26,33
2,618182;-0,15;-26,48;0,75;26,49
2,639089;0,08;-26,18;0,53;26,18
2,639812;0,08;-26,25;0,53;26,26
2,653850;0,00;-26,55;0,45;26,55
2,657897;0,08;-26,55;0,15;26,55
2,668070;0,00;-26,55;-0,08;26,55
2,678456;-0,08;-26,48;-0,15;26,48
2,690334;0,08;-26,55;-0,15;26,55
2,698091;0,08;-26,55;-0,15;26,55
2,708125;0,08;-26,70;-0,08;26,70
2,718870;-0,23;-26,78;-0,15;26,78
2,730123;0,15;-26,63;-0,08;26,63
2,739023;0,38;-26,48;0,15;26,48
2,748755;0,23;-26,55;0,15;26,55
2,758119;0,08;-26,55;-0,08;26,55
2,768998;-0,15;-26,33;-0,23;26,33
2,782956;-0,08;-26,33;-0,15;26,33
2,788822;-0,08;-26,40;-0,15;26,40
2,800502;0,30;-26,25;0,15;26,25
2,808427;0,15;-25,95;0,23;25,95
2,818015;0,08;-26,03;-0,15;26,03
2,828108;0,08;-25,80;0,15;25,80
2,838044;0,23;-25,88;0,30;25,88
2,848208;0,38;-25,95;0,45;25,96
2,857856;0,30;-26,10;0,30;26,10
2,868468;0,38;-25,95;0,23;25,95
2,878758;0,23;-26,18;0,08;26,18
2,888089;0,15;-26,33;-0,23;26,33
2,897853;0,15;-26,25;-0,08;26,25
2,915182;0,15;-26,25;0,08;26,25
2,920125;0,23;-26,25;-0,08;26,25
2,931462;0,08;-26,33;-0,23;26,33
2,939453;0,15;-26,25;-0,23;26,25
2,948119;0,00;-26,03;0,08;26,03
2,958178;-0,08;-25,88;0,15;25,88
2,968303;0,00;-25,95;0,08;25,95
2,977976;-0,15;-25,95;0,15;25,95
2,988011;-0,23;-26,18;-0,15;26,18
2,998174;-0,45;-26,25;0,00;26,25
3,008232;-0,45;-26,25;0,15;26,25
3,021161;-0,45;-26,25;0,23;26,25
3,029088;-0,23;-26,33;0,00;26,33
3,038136;-0,45;-26,70;0,00;26,70
3,048701;-0,53;-26,70;0,38;26,71
3,058119;-0,45;-26,85;0,45;26,86
3,068477;-0,45;-26,78;0,38;26,78
3,081275;-0,38;-26,78;0,15;26,78
3,087972;-0,15;-26,55;0,38;26,55
3,097901;-0,45;-26,63;0,15;26,63
3,108007;-0,68;-26,63;0,38;26,64
3,118337;-0,68;-26,55;0,15;26,56
3,130669;-0,45;-26,33;0,15;26,33
3,138480;-0,53;-26,25;0,00;26,26
3,148038;-0,68;-26,18;0,00;26,18
3,158593;-0,53;-26,18;-0,15;26,18
3,168927;-0,68;-26,33;-0,15;26,33
3,178287;-0,45;-26,40;-0,08;26,40
3,187861;-0,45;-26,55;0,15;26,55
3,202379;-0,15;-26,25;0,15;26,25
