time;Bx;By;Bz;BT
1,397207;0,75;-27,30;-0,15;27,31
1,407849;0,53;-27,15;0,08;27,16
1,417444;0,45;-27,00;0,23;27,00
1,427463;0,38;-27,08;0,30;27,08
1,440777;0,23;-27,08;0,30;27,08
1,447397;0,38;-26,93;0,45;26,93
1,457868;0,45;-26,85;0,15;26,85
1,467437;0,45;-26,55;0,00;26,55
1,477439;0,15;-26,70;-0,15;26,70
1,488176;0,45;-26,85;-0,30;26,86
1,498736;0,38;-26,93;-0,15;26,93
1,515708;0,53;-27,00;-0,15;27,01
1,517125;0,68;-27,38;-0,15;27,38
1,527530;0,68;-27,30;-0,38;27,31
1,539363;0,45;-27,45;-0,15;27,45
1,550863;0,45;-27,45;0,08;27,45
1,557064;0,45;-27,53;-0,08;27,53
1,567142;0,45;-27,38;0,15;27,38
1,577570;0,38;-27,53;0,15;27,53
1,589558;0,15;-27,75;0,15;27,75
1,597506;0,15;-27,38;0,38;27,38
1,608631;-0,15;-27,45;0,60;27,46
1,617379;-0,23;-27,45;0,60;27,46
1,627531;-0,23;-27,60;0,45;27,60
1,637271;-0,30;-27,45;0,98;27,47
1,647644;-0,45;-27,45;0,83;27,47
1,659878;-0,08;-27,45;0,75;27,46
1,666880;-0,08;-27,15;0,75;27,16
1,677416;-0,08;-27,45;0,75;27,46
1,687289;0,15;-27,45;0,53;27,46
1,697795;0,30;-27,38;0,30;27,38
1,707194;0,30;-27,38;0,45;27,38
1,717025;0,75;-27,60;0,08;27,61
1,727495;0,45;-27,60;0,08;27,60
1,738008;0,45;-27,45;-0,23;27,45
1,748260;0,53;-27,45;-0,38;27,46
1,757478;0,60;-27,30;-0,30;27,31
1,770551;0,75;-27,30;-0,30;27,31
1,777741;0,98;-27,38;-0,15;27,39
1,787726;1,05;-27,30;-0,60;27,33
1,797686;0,75;-27,15;-0,60;27,17
1,808363;0,98;-27,08;-0,75;27,10
1,817389;0,75;-27,23;-0,30;27,24
1,827575;0,75;-27,15;-0,30;27,16
1,837649;0,90;-27,08;-0,30;27,09
1,847499;0,53;-27,15;-0,15;27,16
1,857694;0,38;-27,15;0,15;27,15
1,867009;0,30;-27,23;0,53;27,23
1,880923;0,23;-27,30;0,53;27,31
1,888836;0,15;-27,53;0,53;27,53
1,897438;0,30;-27,38;0,38;27,38
1,907885;0,30;-27,30;0,15;27,30
1,918292;0,15;-27,15;0,15;27,15
1,930122;0,30;-26,93;0,15;26,93
1,944427;0,23;-27,15;-0,15;27,15
1,947158;0,15;-27,23;-0,15;27,23
1,957303;0,30;-27,15;0,08;27,15
1,967329;0,30;-27,15;0,15;27,15
1,977337;0,23;-27,15;0,15;27,15
1,989790;0,23;-27,15;0,23;27,15
1,997238;0,15;-27,30;0,15;27,30
2,007469;0,23;-27,30;0,30;27,30
2,017569;0,15;-27,08;0,45;27,08
2,027266;0,23;-27,00;0,68;27,01
2,038672;0,23;-26,93;0,68;26,93
2,047440;0,15;-26,93;0,53;26,93
2,057433;0,15;-26,93;0,75;26,94
2,067142;0,23;-27,23;0,75;27,24
2,077578;0,45;-27,15;0,45;27,16
2,092912;0,38;-27,15;0,38;27,16
2,099491;0,38;-27,23;0,45;27,23
2,107086;0,23;-27,23;0,30;27,23
2,117112;0,15;-27,30;0,23;27,30
2,127371;0,23;-27,08;0,15;27,08
2,138109;0,23;-26,85;-0,08;26,85
2,147502;0,15;-26,85;0,08;26,85
2,157678;-0,15;-26,63;0,30;26,63
2,167430;0,00;-26,70;0,38;26,70
2,177952;0,15;-26,85;-0,08;26,85
2,198198;0,45;-26,63;-0,15;26,63
2,198828;0,45;-26,63;-0,15;26,63
2,211319;0,38;-26,63;0,08;26,63
2,217584;0,45;-26,78;0,15;26,78
2,227349;0,75;-26,55;0,00;26,56
2,237578;0,90;-26,78;0,00;26,79
2,248769;0,75;-26,70;0,08;26,71
2,257270;0,75;-26,55;0,23;26,56
2,268030;0,45;-26,93;0,30;26,93
2,278304;0,38;-26,78;0,30;26,78
2,288482;0,23;-26,85;0,08;26,85
2,297813;0,30;-27,08;-0,15;27,08
2,313466;0,08;-27,08;0,15;27,08
2,323752;0,00;-27,00;-0,08;27,00
2,327147;0,00;-27,00;-0,30;27,00
2,337390;0,23;-27,00;-0,38;27,00
2,347154;0,15;-26,78;-0,45;26,78
2,357522;0,15;-26,85;-0,38;26,85
2,367147;0,38;-26,78;-0,15;26,78
2,377027;0,15;-26,63;-0,08;26,63
2,387447;0,15;-26,85;-0,15;26,85
2,397278;0,45;-26,78;0,15;26,78
2,407341;0,45;-26,85;0,23;26,85
2,417584;0,30;-27,15;0,38;27,15
2,429557;0,23;-27,08;0,45;27,08
2,446357;0,45;-27,00;0,30;27,01
2,447063;0,45;-27,45;0,23;27,45
2,460673;0,53;-27,53;0,30;27,53
2,467270;0,68;-27,53;0,23;27,53
2,477578;0,30;-27,75;0,15;27,75
2,487826;0,45;-27,75;0,38;27,76
2,497434;0,45;-27,38;0,45;27,38
2,508739;0,90;-27,45;0,45;27,47
2,517428;0,75;-27,53;0,68;27,54
2,527589;0,75;-27,30;0,68;27,32
2,541206;0,75;-27,23;0,83;27,25
2,547426;0,60;-27,15;0,90;27,17
2,557810;0,68;-27,08;0,75;27,09
2,568111;0,23;-27,15;0,68;27,16
2,579617;0,23;-27,45;0,75;27,46
2,590255;-0,08;-27,53;0,83;27,54
2,597999;-0,38;-27,75;0,75;27,76
2,607513;-0,15;-27,83;0,75;27,84
2,617927;-0,23;-27,75;0,53;27,76
2,627396;-0,38;-27,90;0,45;27,91
2,638372;-0,38;-27,98;0,60;27,98
2,649584;-0,15;-27,98;0,53;27,98
2,658186;-0,45;-28,05;0,23;28,05
2,667751;0,00;-27,75;0,30;27,75
2,677837;0,15;-27,60;0,15;27,60
2,687616;0,00;-27,53;0,38;27,53
2,697286;-0,15;-27,75;0,38;27,75
2,707746;-0,15;-27,68;0,15;27,68
2,724287;-0,08;-27,83;0,23;27,83
2,727393;0,15;-27,68;0,30;27,68
2,741118;0,23;-27,60;0,38;27,60
2,747285;-0,15;-27,83;0,45;27,83
2,759391;-0,08;-27,83;0,60;27,83
2,769320;-0,15;-27,75;0,60;27,76
2,777362;0,00;-27,75;0,53;27,75
2,787558;0,08;-27,98;0,53;27,98
2,797449;0,15;-27,90;0,38;27,90
2,807807;0,23;-27,83;0,45;27,83
2,819341;0,23;-27,75;0,15;27,75
2,828080;0,08;-27,75;-0,08;27,75
2,837499;0,15;-27,68;-0,08;27,68
2,847664;0,23;-27,75;-0,15;27,75
2,861414;0,15;-27,45;0,08;27,45
2,874958;0,00;-27,30;0,08;27,30
2,877080;-0,23;-27,15;-0,08;27,15
2,887087;-0,30;-27,15;-0,30;27,15
2,897529;0,00;-27,08;-0,15;27,08
2,908962;0,15;-26,93;-0,15;26,93
2,919522;0,15;-26,78;-0,30;26,78
2,928264;0,15;-26,85;-0,45;26,85
2,937245;0,08;-27,15;-0,75;27,16
2,947671;0,38;-27,08;-0,75;27,09
2,958062;0,45;-27,08;-0,60;27,09
2,968448;0,38;-27,00;-0,45;27,01
2,981144;0,23;-26,93;-0,45;26,93
2,987809;0,15;-27,00;-0,23;27,00
2,997336;0,30;-27,15;-0,08;27,15
3,008624;0,45;-27,15;0,15;27,15
3,023879;0,60;-26,93;0,45;26,94
3,027298;0,60;-26,93;0,45;26,94
3,037100;0,75;-26,70;0,45;26,71
3,047214;0,68;-26,93;0,45;26,94
3,057416;0,60;-26,85;0,30;26,86
3,067267;0,68;-26,93;0,30;26,94
3,077339;0,45;-26,85;0,23;26,85
3,089697;0,45;-26,85;0,08;26,85
3,097358;0,15;-26,93;-0,23;26,93
3,107796;0,15;-26,93;-0,08;26,93
3,117706;0,15;-27,30;-0,08;27,30
3,127044;0,30;-27,15;-0,15;27,15
3,138674;0,15;-27,38;-0,23;27,38
3,147082;0,15;-27,38;-0,30;27,38
3,157890;0,08;-27,45;-0,45;27,45
3,169701;0,08;-27,38;-0,45;27,38
3,177421;0,15;-27,23;-0,45;27,23
3,187440;0,08;-27,23;-0,53;27,23
3,201089;-0,08;-27,15;-0,53;27,16
3,207326;-0,08;-27,08;-0,30;27,08
3,217701;0,15;-26,93;0,08;26,93
3,227628;0,23;-26,85;0,08;26,85
3,238906;0,38;-26,78;0,08;26,78
3,247564;0,45;-26,70;0,23;26,70
3,258818;0,53;-26,55;0,15;26,56
3,275566;0,68;-26,55;0,15;26,56
3,277172;0,75;-26,55;-0,15;26,56
3,287116;0,53;-26,40;-0,15;26,41
3,297405;0,53;-26,40;-0,30;26,41
3,309658;0,45;-26,40;-0,45;26,41
3,317004;0,60;-26,25;-0,15;26,26
3,327365;0,68;-26,33;-0,38;26,34
3,338281;0,75;-26,48;-0,15;26,49
3,347908;0,53;-26,40;-0,15;26,41
3,358049;0,68;-26,40;0,00;26,41
3,367392;0,75;-26,78;0,00;26,79
3,377784;0,45;-26,85;-0,30;26,86
3,387442;0,23;-26,93;-0,08;26,93
3,397406;0,23;-27,30;-0,23;27,30
3,407713;0,15;-27,38;0,15;27,38
3,427240;0,08;-27,30;0,00;27,30
3,427938;0,08;-27,30;0,00;27,30
3,442198;-0,08;-27,30;0,00;27,30
3,448404;0,08;-27,30;-0,08;27,30
3,457023;0,15;-27,23;0,15;27,23
3,467269;0,15;-27,45;0,15;27,45
3,477436;0,08;-27,45;0,15;27,45
3,487657;0,08;-27,45;0,15;27,45
3,497282;0,00;-27,75;0,38;27,75
3,507412;-0,08;-27,98;0,53;27,98
3,517650;-0,15;-28,13;0,45;28,13
3,532807;-0,15;-27,83;0,23;27,83
3,537637;0,15;-27,75;0,38;27,75
3,550175;0,45;-27,68;0,15;27,68
3,557867;0,45;-27,45;0,30;27,46
3,568933;0,45;-27,45;0,08;27,45
3,577844;0,45;-27,15;-0,15;27,15
3,588587;0,60;-26,93;-0,45;26,94
3,597492;0,53;-26,85;-0,15;26,86
3,607905;0,53;-27,00;0,15;27,01
3,617320;0,45;-27,15;0,08;27,15
3,627283;0,53;-27,15;0,15;27,16
3,639659;0,38;-27,15;0,08;27,15
3,649221;0,45;-27,15;0,08;27,15
3,657189;0,53;-27,23;0,15;27,23
3,667426;0,45;-27,30;0,45;27,31
3,677511;0,68;-27,45;0,53;27,46
3,687593;0,45;-27,53;0,38;27,53
3,708028;0,38;-27,53;0,38;27,53
3,708864;0,38;-27,15;0,38;27,16
3,719178;0,53;-27,08;0,30;27,08
3,727312;0,68;-27,15;0,30;27,16
3,737379;0,68;-27,15;0,45;27,16
3,750269;0,90;-27,15;0,08;27,17
3,757205;0,90;-26,85;0,00;26,87
3,767333;0,90;-26,85;0,00;26,87
3,777651;0,75;-26,70;-0,15;26,71
3,787598;0,60;-27,00;-0,30;27,01
3,799612;0,53;-27,15;-0,15;27,16
3,808005;0,30;-27,15;-0,08;27,15
3,817394;0,30;-27,38;-0,30;27,38
3,828240;0,00;-27,38;-0,23;27,38
3,837643;-0,15;-27,38;-0,30;27,38
3,852497;-0,15;-27,23;-0,45;27,23
3,860873;0,15;-27,45;-0,23;27,45
3,871965;0,15;-27,30;0,00;27,30
3,877189;0,45;-27,30;0,15;27,30
3,887362;0,45;-27,30;0,30;27,31
3,898888;0,45;-27,00;0,38;27,01
3,907606;0,45;-26,93;0,38;26,93
3,918395;0,53;-27,00;0,45;27,01
3,928098;0,53;-27,00;0,53;27,01
3,938934;0,53;-27,08;0,30;27,08
3,948613;0,75;-27,08;0,23;27,09
3,957425;0,75;-26,93;0,15;26,94
3,969966;0,68;-26,93;0,00;26,93
3,977308;0,60;-27,08;0,08;27,08
3,987606;0,75;-27,15;0,08;27,16
4,012402;0,68;-27,00;0,08;27,01
4,013409;0,68;-27,08;0,00;27,08
4,017429;0,83;-26,85;0,15;26,86
4,027167;0,75;-26,93;0,00;26,94
4,037264;0,53;-27,15;-0,30;27,16
4,047913;0,38;-27,15;-0,30;27,15
4,057208;0,30;-26,93;-0,45;26,93
4,067381;0,15;-26,78;-0,45;26,78
4,081118;0,00;-26,78;-0,68;26,78
4,087665;0,08;-26,70;-0,45;26,70
4,098003;-0,08;-26,85;-0,53;26,86
4,107438;-0,38;-27,00;-0,45;27,01
4,117221;-0,30;-27,08;-0,45;27,08
4,127148;-0,08;-27,08;-0,60;27,08
4,143078;0,23;-27,23;-0,23;27,23
