time;Bx;By;Bz;BT
0,002137;0,60;-26,33;0,60;26,34
0,011950;0,45;-26,40;0,38;26,41
0,018729;0,30;-26,25;0,53;26,26
0,033614;0,68;-26,33;0,68;26,34
0,038735;0,45;-26,18;0,45;26,18
0,048609;0,30;-26,25;0,15;26,25
0,058748;0,23;-26,33;0,08;26,33
0,068379;0,15;-26,48;-0,08;26,48
0,078753;0,23;-26,25;-0,15;26,25
0,101525;0,53;-26,25;0,08;26,26
0,102172;0,23;-26,40;-0,08;26,40
0,108805;0,15;-26,55;0,00;26,55
0,122049;0,08;-26,55;0,15;26,55
0,128551;0,00;-26,55;0,45;26,55
0,138938;-0,15;-26,25;0,53;26,26
0,148417;-0,15;-26,33;0,45;26,33
0,158609;0,00;-26,25;0,45;26,25
0,168889;-0,15;-26,03;0,30;26,03
0,178790;0,30;-25,88;0,30;25,88
0,199598;0,15;-25,80;0,23;25,80
0,200460;0,30;-25,88;0,15;25,88
0,208693;0,15;-25,95;-0,15;25,95
0,220758;0,15;-25,95;-0,15;25,95
0,231782;0,15;-25,95;0,08;25,95
0,238558;-0,08;-26,18;0,15;26,18
0,248397;0,00;-26,55;0,15;26,55
0,258668;-0,15;-26,55;0,00;26,55
0,268746;-0,08;-26,25;0,15;26,25
0,278743;-0,08;-26,10;0,15;26,10
0,299496;0,08;-25,88;0,30;25,88
0,300175;0,08;-25,95;0,45;25,95
0,309072;0,23;-25,88;0,30;25,88
0,319857;0,30;-25,65;0,08;25,65
0,328596;0,30;-25,65;0,30;25,65
0,341918;0,45;-25,80;0,45;25,81
0,348569;0,45;-26,03;0,15;26,03
0,358700;0,23;-26,33;0,30;26,33
0,370301;0,30;-26,55;0,23;26,55
0,378681;0,38;-26,70;-0,23;26,70
0,388696;0,23;-26,78;-0,23;26,78
0,398713;0,15;-26,93;-0,23;26,93
0,408725;0,23;-26,93;-0,38;26,93
0,421492;0,15;-26,85;-0,30;26,85
0,428263;0,15;-26,85;-0,23;26,85
