"event","experiment time","system time","system time text"
"START",0.000000000E0,1638039522.235,"2021-11-27 15:58:42.235 UTC-03:00"
"PAUSE",1.196115348E1,1638039534.196,"2021-11-27 15:58:54.196 UTC-03:00"
"START",1.196115348E1,1638039567.841,"2021-11-27 15:59:27.841 UTC-03:00"
"PAUSE",5.098394227E1,1638039606.864,"2021-11-27 16:00:06.864 UTC-03:00"
