,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,2.000000e-07,,-0.0004498,-1.72,,8.703878456613466e-06,0.043829469652364034
1,Trigger Point,2.250000000000e+03,,-0.0004496,-1.72,,8.703878456613466e-06,0.043829469652364034
2,,,,-0.0004494,-1.72,,8.703878456613466e-06,0.043829469652364034
3,,,,-0.0004492,-1.72,,8.703878456613466e-06,0.043829469652364034
4,,,,-0.000449,-1.72,,8.703878456613466e-06,0.043829469652364034
5,Source,CH1,,-0.0004488,-1.72,,8.703878456613466e-06,0.043829469652364034
6,Vertical Units,V,,-0.0004486,-1.72,,8.703878456613466e-06,0.043829469652364034
7,Vertical Scale,1.000000e+00,,-0.0004484,-1.72,,8.703878456613466e-06,0.043829469652364034
8,Vertical Offset,0.000000e+00,,-0.0004482,-1.72,,8.703878456613466e-06,0.043829469652364034
9,Horizontal Units,s,,-0.000448,-1.72,,8.703878456613466e-06,0.043829469652364034
10,Horizontal Scale,5.000000e-05,,-0.0004478,-1.76,,8.703878456613466e-06,0.04486849930638977
11,Pt Fmt,Y,,-0.0004476,-1.76,,8.703878456613466e-06,0.04486849930638977
12,Yzero,0.000000e+00,,-0.0004474,-1.76,,8.703878456613466e-06,0.04486849930638977
13,Probe Atten,1.000000e+00,,-0.0004472,-1.76,,8.703878456613466e-06,0.04486849930638977
14,Model Number,TBS1062,,-0.000447,-1.76,,8.703878456613466e-06,0.04486849930638977
15,Serial Number,C011224,,-0.0004468,-1.76,,8.703878456613466e-06,0.04486849930638977
16,Firmware Version,FV:v26.01,,-0.0004466,-1.76,,8.703878456613466e-06,0.04486849930638977
17,,,,-0.0004464,-1.76,,8.703878456613466e-06,0.04486849930638977
18,,,,-0.0004462,-1.76,,8.703878456613466e-06,0.04486849930638977
19,,,,-0.000446,-1.76,,8.703878456613466e-06,0.04486849930638977
20,,,,-0.0004458,-1.76,,8.703878456613466e-06,0.04486849930638977
21,,,,-0.0004456,-1.76,,8.703878456613466e-06,0.04486849930638977
22,,,,-0.0004454,-1.8,,8.703878456613466e-06,0.04590753805212712
23,,,,-0.0004452,-1.8,,8.703878456613466e-06,0.04590753805212712
24,,,,-0.000445,-1.8,,8.703878456613466e-06,0.04590753805212712
25,,,,-0.0004448,-1.8,,8.703878456613466e-06,0.04590753805212712
26,,,,-0.0004446,-1.8,,8.703878456613466e-06,0.04590753805212712
27,,,,-0.0004444,-1.8,,8.703878456613466e-06,0.04590753805212712
28,,,,-0.0004442,-1.8,,8.703878456613466e-06,0.04590753805212712
29,,,,-0.000444,-1.8,,8.703878456613466e-06,0.04590753805212712
30,,,,-0.0004438,-1.8,,8.703878456613466e-06,0.04590753805212712
31,,,,-0.0004436,-1.8,,8.703878456613466e-06,0.04590753805212712
32,,,,-0.0004434,-1.8,,8.703878456613466e-06,0.04590753805212712
33,,,,-0.0004432,-1.8,,8.703878456613466e-06,0.04590753805212712
34,,,,-0.000443,-1.8,,8.703878456613466e-06,0.04590753805212712
35,,,,-0.0004428,-1.8,,8.703878456613466e-06,0.04590753805212712
36,,,,-0.0004426,-1.84,,8.703878456613466e-06,0.04694658528591296
