,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,1.000000e-09,,-1.249e-06,-1.88,,8.703878456613466e-06,0.04798564045636464
1,Trigger Point,1.250000000000e+03,,-1.248e-06,-1.88,,8.703878456613466e-06,0.04798564045636464
2,,,,-1.247e-06,-1.88,,8.703878456613466e-06,0.04798564045636464
3,,,,-1.246e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
4,,,,-1.245e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
5,Source,CH2,,-1.244e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
6,Vertical Units,V,,-1.243e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
7,Vertical Scale,1.000000e+00,,-1.242e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
8,Vertical Offset,0.000000e+00,,-1.241e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
9,Horizontal Units,s,,-1.24e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
10,Horizontal Scale,2.500000e-07,,-1.239e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
11,Pt Fmt,Y,,-1.238e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
12,Yzero,0.000000e+00,,-1.237e-06,-1.84,,8.703878456613466e-06,0.04694658528591296
13,Probe Atten,1.000000e+00,,-1.236e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
14,Model Number,TBS1062,,-1.235e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
15,Serial Number,C011224,,-1.234e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
16,Firmware Version,FV:v26.01,,-1.233e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
17,,,,-1.232e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
18,,,,-1.231e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
19,,,,-1.23e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
20,,,,-1.229e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
21,,,,-1.228e-06,-1.8,,8.703878456613466e-06,0.04590753805212712
22,,,,-1.227e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
23,,,,-1.226e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
24,,,,-1.225e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
25,,,,-1.224e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
26,,,,-1.223e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
27,,,,-1.222e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
28,,,,-1.221e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
29,,,,-1.22e-06,-1.76,,8.703878456613466e-06,0.04486849930638977
30,,,,-1.219e-06,-1.72,,8.703878456613466e-06,0.043829469652364034
31,,,,-1.218e-06,-1.72,,8.703878456613466e-06,0.043829469652364034
