,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,2.000000e-05,,-0.02698,2.0,,8.703878456613466e-06,0.0528348289484077
1,Trigger Point,1.350000000000e+03,,-0.02696,2.0,,8.703878456613466e-06,0.0528348289484077
2,,,,-0.02694,2.0,,8.703878456613466e-06,0.0528348289484077
3,,,,-0.02692,2.0,,8.703878456613466e-06,0.0528348289484077
4,,,,-0.0269,2.0,,8.703878456613466e-06,0.0528348289484077
5,Source,CH1,,-0.02688,2.0,,8.703878456613466e-06,0.0528348289484077
6,Vertical Units,V,,-0.02686,2.0,,8.703878456613466e-06,0.0528348289484077
7,Vertical Scale,1.000000e+00,,-0.02684,2.0,,8.703878456613466e-06,0.0528348289484077
8,Vertical Offset,0.000000e+00,,-0.02682,2.0,,8.703878456613466e-06,0.0528348289484077
9,Horizontal Units,s,,-0.0268,2.0,,8.703878456613466e-06,0.0528348289484077
10,Horizontal Scale,5.000000e-03,,-0.02678,2.0,,8.703878456613466e-06,0.0528348289484077
11,Pt Fmt,Y,,-0.02676,2.0,,8.703878456613466e-06,0.0528348289484077
12,Yzero,0.000000e+00,,-0.02674,2.0,,8.703878456613466e-06,0.0528348289484077
13,Probe Atten,1.000000e+00,,-0.02672,2.0,,8.703878456613466e-06,0.0528348289484077
14,Model Number,TBS1062,,-0.0267,2.04,,8.703878456613466e-06,0.053873920685313964
15,Serial Number,C011224,,-0.02668,2.04,,8.703878456613466e-06,0.053873920685313964
16,Firmware Version,FV:v26.01,,-0.02666,2.04,,8.703878456613466e-06,0.053873920685313964
17,,,,-0.02664,2.04,,8.703878456613466e-06,0.053873920685313964
18,,,,-0.02662,2.04,,8.703878456613466e-06,0.053873920685313964
19,,,,-0.0266,2.04,,8.703878456613466e-06,0.053873920685313964
20,,,,-0.02658,2.04,,8.703878456613466e-06,0.053873920685313964
21,,,,-0.02656,2.04,,8.703878456613466e-06,0.053873920685313964
22,,,,-0.02654,2.04,,8.703878456613466e-06,0.053873920685313964
23,,,,-0.02652,2.04,,8.703878456613466e-06,0.053873920685313964
24,,,,-0.0265,2.04,,8.703878456613466e-06,0.053873920685313964
25,,,,-0.02648,2.04,,8.703878456613466e-06,0.053873920685313964
26,,,,-0.02646,2.04,,8.703878456613466e-06,0.053873920685313964
27,,,,-0.02644,2.04,,8.703878456613466e-06,0.053873920685313964
28,,,,-0.02642,2.04,,8.703878456613466e-06,0.053873920685313964
29,,,,-0.0264,2.04,,8.703878456613466e-06,0.053873920685313964
30,,,,-0.02638,2.04,,8.703878456613466e-06,0.053873920685313964
31,,,,-0.02636,2.04,,8.703878456613466e-06,0.053873920685313964
32,,,,-0.02634,2.04,,8.703878456613466e-06,0.053873920685313964
33,,,,-0.02632,2.04,,8.703878456613466e-06,0.053873920685313964
34,,,,-0.0263,2.04,,8.703878456613466e-06,0.053873920685313964
35,,,,-0.02628,2.04,,8.703878456613466e-06,0.053873920685313964
36,,,,-0.02626,2.04,,8.703878456613466e-06,0.053873920685313964
37,,,,-0.02624,2.04,,8.703878456613466e-06,0.053873920685313964
38,,,,-0.02622,2.04,,8.703878456613466e-06,0.053873920685313964
39,,,,-0.0262,2.04,,8.703878456613466e-06,0.053873920685313964
40,,,,-0.02618,2.04,,8.703878456613466e-06,0.053873920685313964
41,,,,-0.02616,2.04,,8.703878456613466e-06,0.053873920685313964
42,,,,-0.02614,2.04,,8.703878456613466e-06,0.053873920685313964
