,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,1.000000e-05,,-0.01229,-0.34,,8.703878456613466e-06,0.008014899875076418
1,Trigger Point,1.230000000000e+03,,-0.01228,-0.34,,8.703878456613466e-06,0.008014899875076418
2,,,,-0.01227,-0.336,,8.703878456613466e-06,0.007911601481842978
3,,,,-0.01226,-0.336,,8.703878456613466e-06,0.007911601481842978
4,,,,-0.01225,-0.34,,8.703878456613466e-06,0.008014899875076418
5,Source,CH2,,-0.01224,-0.336,,8.703878456613466e-06,0.007911601481842978
6,Vertical Units,V,,-0.01223,-0.332,,8.703878456613466e-06,0.007808319666067725
7,Vertical Scale,1.000000e-01,,-0.01222,-0.336,,8.703878456613466e-06,0.007911601481842978
8,Vertical Offset,0.000000e+00,,-0.01221,-0.336,,8.703878456613466e-06,0.007911601481842978
9,Horizontal Units,s,,-0.0122,-0.336,,8.703878456613466e-06,0.007911601481842978
10,Horizontal Scale,2.500000e-03,,-0.01219,-0.332,,8.703878456613466e-06,0.007808319666067725
11,Pt Fmt,Y,,-0.01218,-0.332,,8.703878456613466e-06,0.007808319666067725
12,Yzero,0.000000e+00,,-0.01217,-0.332,,8.703878456613466e-06,0.007808319666067725
13,Probe Atten,1.000000e+00,,-0.01216,-0.332,,8.703878456613466e-06,0.007808319666067725
14,Model Number,TBS1062,,-0.01215,-0.328,,8.703878456613466e-06,0.007705055094384465
15,Serial Number,C011224,,-0.01214,-0.332,,8.703878456613466e-06,0.007808319666067725
16,Firmware Version,FV:v26.01,,-0.01213,-0.328,,8.703878456613466e-06,0.007705055094384465
17,,,,-0.01212,-0.328,,8.703878456613466e-06,0.007705055094384465
18,,,,-0.01211,-0.328,,8.703878456613466e-06,0.007705055094384465
19,,,,-0.0121,-0.328,,8.703878456613466e-06,0.007705055094384465
20,,,,-0.01209,-0.324,,8.703878456613466e-06,0.00760180846953539
21,,,,-0.01208,-0.324,,8.703878456613466e-06,0.00760180846953539
22,,,,-0.01207,-0.324,,8.703878456613466e-06,0.00760180846953539
23,,,,-0.01206,-0.324,,8.703878456613466e-06,0.00760180846953539
24,,,,-0.01205,-0.324,,8.703878456613466e-06,0.00760180846953539
25,,,,-0.01204,-0.32,,8.703878456613466e-06,0.0074985805328408655
26,,,,-0.01203,-0.32,,8.703878456613466e-06,0.0074985805328408655
27,,,,-0.01202,-0.32,,8.703878456613466e-06,0.0074985805328408655
28,,,,-0.01201,-0.32,,8.703878456613466e-06,0.0074985805328408655
29,,,,-0.012,-0.32,,8.703878456613466e-06,0.0074985805328408655
30,,,,-0.01199,-0.316,,8.703878456613466e-06,0.007395372066873987
31,,,,-0.01198,-0.316,,8.703878456613466e-06,0.007395372066873987
32,,,,-0.01197,-0.316,,8.703878456613466e-06,0.007395372066873987
33,,,,-0.01196,-0.316,,8.703878456613466e-06,0.007395372066873987
34,,,,-0.01195,-0.312,,8.703878456613466e-06,0.007292183898359942
35,,,,-0.01194,-0.316,,8.703878456613466e-06,0.007395372066873987
36,,,,-0.01193,-0.312,,8.703878456613466e-06,0.007292183898359942
37,,,,-0.01192,-0.312,,8.703878456613466e-06,0.007292183898359942
38,,,,-0.01191,-0.312,,8.703878456613466e-06,0.007292183898359942
39,,,,-0.0119,-0.312,,8.703878456613466e-06,0.007292183898359942
40,,,,-0.01189,-0.308,,8.703878456613466e-06,0.0071890169013224614
41,,,,-0.01188,-0.308,,8.703878456613466e-06,0.0071890169013224614
42,,,,-0.01187,-0.308,,8.703878456613466e-06,0.0071890169013224614
43,,,,-0.01186,-0.304,,8.703878456613466e-06,0.007085872000502124
44,,,,-0.01185,-0.304,,8.703878456613466e-06,0.007085872000502124
