,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,2.000000e-06,,-0.004498,-0.108,,8.703878456613466e-06,0.0021267026137897133
1,Trigger Point,2.250000000000e+03,,-0.004496,-0.108,,8.703878456613466e-06,0.0021267026137897133
2,,,,-0.004494,-0.108,,8.703878456613466e-06,0.0021267026137897133
3,,,,-0.004492,-0.108,,8.703878456613466e-06,0.0021267026137897133
4,,,,-0.00449,-0.108,,8.703878456613466e-06,0.0021267026137897133
5,Source,CH2,,-0.004488,-0.108,,8.703878456613466e-06,0.0021267026137897133
6,Vertical Units,V,,-0.004486,-0.104,,8.703878456613466e-06,0.0020323587300228275
7,Vertical Scale,1.000000e-01,,-0.004484,-0.104,,8.703878456613466e-06,0.0020323587300228275
8,Vertical Offset,0.000000e+00,,-0.004482,-0.104,,8.703878456613466e-06,0.0020323587300228275
9,Horizontal Units,s,,-0.00448,-0.104,,8.703878456613466e-06,0.0020323587300228275
10,Horizontal Scale,5.000000e-04,,-0.004478,-0.104,,8.703878456613466e-06,0.0020323587300228275
11,Pt Fmt,Y,,-0.004476,-0.104,,8.703878456613466e-06,0.0020323587300228275
12,Yzero,0.000000e+00,,-0.004474,-0.104,,8.703878456613466e-06,0.0020323587300228275
13,Probe Atten,1.000000e+00,,-0.004472,-0.1,,8.703878456613466e-06,0.0019389945867639754
14,Model Number,TBS1062,,-0.00447,-0.1,,8.703878456613466e-06,0.0019389945867639754
15,Serial Number,C011224,,-0.004468,-0.1,,8.703878456613466e-06,0.0019389945867639754
16,Firmware Version,FV:v26.01,,-0.004466,-0.1,,8.703878456613466e-06,0.0019389945867639754
17,,,,-0.004464,-0.1,,8.703878456613466e-06,0.0019389945867639754
18,,,,-0.004462,-0.1,,8.703878456613466e-06,0.0019389945867639754
19,,,,-0.00446,-0.1,,8.703878456613466e-06,0.0019389945867639754
20,,,,-0.004458,-0.1,,8.703878456613466e-06,0.0019389945867639754
21,,,,-0.004456,-0.096,,8.703878456613466e-06,0.0018467587843299946
22,,,,-0.004454,-0.096,,8.703878456613466e-06,0.0018467587843299946
23,,,,-0.004452,-0.096,,8.703878456613466e-06,0.0018467587843299946
24,,,,-0.00445,-0.096,,8.703878456613466e-06,0.0018467587843299946
25,,,,-0.004448,-0.096,,8.703878456613466e-06,0.0018467587843299946
26,,,,-0.004446,-0.096,,8.703878456613466e-06,0.0018467587843299946
27,,,,-0.004444,-0.092,,8.703878456613466e-06,0.0017558291509996067
28,,,,-0.004442,-0.092,,8.703878456613466e-06,0.0017558291509996067
29,,,,-0.00444,-0.092,,8.703878456613466e-06,0.0017558291509996067
30,,,,-0.004438,-0.092,,8.703878456613466e-06,0.0017558291509996067
31,,,,-0.004436,-0.092,,8.703878456613466e-06,0.0017558291509996067
32,,,,-0.004434,-0.092,,8.703878456613466e-06,0.0017558291509996067
33,,,,-0.004432,-0.088,,8.703878456613466e-06,0.001666419517258484
34,,,,-0.00443,-0.088,,8.703878456613466e-06,0.001666419517258484
35,,,,-0.004428,-0.088,,8.703878456613466e-06,0.001666419517258484
36,,,,-0.004426,-0.088,,8.703878456613466e-06,0.001666419517258484
