,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,1.000000e-04,,-0.1269,-2.0,,8.703878456613466e-06,0.05110284874649846
1,Trigger Point,1.270000000000e+03,,-0.1268,-2.0,,8.703878456613466e-06,0.05110284874649846
2,,,,-0.1267,-2.0,,8.703878456613466e-06,0.05110284874649846
3,,,,-0.1266,-2.0,,8.703878456613466e-06,0.05110284874649846
4,,,,-0.1265,-2.0,,8.703878456613466e-06,0.05110284874649846
5,Source,CH1,,-0.1264,-2.0,,8.703878456613466e-06,0.05110284874649846
6,Vertical Units,V,,-0.1263,-2.0,,8.703878456613466e-06,0.05110284874649846
7,Vertical Scale,1.000000e+00,,-0.1262,-2.0,,8.703878456613466e-06,0.05110284874649846
8,Vertical Offset,0.000000e+00,,-0.1261,-2.0,,8.703878456613466e-06,0.05110284874649846
9,Horizontal Units,s,,-0.126,-2.0,,8.703878456613466e-06,0.05110284874649846
10,Horizontal Scale,2.500000e-02,,-0.1259,-2.0,,8.703878456613466e-06,0.05110284874649846
11,Pt Fmt,Y,,-0.1258,-2.0,,8.703878456613466e-06,0.05110284874649846
12,Yzero,0.000000e+00,,-0.1257,-2.0,,8.703878456613466e-06,0.05110284874649846
13,Probe Atten,1.000000e+00,,-0.1256,-2.0,,8.703878456613466e-06,0.05110284874649846
14,Model Number,TBS1062,,-0.1255,-2.0,,8.703878456613466e-06,0.05110284874649846
15,Serial Number,C011224,,-0.1254,-2.0,,8.703878456613466e-06,0.05110284874649846
16,Firmware Version,FV:v26.01,,-0.1253,-2.0,,8.703878456613466e-06,0.05110284874649846
17,,,,-0.1252,-2.0,,8.703878456613466e-06,0.05110284874649846
18,,,,-0.1251,-2.0,,8.703878456613466e-06,0.05110284874649846
19,,,,-0.125,-2.0,,8.703878456613466e-06,0.05110284874649846
20,,,,-0.1249,-2.0,,8.703878456613466e-06,0.05110284874649846
21,,,,-0.1248,-2.0,,8.703878456613466e-06,0.05110284874649846
22,,,,-0.1247,-2.0,,8.703878456613466e-06,0.05110284874649846
23,,,,-0.1246,-2.0,,8.703878456613466e-06,0.05110284874649846
24,,,,-0.1245,-2.0,,8.703878456613466e-06,0.05110284874649846
25,,,,-0.1244,-2.0,,8.703878456613466e-06,0.05110284874649846
26,,,,-0.1243,-2.0,,8.703878456613466e-06,0.05110284874649846
27,,,,-0.1242,-2.0,,8.703878456613466e-06,0.05110284874649846
28,,,,-0.1241,-1.96,,8.703878456613466e-06,0.050063772630590864
29,,,,-0.124,-1.96,,8.703878456613466e-06,0.050063772630590864
30,,,,-0.1239,-1.96,,8.703878456613466e-06,0.050063772630590864
31,,,,-0.1238,-1.96,,8.703878456613466e-06,0.050063772630590864
32,,,,-0.1237,-1.96,,8.703878456613466e-06,0.050063772630590864
33,,,,-0.1236,-1.96,,8.703878456613466e-06,0.050063772630590864
34,,,,-0.1235,-1.96,,8.703878456613466e-06,0.050063772630590864
35,,,,-0.1234,-1.96,,8.703878456613466e-06,0.050063772630590864
36,,,,-0.1233,-1.96,,8.703878456613466e-06,0.050063772630590864
37,,,,-0.1232,-1.96,,8.703878456613466e-06,0.050063772630590864
38,,,,-0.1231,-1.96,,8.703878456613466e-06,0.050063772630590864
39,,,,-0.123,-1.96,,8.703878456613466e-06,0.050063772630590864
