,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,1.000000e-05,,-0.01229,-4.0,,8.703878456613466e-06,0.10306062366397507
1,Trigger Point,1.230000000000e+03,,-0.01228,-4.0,,8.703878456613466e-06,0.10306062366397507
2,,,,-0.01227,-3.92,,8.703878456613466e-06,0.1009822385868302
3,,,,-0.01226,-3.92,,8.703878456613466e-06,0.1009822385868302
4,,,,-0.01225,-3.92,,8.703878456613466e-06,0.1009822385868302
5,Source,CH1,,-0.01224,-3.92,,8.703878456613466e-06,0.1009822385868302
6,Vertical Units,V,,-0.01223,-3.92,,8.703878456613466e-06,0.1009822385868302
7,Vertical Scale,2.000000e+00,,-0.01222,-3.92,,8.703878456613466e-06,0.1009822385868302
8,Vertical Offset,1.600000e-01,,-0.01221,-3.92,,8.703878456613466e-06,0.1009822385868302
9,Horizontal Units,s,,-0.0122,-3.92,,8.703878456613466e-06,0.1009822385868302
10,Horizontal Scale,2.500000e-03,,-0.01219,-3.92,,8.703878456613466e-06,0.1009822385868302
11,Pt Fmt,Y,,-0.01218,-3.92,,8.703878456613466e-06,0.1009822385868302
12,Yzero,0.000000e+00,,-0.01217,-3.92,,8.703878456613466e-06,0.1009822385868302
13,Probe Atten,1.000000e+00,,-0.01216,-3.92,,8.703878456613466e-06,0.1009822385868302
14,Model Number,TBS1062,,-0.01215,-3.92,,8.703878456613466e-06,0.1009822385868302
15,Serial Number,C011224,,-0.01214,-3.92,,8.703878456613466e-06,0.1009822385868302
16,Firmware Version,FV:v26.01,,-0.01213,-3.92,,8.703878456613466e-06,0.1009822385868302
17,,,,-0.01212,-3.92,,8.703878456613466e-06,0.1009822385868302
18,,,,-0.01211,-3.92,,8.703878456613466e-06,0.1009822385868302
19,,,,-0.0121,-3.92,,8.703878456613466e-06,0.1009822385868302
20,,,,-0.01209,-3.84,,8.703878456613466e-06,0.0989038566993598
21,,,,-0.01208,-3.84,,8.703878456613466e-06,0.0989038566993598
22,,,,-0.01207,-3.84,,8.703878456613466e-06,0.0989038566993598
23,,,,-0.01206,-3.84,,8.703878456613466e-06,0.0989038566993598
24,,,,-0.01205,-3.84,,8.703878456613466e-06,0.0989038566993598
25,,,,-0.01204,-3.84,,8.703878456613466e-06,0.0989038566993598
26,,,,-0.01203,-3.76,,8.703878456613466e-06,0.09682547820696522
27,,,,-0.01202,-3.84,,8.703878456613466e-06,0.0989038566993598
28,,,,-0.01201,-3.76,,8.703878456613466e-06,0.09682547820696522
29,,,,-0.012,-3.84,,8.703878456613466e-06,0.0989038566993598
30,,,,-0.01199,-3.76,,8.703878456613466e-06,0.09682547820696522
31,,,,-0.01198,-3.76,,8.703878456613466e-06,0.09682547820696522
32,,,,-0.01197,-3.76,,8.703878456613466e-06,0.09682547820696522
33,,,,-0.01196,-3.76,,8.703878456613466e-06,0.09682547820696522
34,,,,-0.01195,-3.76,,8.703878456613466e-06,0.09682547820696522
35,,,,-0.01194,-3.76,,8.703878456613466e-06,0.09682547820696522
36,,,,-0.01193,-3.68,,8.703878456613466e-06,0.09474710333307028
37,,,,-0.01192,-3.76,,8.703878456613466e-06,0.09682547820696522
38,,,,-0.01191,-3.68,,8.703878456613466e-06,0.09474710333307028
39,,,,-0.0119,-3.68,,8.703878456613466e-06,0.09474710333307028
40,,,,-0.01189,-3.68,,8.703878456613466e-06,0.09474710333307028
41,,,,-0.01188,-3.68,,8.703878456613466e-06,0.09474710333307028
42,,,,-0.01187,-3.68,,8.703878456613466e-06,0.09474710333307028
43,,,,-0.01186,-3.68,,8.703878456613466e-06,0.09474710333307028
44,,,,-0.01185,-3.68,,8.703878456613466e-06,0.09474710333307028
45,,,,-0.01184,-3.68,,8.703878456613466e-06,0.09474710333307028
46,,,,-0.01183,-3.68,,8.703878456613466e-06,0.09474710333307028
47,,,,-0.01182,-3.6,,8.703878456613466e-06,0.09266873232114217
48,,,,-0.01181,-3.6,,8.703878456613466e-06,0.09266873232114217
49,,,,-0.0118,-3.6,,8.703878456613466e-06,0.09266873232114217
50,,,,-0.01179,-3.6,,8.703878456613466e-06,0.09266873232114217
51,,,,-0.01178,-3.6,,8.703878456613466e-06,0.09266873232114217
52,,,,-0.01177,-3.6,,8.703878456613466e-06,0.09266873232114217
53,,,,-0.01176,-3.6,,8.703878456613466e-06,0.09266873232114217
54,,,,-0.01175,-3.6,,8.703878456613466e-06,0.09266873232114217
55,,,,-0.01174,-3.6,,8.703878456613466e-06,0.09266873232114217
56,,,,-0.01173,-3.52,,8.703878456613466e-06,0.09059036543699059
57,,,,-0.01172,-3.52,,8.703878456613466e-06,0.09059036543699059
58,,,,-0.01171,-3.52,,8.703878456613466e-06,0.09059036543699059
59,,,,-0.0117,-3.52,,8.703878456613466e-06,0.09059036543699059
60,,,,-0.01169,-3.52,,8.703878456613466e-06,0.09059036543699059
61,,,,-0.01168,-3.44,,8.703878456613466e-06,0.08851200297139084
62,,,,-0.01167,-3.52,,8.703878456613466e-06,0.09059036543699059
63,,,,-0.01166,-3.44,,8.703878456613466e-06,0.08851200297139084
64,,,,-0.01165,-3.52,,8.703878456613466e-06,0.09059036543699059
65,,,,-0.01164,-3.36,,8.703878456613466e-06,0.08643364524308515
66,,,,-0.01163,-3.36,,8.703878456613466e-06,0.08643364524308515
67,,,,-0.01162,-3.44,,8.703878456613466e-06,0.08851200297139084
68,,,,-0.01161,-3.44,,8.703878456613466e-06,0.08851200297139084
69,,,,-0.0116,-3.36,,8.703878456613466e-06,0.08643364524308515
70,,,,-0.01159,-3.36,,8.703878456613466e-06,0.08643364524308515
71,,,,-0.01158,-3.36,,8.703878456613466e-06,0.08643364524308515
72,,,,-0.01157,-3.36,,8.703878456613466e-06,0.08643364524308515
73,,,,-0.01156,-3.28,,8.703878456613466e-06,0.08435529260222797
74,,,,-0.01155,-3.28,,8.703878456613466e-06,0.08435529260222797
75,,,,-0.01154,-3.28,,8.703878456613466e-06,0.08435529260222797
76,,,,-0.01153,-3.28,,8.703878456613466e-06,0.08435529260222797
77,,,,-0.01152,-3.28,,8.703878456613466e-06,0.08435529260222797
78,,,,-0.01151,-3.2,,8.703878456613466e-06,0.08227694543435299
79,,,,-0.0115,-3.2,,8.703878456613466e-06,0.08227694543435299
80,,,,-0.01149,-3.2,,8.703878456613466e-06,0.08227694543435299
81,,,,-0.01148,-3.2,,8.703878456613466e-06,0.08227694543435299
82,,,,-0.01147,-3.12,,8.703878456613466e-06,0.08019860416495726
83,,,,-0.01146,-3.2,,8.703878456613466e-06,0.08227694543435299
84,,,,-0.01145,-3.2,,8.703878456613466e-06,0.08227694543435299
85,,,,-0.01144,-3.12,,8.703878456613466e-06,0.08019860416495726
86,,,,-0.01143,-3.12,,8.703878456613466e-06,0.08019860416495726
87,,,,-0.01142,-3.12,,8.703878456613466e-06,0.08019860416495726
88,,,,-0.01141,-3.12,,8.703878456613466e-06,0.08019860416495726
89,,,,-0.0114,-3.04,,8.703878456613466e-06,0.07812026926481692
90,,,,-0.01139,-3.04,,8.703878456613466e-06,0.07812026926481692
91,,,,-0.01138,-3.04,,8.703878456613466e-06,0.07812026926481692
92,,,,-0.01137,-3.04,,8.703878456613466e-06,0.07812026926481692
93,,,,-0.01136,-2.96,,8.703878456613466e-06,0.07604194125617453
94,,,,-0.01135,-3.04,,8.703878456613466e-06,0.07812026926481692
95,,,,-0.01134,-2.96,,8.703878456613466e-06,0.07604194125617453
96,,,,-0.01133,-2.96,,8.703878456613466e-06,0.07604194125617453
97,,,,-0.01132,-2.88,,8.703878456613466e-06,0.07396362071996948
98,,,,-0.01131,-2.96,,8.703878456613466e-06,0.07604194125617453
99,,,,-0.0113,-2.88,,8.703878456613466e-06,0.07396362071996948
100,,,,-0.01129,-2.8,,8.703878456613466e-06,0.0718853083043225
101,,,,-0.01128,-2.8,,8.703878456613466e-06,0.0718853083043225
102,,,,-0.01127,-2.88,,8.703878456613466e-06,0.07396362071996948
103,,,,-0.01126,-2.8,,8.703878456613466e-06,0.0718853083043225
104,,,,-0.01125,-2.8,,8.703878456613466e-06,0.0718853083043225
105,,,,-0.01124,-2.72,,8.703878456613466e-06,0.06980700473453577
106,,,,-0.01123,-2.8,,8.703878456613466e-06,0.0718853083043225
107,,,,-0.01122,-2.72,,8.703878456613466e-06,0.06980700473453577
108,,,,-0.01121,-2.72,,8.703878456613466e-06,0.06980700473453577
109,,,,-0.0112,-2.72,,8.703878456613466e-06,0.06980700473453577
110,,,,-0.01119,-2.72,,8.703878456613466e-06,0.06980700473453577
111,,,,-0.01118,-2.72,,8.703878456613466e-06,0.06980700473453577
112,,,,-0.01117,-2.72,,8.703878456613466e-06,0.06980700473453577
113,,,,-0.01116,-2.64,,8.703878456613466e-06,0.06772871082493377
114,,,,-0.01115,-2.72,,8.703878456613466e-06,0.06980700473453577
115,,,,-0.01114,-2.64,,8.703878456613466e-06,0.06772871082493377
116,,,,-0.01113,-2.64,,8.703878456613466e-06,0.06772871082493377
117,,,,-0.01112,-2.56,,8.703878456613466e-06,0.06565042749295315
118,,,,-0.01111,-2.56,,8.703878456613466e-06,0.06565042749295315
119,,,,-0.0111,-2.56,,8.703878456613466e-06,0.06565042749295315
120,,,,-0.01109,-2.48,,8.703878456613466e-06,0.06357215577599598
121,,,,-0.01108,-2.48,,8.703878456613466e-06,0.06357215577599598
122,,,,-0.01107,-2.48,,8.703878456613466e-06,0.06357215577599598
123,,,,-0.01106,-2.4,,8.703878456613466e-06,0.06149389685169983
