,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,2.000000e-07,,-0.0004498,-1.3,,8.703878456613466e-06,0.0329204237519431
1,Trigger Point,2.250000000000e+03,,-0.0004496,-1.3,,8.703878456613466e-06,0.0329204237519431
2,,,,-0.0004494,-1.3,,8.703878456613466e-06,0.0329204237519431
3,,,,-0.0004492,-1.3,,8.703878456613466e-06,0.0329204237519431
4,,,,-0.000449,-1.3,,8.703878456613466e-06,0.0329204237519431
5,Source,CH2,,-0.0004488,-1.3,,8.703878456613466e-06,0.0329204237519431
6,Vertical Units,V,,-0.0004486,-1.3,,8.703878456613466e-06,0.0329204237519431
7,Vertical Scale,5.000000e-01,,-0.0004484,-1.3,,8.703878456613466e-06,0.0329204237519431
8,Vertical Offset,0.000000e+00,,-0.0004482,-1.3,,8.703878456613466e-06,0.0329204237519431
9,Horizontal Units,s,,-0.000448,-1.3,,8.703878456613466e-06,0.0329204237519431
10,Horizontal Scale,5.000000e-05,,-0.0004478,-1.28,,8.703878456613466e-06,0.032400993657718265
11,Pt Fmt,Y,,-0.0004476,-1.28,,8.703878456613466e-06,0.032400993657718265
12,Yzero,0.000000e+00,,-0.0004474,-1.28,,8.703878456613466e-06,0.032400993657718265
13,Probe Atten,1.000000e+00,,-0.0004472,-1.28,,8.703878456613466e-06,0.032400993657718265
14,Model Number,TBS1062,,-0.000447,-1.28,,8.703878456613466e-06,0.032400993657718265
15,Serial Number,C011224,,-0.0004468,-1.28,,8.703878456613466e-06,0.032400993657718265
16,Firmware Version,FV:v26.01,,-0.0004466,-1.28,,8.703878456613466e-06,0.032400993657718265
17,,,,-0.0004464,-1.28,,8.703878456613466e-06,0.032400993657718265
18,,,,-0.0004462,-1.28,,8.703878456613466e-06,0.032400993657718265
19,,,,-0.000446,-1.28,,8.703878456613466e-06,0.032400993657718265
20,,,,-0.0004458,-1.28,,8.703878456613466e-06,0.032400993657718265
21,,,,-0.0004456,-1.26,,8.703878456613466e-06,0.031881569597613915
22,,,,-0.0004454,-1.26,,8.703878456613466e-06,0.031881569597613915
23,,,,-0.0004452,-1.26,,8.703878456613466e-06,0.031881569597613915
24,,,,-0.000445,-1.26,,8.703878456613466e-06,0.031881569597613915
25,,,,-0.0004448,-1.26,,8.703878456613466e-06,0.031881569597613915
26,,,,-0.0004446,-1.26,,8.703878456613466e-06,0.031881569597613915
27,,,,-0.0004444,-1.26,,8.703878456613466e-06,0.031881569597613915
28,,,,-0.0004442,-1.26,,8.703878456613466e-06,0.031881569597613915
29,,,,-0.000444,-1.26,,8.703878456613466e-06,0.031881569597613915
30,,,,-0.0004438,-1.26,,8.703878456613466e-06,0.031881569597613915
31,,,,-0.0004436,-1.24,,8.703878456613466e-06,0.03136215187144369
32,,,,-0.0004434,-1.24,,8.703878456613466e-06,0.03136215187144369
33,,,,-0.0004432,-1.24,,8.703878456613466e-06,0.03136215187144369
34,,,,-0.000443,-1.24,,8.703878456613466e-06,0.03136215187144369
35,,,,-0.0004428,-1.24,,8.703878456613466e-06,0.03136215187144369
36,,,,-0.0004426,-1.24,,8.703878456613466e-06,0.03136215187144369
37,,,,-0.0004424,-1.24,,8.703878456613466e-06,0.03136215187144369
38,,,,-0.0004422,-1.24,,8.703878456613466e-06,0.03136215187144369
39,,,,-0.000442,-1.24,,8.703878456613466e-06,0.03136215187144369
40,,,,-0.0004418,-1.24,,8.703878456613466e-06,0.03136215187144369
41,,,,-0.0004416,-1.22,,8.703878456613466e-06,0.030842740799214
42,,,,-0.0004414,-1.22,,8.703878456613466e-06,0.030842740799214
43,,,,-0.0004412,-1.22,,8.703878456613466e-06,0.030842740799214
44,,,,-0.000441,-1.22,,8.703878456613466e-06,0.030842740799214
45,,,,-0.0004408,-1.22,,8.703878456613466e-06,0.030842740799214
46,,,,-0.0004406,-1.22,,8.703878456613466e-06,0.030842740799214
47,,,,-0.0004404,-1.22,,8.703878456613466e-06,0.030842740799214
48,,,,-0.0004402,-1.22,,8.703878456613466e-06,0.030842740799214
49,,,,-0.00044,-1.2,,8.703878456613466e-06,0.030323336722852576
50,,,,-0.0004398,-1.2,,8.703878456613466e-06,0.030323336722852576
51,,,,-0.0004396,-1.2,,8.703878456613466e-06,0.030323336722852576
52,,,,-0.0004394,-1.2,,8.703878456613466e-06,0.030323336722852576
53,,,,-0.0004392,-1.2,,8.703878456613466e-06,0.030323336722852576
54,,,,-0.000439,-1.2,,8.703878456613466e-06,0.030323336722852576
55,,,,-0.0004388,-1.2,,8.703878456613466e-06,0.030323336722852576
56,,,,-0.0004386,-1.2,,8.703878456613466e-06,0.030323336722852576
57,,,,-0.0004384,-1.2,,8.703878456613466e-06,0.030323336722852576
58,,,,-0.0004382,-1.18,,8.703878456613466e-06,0.029803940008118045
59,,,,-0.000438,-1.18,,8.703878456613466e-06,0.029803940008118045
60,,,,-0.0004378,-1.18,,8.703878456613466e-06,0.029803940008118045
61,,,,-0.0004376,-1.18,,8.703878456613466e-06,0.029803940008118045
62,,,,-0.0004374,-1.18,,8.703878456613466e-06,0.029803940008118045
63,,,,-0.0004372,-1.18,,8.703878456613466e-06,0.029803940008118045
64,,,,-0.000437,-1.18,,8.703878456613466e-06,0.029803940008118045
65,,,,-0.0004368,-1.16,,8.703878456613466e-06,0.02928455104671232
66,,,,-0.0004366,-1.16,,8.703878456613466e-06,0.02928455104671232
67,,,,-0.0004364,-1.16,,8.703878456613466e-06,0.02928455104671232
68,,,,-0.0004362,-1.16,,8.703878456613466e-06,0.02928455104671232
69,,,,-0.000436,-1.16,,8.703878456613466e-06,0.02928455104671232
70,,,,-0.0004358,-1.16,,8.703878456613466e-06,0.02928455104671232
71,,,,-0.0004356,-1.16,,8.703878456613466e-06,0.02928455104671232
72,,,,-0.0004354,-1.16,,8.703878456613466e-06,0.02928455104671232
73,,,,-0.0004352,-1.14,,8.703878456613466e-06,0.02876517025862179
74,,,,-0.000435,-1.14,,8.703878456613466e-06,0.02876517025862179
75,,,,-0.0004348,-1.14,,8.703878456613466e-06,0.02876517025862179
76,,,,-0.0004346,-1.14,,8.703878456613466e-06,0.02876517025862179
77,,,,-0.0004344,-1.14,,8.703878456613466e-06,0.02876517025862179
78,,,,-0.0004342,-1.14,,8.703878456613466e-06,0.02876517025862179
79,,,,-0.000434,-1.14,,8.703878456613466e-06,0.02876517025862179
80,,,,-0.0004338,-1.12,,8.703878456613466e-06,0.02824579809471667
81,,,,-0.0004336,-1.12,,8.703878456613466e-06,0.02824579809471667
82,,,,-0.0004334,-1.12,,8.703878456613466e-06,0.02824579809471667
83,,,,-0.0004332,-1.12,,8.703878456613466e-06,0.02824579809471667
84,,,,-0.000433,-1.12,,8.703878456613466e-06,0.02824579809471667
85,,,,-0.0004328,-1.12,,8.703878456613466e-06,0.02824579809471667
86,,,,-0.0004326,-1.12,,8.703878456613466e-06,0.02824579809471667
87,,,,-0.0004324,-1.1,,8.703878456613466e-06,0.02772643503964222
88,,,,-0.0004322,-1.1,,8.703878456613466e-06,0.02772643503964222
89,,,,-0.000432,-1.1,,8.703878456613466e-06,0.02772643503964222
90,,,,-0.0004318,-1.1,,8.703878456613466e-06,0.02772643503964222
91,,,,-0.0004316,-1.1,,8.703878456613466e-06,0.02772643503964222
92,,,,-0.0004314,-1.1,,8.703878456613466e-06,0.02772643503964222
93,,,,-0.0004312,-1.1,,8.703878456613466e-06,0.02772643503964222
94,,,,-0.000431,-1.08,,8.703878456613466e-06,0.02720708161504096
95,,,,-0.0004308,-1.08,,8.703878456613466e-06,0.02720708161504096
96,,,,-0.0004306,-1.08,,8.703878456613466e-06,0.02720708161504096
97,,,,-0.0004304,-1.08,,8.703878456613466e-06,0.02720708161504096
98,,,,-0.0004302,-1.08,,8.703878456613466e-06,0.02720708161504096
99,,,,-0.00043,-1.08,,8.703878456613466e-06,0.02720708161504096
100,,,,-0.0004298,-1.06,,8.703878456613466e-06,0.02668773838315079
101,,,,-0.0004296,-1.06,,8.703878456613466e-06,0.02668773838315079
102,,,,-0.0004294,-1.06,,8.703878456613466e-06,0.02668773838315079
103,,,,-0.0004292,-1.06,,8.703878456613466e-06,0.02668773838315079
104,,,,-0.000429,-1.06,,8.703878456613466e-06,0.02668773838315079
105,,,,-0.0004288,-1.06,,8.703878456613466e-06,0.02668773838315079
106,,,,-0.0004286,-1.04,,8.703878456613466e-06,0.02616840595083124
107,,,,-0.0004284,-1.04,,8.703878456613466e-06,0.02616840595083124
108,,,,-0.0004282,-1.04,,8.703878456613466e-06,0.02616840595083124
109,,,,-0.000428,-1.04,,8.703878456613466e-06,0.02616840595083124
110,,,,-0.0004278,-1.04,,8.703878456613466e-06,0.02616840595083124
111,,,,-0.0004276,-1.04,,8.703878456613466e-06,0.02616840595083124
112,,,,-0.0004274,-1.02,,8.703878456613466e-06,0.025649084974078508
113,,,,-0.0004272,-1.02,,8.703878456613466e-06,0.025649084974078508
114,,,,-0.000427,-1.02,,8.703878456613466e-06,0.025649084974078508
115,,,,-0.0004268,-1.02,,8.703878456613466e-06,0.025649084974078508
116,,,,-0.0004266,-1.02,,8.703878456613466e-06,0.025649084974078508
117,,,,-0.0004264,-1.02,,8.703878456613466e-06,0.025649084974078508
118,,,,-0.0004262,-1.0,,8.703878456613466e-06,0.025129776163099818
119,,,,-0.000426,-1.0,,8.703878456613466e-06,0.025129776163099818
120,,,,-0.0004258,-1.0,,8.703878456613466e-06,0.025129776163099818
121,,,,-0.0004256,-1.0,,8.703878456613466e-06,0.025129776163099818
122,,,,-0.0004254,-1.0,,8.703878456613466e-06,0.025129776163099818
123,,,,-0.0004252,-1.0,,8.703878456613466e-06,0.025129776163099818
124,,,,-0.000425,-0.98,,8.703878456613466e-06,0.02461048028802973
125,,,,-0.0004248,-0.98,,8.703878456613466e-06,0.02461048028802973
126,,,,-0.0004246,-0.98,,8.703878456613466e-06,0.02461048028802973
127,,,,-0.0004244,-0.98,,8.703878456613466e-06,0.02461048028802973
128,,,,-0.0004242,-0.98,,8.703878456613466e-06,0.02461048028802973
129,,,,-0.000424,-0.98,,8.703878456613466e-06,0.02461048028802973
130,,,,-0.0004238,-0.96,,8.703878456613466e-06,0.02409119818538505
131,,,,-0.0004236,-0.96,,8.703878456613466e-06,0.02409119818538505
132,,,,-0.0004234,-0.96,,8.703878456613466e-06,0.02409119818538505
133,,,,-0.0004232,-0.96,,8.703878456613466e-06,0.02409119818538505
134,,,,-0.000423,-0.96,,8.703878456613466e-06,0.02409119818538505
135,,,,-0.0004228,-0.94,,8.703878456613466e-06,0.023571930765372184
136,,,,-0.0004226,-0.94,,8.703878456613466e-06,0.023571930765372184
137,,,,-0.0004224,-0.94,,8.703878456613466e-06,0.023571930765372184
138,,,,-0.0004222,-0.94,,8.703878456613466e-06,0.023571930765372184
139,,,,-0.000422,-0.94,,8.703878456613466e-06,0.023571930765372184
140,,,,-0.0004218,-0.94,,8.703878456613466e-06,0.023571930765372184
141,,,,-0.0004216,-0.92,,8.703878456613466e-06,0.023052679020181144
142,,,,-0.0004214,-0.92,,8.703878456613466e-06,0.023052679020181144
143,,,,-0.0004212,-0.92,,8.703878456613466e-06,0.023052679020181144
144,,,,-0.000421,-0.92,,8.703878456613466e-06,0.023052679020181144
145,,,,-0.0004208,-0.92,,8.703878456613466e-06,0.023052679020181144
146,,,,-0.0004206,-0.9,,8.703878456613466e-06,0.02253344403342507
147,,,,-0.0004204,-0.9,,8.703878456613466e-06,0.02253344403342507
148,,,,-0.0004202,-0.9,,8.703878456613466e-06,0.02253344403342507
149,,,,-0.00042,-0.9,,8.703878456613466e-06,0.02253344403342507
150,,,,-0.0004198,-0.9,,8.703878456613466e-06,0.02253344403342507
151,,,,-0.0004196,-0.88,,8.703878456613466e-06,0.022014226990914303
152,,,,-0.0004194,-0.88,,8.703878456613466e-06,0.022014226990914303
153,,,,-0.0004192,-0.88,,8.703878456613466e-06,0.022014226990914303
154,,,,-0.000419,-0.88,,8.703878456613466e-06,0.022014226990914303
155,,,,-0.0004188,-0.88,,8.703878456613466e-06,0.022014226990914303
156,,,,-0.0004186,-0.86,,8.703878456613466e-06,0.021495029192990175
157,,,,-0.0004184,-0.86,,8.703878456613466e-06,0.021495029192990175
158,,,,-0.0004182,-0.86,,8.703878456613466e-06,0.021495029192990175
159,,,,-0.000418,-0.86,,8.703878456613466e-06,0.021495029192990175
160,,,,-0.0004178,-0.86,,8.703878456613466e-06,0.021495029192990175
161,,,,-0.0004176,-0.84,,8.703878456613466e-06,0.02097585206868841
162,,,,-0.0004174,-0.84,,8.703878456613466e-06,0.02097585206868841
163,,,,-0.0004172,-0.84,,8.703878456613466e-06,0.02097585206868841
164,,,,-0.000417,-0.84,,8.703878456613466e-06,0.02097585206868841
165,,,,-0.0004168,-0.84,,8.703878456613466e-06,0.02097585206868841
166,,,,-0.0004166,-0.82,,8.703878456613466e-06,0.020456697192056682
167,,,,-0.0004164,-0.82,,8.703878456613466e-06,0.020456697192056682
168,,,,-0.0004162,-0.82,,8.703878456613466e-06,0.020456697192056682
169,,,,-0.000416,-0.82,,8.703878456613466e-06,0.020456697192056682
170,,,,-0.0004158,-0.82,,8.703878456613466e-06,0.020456697192056682
171,,,,-0.0004156,-0.8,,8.703878456613466e-06,0.019937566301018284
172,,,,-0.0004154,-0.8,,8.703878456613466e-06,0.019937566301018284
173,,,,-0.0004152,-0.8,,8.703878456613466e-06,0.019937566301018284
174,,,,-0.000415,-0.8,,8.703878456613466e-06,0.019937566301018284
175,,,,-0.0004148,-0.8,,8.703878456613466e-06,0.019937566301018284
176,,,,-0.0004146,-0.78,,8.703878456613466e-06,0.019418461319257507
177,,,,-0.0004144,-0.78,,8.703878456613466e-06,0.019418461319257507
178,,,,-0.0004142,-0.78,,8.703878456613466e-06,0.019418461319257507
179,,,,-0.000414,-0.78,,8.703878456613466e-06,0.019418461319257507
180,,,,-0.0004138,-0.78,,8.703878456613466e-06,0.019418461319257507
181,,,,-0.0004136,-0.76,,8.703878456613466e-06,0.01889938438170672
182,,,,-0.0004134,-0.76,,8.703878456613466e-06,0.01889938438170672
183,,,,-0.0004132,-0.76,,8.703878456613466e-06,0.01889938438170672
184,,,,-0.000413,-0.76,,8.703878456613466e-06,0.01889938438170672
185,,,,-0.0004128,-0.76,,8.703878456613466e-06,0.01889938438170672
186,,,,-0.0004126,-0.74,,8.703878456613466e-06,0.01838033786434569
187,,,,-0.0004124,-0.74,,8.703878456613466e-06,0.01838033786434569
188,,,,-0.0004122,-0.74,,8.703878456613466e-06,0.01838033786434569
189,,,,-0.000412,-0.74,,8.703878456613466e-06,0.01838033786434569
190,,,,-0.0004118,-0.72,,8.703878456613466e-06,0.01786132441918851
191,,,,-0.0004116,-0.72,,8.703878456613466e-06,0.01786132441918851
192,,,,-0.0004114,-0.72,,8.703878456613466e-06,0.01786132441918851
193,,,,-0.0004112,-0.72,,8.703878456613466e-06,0.01786132441918851
194,,,,-0.000411,-0.72,,8.703878456613466e-06,0.01786132441918851
195,,,,-0.0004108,-0.7,,8.703878456613466e-06,0.017342347015542617
196,,,,-0.0004106,-0.7,,8.703878456613466e-06,0.017342347015542617
197,,,,-0.0004104,-0.7,,8.703878456613466e-06,0.017342347015542617
198,,,,-0.0004102,-0.7,,8.703878456613466e-06,0.017342347015542617
199,,,,-0.00041,-0.68,,8.703878456613466e-06,0.016823408988891043
200,,,,-0.0004098,-0.68,,8.703878456613466e-06,0.016823408988891043
201,,,,-0.0004096,-0.68,,8.703878456613466e-06,0.016823408988891043
202,,,,-0.0004094,-0.68,,8.703878456613466e-06,0.016823408988891043
203,,,,-0.0004092,-0.68,,8.703878456613466e-06,0.016823408988891043
204,,,,-0.000409,-0.66,,8.703878456613466e-06,0.016304514099092313
205,,,,-0.0004088,-0.66,,8.703878456613466e-06,0.016304514099092313
206,,,,-0.0004086,-0.66,,8.703878456613466e-06,0.016304514099092313
207,,,,-0.0004084,-0.66,,8.703878456613466e-06,0.016304514099092313
208,,,,-0.0004082,-0.64,,8.703878456613466e-06,0.015785666600036247
209,,,,-0.000408,-0.64,,8.703878456613466e-06,0.015785666600036247
