,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,2.000000e-08,,-4.498e-05,-1.76,,8.703878456613466e-06,0.04486849930638977
1,Trigger Point,2.250000000000e+03,,-4.496e-05,-1.76,,8.703878456613466e-06,0.04486849930638977
2,,,,-4.494e-05,-1.76,,8.703878456613466e-06,0.04486849930638977
3,,,,-4.492e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
4,,,,-4.49e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
5,Source,CH2,,-4.488e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
6,Vertical Units,V,,-4.486e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
7,Vertical Scale,5.000000e-01,,-4.484e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
8,Vertical Offset,0.000000e+00,,-4.482e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
9,Horizontal Units,s,,-4.48e-05,-1.78,,8.703878456613466e-06,0.04538801758181887
10,Horizontal Scale,5.000000e-06,,-4.478e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
11,Pt Fmt,Y,,-4.476e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
12,Yzero,0.000000e+00,,-4.474e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
13,Probe Atten,1.000000e+00,,-4.472e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
14,Model Number,TBS1062,,-4.47e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
15,Serial Number,C011224,,-4.468e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
16,Firmware Version,FV:v26.01,,-4.466e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
17,,,,-4.464e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
18,,,,-4.462e-05,-1.8,,8.703878456613466e-06,0.04590753805212712
19,,,,-4.46e-05,-1.82,,8.703878456613466e-06,0.04642706064363217
