time;Bx;By;Bz;BT
0,002244;-0,45;30,08;0,00;30,08
0,019664;-0,45;30,15;0,15;30,15
0,020611;-0,30;30,23;-0,23;30,23
0,026271;-0,38;30,08;-0,30;30,08
0,036090;-0,23;30,00;-0,15;30,00
0,052970;0,00;30,00;0,23;30,00
0,058144;0,08;30,15;0,30;30,15
0,066902;0,15;30,30;0,45;30,30
0,076312;0,15;30,23;0,45;30,23
0,086289;0,38;30,30;0,23;30,30
0,096341;0,08;30,45;0,38;30,45
0,107023;0,15;30,60;0,53;30,60
0,116288;-0,15;30,45;0,30;30,45
0,126323;-0,45;30,23;0,15;30,23
0,137577;-0,53;30,15;0,15;30,15
0,153468;-0,83;30,15;0,08;30,16
0,156391;-0,98;29,93;-0,15;29,94
0,166205;-1,05;29,93;0,00;29,94
0,176266;-0,75;29,70;-0,23;29,71
0,186250;-0,60;29,55;-0,15;29,56
0,196280;-0,60;29,63;-0,08;29,63
0,206315;-0,53;29,78;-0,23;29,78
0,216496;-0,38;29,93;-0,15;29,93
0,227550;-0,38;29,78;-0,15;29,78
0,236019;-0,15;30,00;0,08;30,00
0,254046;-0,38;30,00;0,15;30,00
0,256237;-0,45;30,23;0,53;30,23
0,266676;-0,60;30,38;0,38;30,38
0,276234;-0,68;30,53;0,23;30,53
0,286012;-0,60;30,53;0,45;30,53
0,296264;-0,45;30,30;0,53;30,31
0,306734;-0,23;30,38;0,38;30,38
0,316106;-0,15;30,38;0,15;30,38
0,326327;-0,23;30,30;0,15;30,30
0,336001;-0,15;30,38;-0,15;30,38
0,353125;-0,15;30,23;-0,08;30,23
0,355864;0,00;30,30;-0,15;30,30
0,366194;-0,15;30,23;-0,23;30,23
0,376332;-0,23;30,30;-0,30;30,30
0,386669;-0,45;30,53;0,00;30,53
0,396265;-0,60;30,53;0,15;30,53
0,406074;-0,30;30,45;0,00;30,45
0,416426;-0,45;30,45;0,15;30,45
0,426328;-0,30;30,60;0,15;30,60
0,436196;-0,30;30,60;0,38;30,60
0,447169;-0,15;30,75;0,30;30,75
0,460024;0,15;30,75;0,38;30,75
0,466200;0,30;30,60;0,30;30,60
0,476172;0,30;30,38;0,30;30,38
0,486169;0,08;30,45;0,30;30,45
0,496503;0,08;30,45;0,23;30,45
0,506533;-0,15;30,38;0,08;30,38
0,516466;-0,15;30,38;-0,08;30,38
0,526666;-0,38;30,08;-0,08;30,08
0,536240;-0,45;30,00;-0,23;30,00
0,546710;-0,60;29,85;-0,45;29,86
0,561585;-0,45;30,15;-0,23;30,15
0,566442;-0,23;30,15;-0,30;30,15
0,577302;-0,15;30,23;-0,08;30,23
0,587980;-0,08;30,15;-0,08;30,15
0,596906;-0,08;30,00;-0,23;30,00
0,606357;-0,08;30,15;-0,15;30,15
0,616209;0,08;30,30;-0,23;30,30
0,626823;0,15;30,23;-0,15;30,23
0,648157;0,15;30,23;-0,38;30,23
0,649244;0,15;30,15;-0,45;30,15
0,663076;0,00;30,23;-0,68;30,23
0,666275;-0,15;30,38;-0,53;30,38
0,675979;-0,08;30,15;-0,23;30,15
0,687651;0,15;30,30;-0,30;30,30
0,696441;0,08;30,53;-0,15;30,53
0,706456;0,08;30,60;-0,15;30,60
0,716952;0,00;30,68;-0,38;30,68
0,726790;-0,08;30,53;-0,08;30,53
0,741788;-0,08;30,23;0,08;30,23
0,746911;0,15;30,30;-0,15;30,30
0,758206;0,08;30,45;-0,15;30,45
0,766608;0,15;30,23;-0,08;30,23
0,776415;-0,08;30,23;-0,15;30,23
0,788417;-0,23;30,23;0,15;30,23
0,796462;-0,23;30,15;0,30;30,15
0,806852;-0,23;30,15;0,15;30,15
0,816098;-0,08;30,30;0,15;30,30
0,826490;0,00;30,23;0,15;30,23
0,849056;0,00;30,38;0,23;30,38
0,849907;-0,23;30,53;0,15;30,53
0,860150;-0,15;30,38;0,15;30,38
0,866127;-0,23;30,23;0,15;30,23
0,877089;-0,15;30,23;0,15;30,23
0,887603;0,00;30,45;0,30;30,45
0,896323;-0,15;30,60;0,15;30,60
0,907297;-0,23;30,45;0,15;30,45
0,916550;-0,23;30,45;0,08;30,45
0,926888;-0,15;30,38;-0,08;30,38
0,946493;-0,15;30,45;0,08;30,45
0,947151;-0,08;30,60;-0,30;30,60
0,957851;-0,30;30,45;-0,45;30,45
0,966290;-0,45;30,45;-0,45;30,46
0,976346;-0,53;30,38;-0,30;30,38
0,986332;-0,60;30,45;-0,45;30,46
0,996338;-0,75;30,38;-0,23;30,39
1,006318;-0,68;30,23;-0,23;30,23
1,016475;-0,68;30,15;-0,23;30,16
1,026311;-0,68;30,23;-0,15;30,23
1,047336;-0,38;30,53;-0,23;30,53
1,047995;-0,60;30,38;-0,30;30,38
1,058107;-0,68;30,30;-0,45;30,31
1,066305;-0,45;30,23;-0,45;30,23
1,076441;-0,53;30,38;-0,68;30,39
1,086219;-1,05;30,38;-0,68;30,40
1,096217;-1,20;30,45;-0,60;30,48
1,106279;-1,12;30,38;-0,45;30,40
1,116075;-1,20;30,08;-0,15;30,10
1,126622;-1,05;30,08;-0,15;30,09
1,146584;-1,20;29,85;-0,23;29,87
1,147291;-1,43;29,85;-0,38;29,89
1,161237;-1,35;29,70;-0,38;29,73
1,166248;-0,98;29,93;0,00;29,94
1,176093;-0,60;29,85;0,00;29,86
1,186868;-0,68;29,85;-0,23;29,86
1,196168;-0,68;30,00;-0,38;30,01
1,206733;-0,68;30,00;-0,38;30,01
1,220071;-0,38;30,00;-0,23;30,00
1,227121;-0,30;29,93;-0,23;29,93
1,237182;-0,15;30,00;-0,15;30,00
1,246366;-0,30;30,08;-0,60;30,08
1,265389;-0,30;30,15;-0,60;30,16
1,266823;-0,23;30,00;-0,45;30,00
1,276244;-0,30;30,08;-0,60;30,08
1,287080;-0,30;30,08;-0,30;30,08
1,296229;-0,45;30,38;-0,45;30,38
1,306433;-0,30;30,45;-0,30;30,45
1,318390;-0,38;30,45;-0,45;30,46
1,326323;-0,15;30,38;-0,45;30,38
1,336494;-0,30;30,30;-0,53;30,31
1,345983;-0,15;30,30;-0,53;30,30
1,361034;0,08;30,23;-0,45;30,23
1,370271;0,08;30,30;-0,53;30,30
1,377410;0,15;30,15;-0,30;30,15
1,386312;0,23;30,08;-0,30;30,08
1,396210;0,15;30,08;-0,23;30,08
1,406484;-0,15;30,00;-0,08;30,00
1,418469;0,15;30,00;-0,08;30,00
1,426443;-0,08;30,15;-0,23;30,15
1,436938;-0,45;30,15;-0,23;30,15
1,446146;-0,30;30,00;-0,38;30,00
1,456872;-0,30;30,00;-0,45;30,00
1,473331;-0,30;30,38;-0,23;30,38
1,476364;-0,23;30,38;-0,15;30,38
1,487008;-0,15;30,30;-0,15;30,30
1,496122;-0,15;30,45;-0,23;30,45
1,506280;-0,15;30,30;-0,23;30,30
1,517714;0,15;30,23;-0,08;30,23
