time;Bx;By;Bz;BT
1,414343;-0,15;25,95;-0,38;25,95
1,424445;-0,23;25,80;-0,45;25,80
1,434874;-0,45;25,80;-0,75;25,81
1,444982;-0,53;25,73;-0,53;25,74
1,455041;-0,45;25,35;-0,38;25,36
1,465170;-0,38;25,28;-0,53;25,28
1,474667;-0,30;25,50;-0,45;25,51
1,484873;-0,15;25,20;-0,45;25,20
1,494147;-0,15;25,28;-0,53;25,28
1,507935;-0,08;25,28;-0,38;25,28
1,513981;0,08;25,28;-0,23;25,28
1,524164;0,08;25,28;-0,23;25,28
1,534186;-0,08;25,13;-0,60;25,13
1,544059;-0,23;25,28;-0,30;25,28
1,554266;-0,38;25,50;0,08;25,50
1,564366;-0,45;25,28;-0,15;25,28
1,574073;-0,38;25,05;-0,15;25,05
1,584170;-0,15;25,20;-0,23;25,20
1,594106;-0,23;25,13;-0,45;25,13
1,604129;-0,08;25,20;-0,60;25,21
1,617724;-0,08;25,28;-0,23;25,28
1,624394;0,38;25,35;-0,45;25,36
1,643516;0,15;25,05;-0,68;25,06
1,644677;0,00;25,35;-0,60;25,36
1,656734;0,08;25,43;-0,45;25,43
1,664422;-0,15;25,43;-0,45;25,43
1,674583;0,15;25,35;-0,38;25,35
1,684646;0,15;25,35;-0,23;25,35
1,694565;0,15;25,50;-0,23;25,50
1,705921;0,15;25,35;-0,08;25,35
1,718166;0,15;25,35;-0,08;25,35
1,728255;0,15;25,50;-0,08;25,50
1,734638;0,15;25,43;-0,23;25,43
1,745044;0,38;25,35;-0,23;25,35
1,754688;0,30;25,58;-0,23;25,58
1,764691;0,23;25,35;-0,08;25,35
1,774423;0,30;25,13;-0,23;25,13
1,788011;0,15;25,28;-0,45;25,28
1,794354;0,23;25,28;-0,23;25,28
1,804101;0,15;25,05;-0,45;25,05
1,816355;0,30;25,05;-0,45;25,06
1,824295;0,00;25,20;-0,45;25,20
1,837386;-0,15;25,13;-0,53;25,13
1,844236;-0,38;25,35;-0,75;25,36
1,854207;-0,45;25,43;-0,45;25,43
1,865799;-0,30;25,35;-0,23;25,35
1,874639;-0,23;25,20;-0,23;25,20
1,884609;-0,15;25,35;0,00;25,35
1,894354;-0,23;25,35;0,15;25,35
1,904482;-0,15;25,35;0,23;25,35
1,920483;-0,15;25,28;0,45;25,28
1,924493;0,15;25,20;0,68;25,21
1,934459;0,15;25,35;0,38;25,35
1,947507;0,00;25,35;0,53;25,36
1,954408;-0,15;25,43;0,38;25,43
1,965998;-0,23;25,65;0,38;25,65
1,974428;-0,38;25,65;0,15;25,65
1,984328;-0,45;25,73;0,15;25,73
1,994484;-0,45;25,65;0,15;25,65
2,004482;-0,45;25,50;0,23;25,50
2,016418;-0,38;25,65;0,30;25,65
2,024716;-0,15;25,73;0,15;25,73
2,035700;-0,08;25,65;0,15;25,65
2,044219;0,08;25,35;0,00;25,35
2,058410;0,15;25,43;-0,15;25,43
2,074096;0,38;25,35;0,15;25,35
2,074678;0,68;25,35;0,15;25,36
2,088091;0,68;25,58;0,15;25,58
2,094286;0,68;25,35;0,23;25,36
2,104589;0,45;25,35;0,08;25,35
2,115022;0,45;25,43;0,08;25,43
2,124442;0,53;25,35;0,15;25,36
2,134396;0,45;25,43;0,15;25,43
2,144231;0,45;25,35;0,08;25,35
2,154623;0,45;25,35;-0,08;25,35
2,167625;0,15;25,20;-0,15;25,20
2,174866;0,15;25,20;-0,30;25,20
2,184494;-0,08;25,13;-0,23;25,13
2,194644;-0,08;25,35;-0,23;25,35
2,204290;-0,30;25,50;-0,23;25,50
2,214297;-0,23;25,43;0,00;25,43
2,224182;-0,30;25,50;-0,23;25,50
2,234431;-0,45;25,65;-0,15;25,65
2,244641;-0,38;25,65;0,00;25,65
2,254869;-0,30;25,65;-0,15;25,65
2,265051;-0,23;25,65;-0,15;25,65
2,277217;-0,23;25,43;-0,08;25,43
2,284339;0,00;25,35;0,00;25,35
2,294799;0,00;25,20;-0,08;25,20
2,305096;-0,15;25,05;0,00;25,05
2,315486;-0,30;24,98;-0,30;24,98
2,324166;-0,08;25,05;-0,53;25,06
2,334426;-0,30;25,05;-0,45;25,06
2,344531;-0,38;25,20;-0,45;25,21
2,356100;-0,45;25,35;-0,45;25,36
2,369394;-0,60;25,13;-0,45;25,14
2,374263;-0,60;25,28;-0,45;25,29
2,388648;-0,38;25,43;-0,60;25,43
2,394383;-0,30;25,28;-0,45;25,28
2,405367;-0,38;25,20;-0,38;25,21
2,414426;-0,15;25,13;-0,15;25,13
2,424435;0,15;25,13;0,15;25,13
2,435296;0,23;25,05;-0,15;25,05
2,444864;0,45;25,50;-0,30;25,51
2,455202;0,45;25,35;-0,30;25,36
2,465416;0,15;25,28;0,00;25,28
2,474535;0,15;25,35;0,15;25,35
2,484597;0,15;25,58;0,15;25,58
2,502470;0,00;25,35;0,08;25,35
2,504124;-0,23;25,20;-0,15;25,20
2,514619;-0,45;25,13;0,00;25,13
2,524510;-0,45;24,90;0,08;24,90
2,534402;-0,30;25,05;0,08;25,05
2,544800;-0,15;24,98;-0,15;24,98
2,555197;0,15;25,20;-0,08;25,20
2,564832;-0,08;24,98;-0,08;24,98
2,574201;0,23;25,05;-0,08;25,05
2,584602;0,45;25,28;-0,08;25,28
2,595300;0,68;25,35;-0,15;25,36
2,607720;0,60;25,35;-0,08;25,36
2,618066;0,30;25,35;0,00;25,35
2,625142;0,38;25,58;0,00;25,58
2,635049;0,23;25,35;-0,38;25,35
2,644402;0,45;25,35;-0,30;25,36
2,654989;0,23;25,58;-0,15;25,58
2,664373;0,30;25,35;-0,15;25,35
2,674438;0,30;25,58;-0,08;25,58
2,684534;0,15;25,43;-0,15;25,43
2,696273;0,23;25,65;-0,23;25,65
2,704743;0,15;25,65;0,00;25,65
2,718634;0,00;25,65;0,00;25,65
2,724324;-0,08;25,80;-0,08;25,80
2,735345;-0,08;25,58;-0,15;25,58
2,747883;-0,15;25,58;-0,15;25,58
2,756143;-0,30;25,65;0,08;25,65
2,764149;-0,30;25,65;0,15;25,65
2,774364;-0,30;25,50;0,45;25,51
2,784384;-0,45;25,20;0,08;25,20
2,799063;-0,38;25,20;0,08;25,20
2,804460;-0,23;25,28;0,08;25,28
2,814475;-0,30;25,20;0,00;25,20
2,828298;-0,45;25,28;0,08;25,28
2,834352;-0,45;25,20;0,00;25,20
2,845441;-0,15;25,35;-0,08;25,35
2,854336;-0,15;25,05;-0,38;25,05
2,864305;0,08;25,43;-0,15;25,43
2,874322;-0,15;25,50;-0,08;25,50
2,884730;-0,15;25,35;-0,08;25,35
2,899834;-0,23;25,65;-0,08;25,65
2,910136;-0,23;25,65;-0,08;25,65
2,918534;-0,15;25,65;-0,15;25,65
2,924373;-0,23;25,65;-0,15;25,65
2,937437;0,00;25,80;-0,23;25,80
2,945488;-0,15;25,50;-0,15;25,50
2,954579;0,15;25,28;-0,08;25,28
2,967142;0,15;25,35;0,15;25,35
2,975210;0,38;25,35;0,38;25,36
2,984592;0,45;25,35;0,38;25,36
2,994195;0,45;25,35;0,15;25,35
3,004314;0,60;25,35;0,00;25,36
3,014939;0,30;25,43;0,23;25,43
3,025727;0,30;25,35;0,38;25,35
3,034742;0,23;25,50;0,38;25,50
3,048531;0,15;25,35;-0,08;25,35
3,054537;0,23;25,28;-0,45;25,28
3,065024;0,00;25,20;-0,60;25,21
3,074206;0,00;24,98;-0,45;24,98
3,084443;-0,15;25,05;-0,15;25,05
3,094403;0,00;24,90;-0,45;24,90
3,104229;-0,08;25,05;-0,45;25,05
3,114690;-0,23;25,28;-0,68;25,29
3,124564;-0,38;25,20;-0,45;25,21
3,135192;-0,60;25,13;-0,45;25,14
3,146243;-0,15;25,28;-0,23;25,28
3,157311;-0,08;25,58;-0,38;25,58
3,164643;0,00;25,43;-0,45;25,43
3,174612;-0,15;25,65;-0,23;25,65
3,186862;0,00;25,58;-0,45;25,58
3,202011;0,15;25,35;-0,60;25,36
3,204236;0,23;25,28;-0,68;25,29
3,214195;0,30;25,43;-0,68;25,44
3,224375;0,08;25,43;-0,83;25,44
3,234659;-0,08;25,28;-0,83;25,29
3,244650;-0,08;25,20;-0,83;25,21
3,255330;0,08;25,13;-1,05;25,15
3,267462;-0,08;25,35;-0,98;25,37
3,274547;-0,15;25,28;-0,75;25,29
3,284465;0,00;25,58;-0,83;25,59
3,295390;0,08;25,35;-0,60;25,36
3,304429;0,23;25,35;-0,53;25,36
3,314717;0,45;25,65;-0,30;25,66
3,325039;0,45;25,65;-0,15;25,65
3,335317;0,38;25,73;-0,15;25,73
3,347831;0,45;25,43;-0,08;25,43
3,355458;0,53;25,50;-0,15;25,51
3,364438;0,30;25,43;0,08;25,43
3,378767;0,15;25,35;-0,30;25,35
3,384447;-0,15;25,28;-0,45;25,28
3,395271;-0,60;25,13;-0,45;25,14
3,404403;-0,60;25,20;-0,75;25,22
3,414438;-0,60;25,05;-0,60;25,06
3,426174;-0,75;25,13;-0,75;25,15
3,435247;-0,83;25,20;-0,98;25,23
3,444872;-0,60;25,20;-1,05;25,23
3,454514;-0,30;25,28;-0,68;25,29
3,469314;-0,08;25,20;-0,45;25,20
3,474692;0,15;25,28;-0,68;25,28
3,486838;0,15;25,35;-0,45;25,35
3,494839;0,15;25,58;-0,45;25,58
3,504534;0,38;25,65;-0,23;25,65
3,514408;0,53;25,65;-0,08;25,66
3,526466;0,53;25,50;0,15;25,51
3,534416;0,45;25,58;0,15;25,58
3,544339;0,45;25,73;0,08;25,73
3,554519;0,60;25,58;-0,15;25,58
3,565103;0,53;25,35;-0,23;25,36
3,575889;0,53;25,13;-0,15;25,13
3,584632;0,45;25,35;-0,30;25,36
3,597755;0,45;25,28;-0,45;25,28
3,604628;0,45;25,35;-0,45;25,36
3,615034;0,38;25,35;-0,45;25,36
3,630217;0,30;25,50;-0,23;25,50
3,634087;0,30;25,35;-0,23;25,35
3,644368;0,38;25,43;-0,08;25,43
3,654337;0,15;25,58;-0,15;25,58
3,664444;0,08;25,28;-0,15;25,28
3,675361;-0,08;25,13;-0,08;25,13
3,686067;-0,08;25,05;-0,08;25,05
3,695163;0,00;24,90;-0,38;24,90
3,708823;0,08;24,68;-0,53;24,68
3,714529;0,00;24,98;-0,15;24,98
3,725682;-0,38;24,83;0,00;24,83
3,734319;-0,23;24,75;0,08;24,75
3,744801;-0,23;24,68;0,08;24,68
3,754564;-0,08;24,83;0,15;24,83
3,767308;-0,08;24,98;0,15;24,98
3,781566;-0,15;24,98;0,45;24,98
3,784240;-0,45;25,05;0,45;25,06
3,794524;-0,53;24,75;0,23;24,76
3,804462;-0,30;25,05;-0,15;25,05
3,817170;-0,38;25,05;-0,15;25,05
3,825177;-0,45;25,13;0,15;25,13
3,834261;-0,38;25,05;0,00;25,05
3,844692;-0,45;25,20;0,15;25,20
3,854367;-0,45;25,20;0,38;25,21
3,864689;-0,15;25,35;0,15;25,35
3,878991;-0,23;25,35;0,08;25,35
3,884307;0,00;25,35;0,15;25,35
3,894353;0,23;25,43;0,15;25,43
3,904418;0,45;25,20;-0,23;25,21
3,915206;0,15;25,28;0,00;25,28
3,927306;0,00;24,98;-0,23;24,98
3,934135;-0,08;24,98;-0,68;24,98
3,945088;-0,23;24,90;-0,68;24,91
3,954433;-0,08;25,05;-0,38;25,05
3,965131;-0,45;25,05;-0,38;25,06
3,974616;-0,68;24,83;-0,53;24,84
3,984632;-0,53;25,05;-0,23;25,06
3,994673;-0,45;25,05;-0,23;25,06
4,005202;-0,15;25,20;-0,08;25,20
4,015791;-0,15;25,13;0,15;25,13
4,033209;0,08;25,20;0,23;25,20
4,039013;0,00;25,28;0,38;25,28
4,047327;0,30;25,35;0,53;25,36
4,055265;0,38;25,35;0,75;25,36
4,064497;0,15;25,20;0,75;25,21
4,074446;0,15;25,20;0,75;25,21
4,084589;0,15;25,20;0,45;25,20
4,094531;0,38;25,43;0,15;25,43
4,104597;0,45;25,35;0,38;25,36
4,114630;0,68;25,28;0,08;25,28
4,125378;0,45;25,20;-0,30;25,21
4,134611;0,23;25,28;-0,60;25,28
4,147485;0,38;25,43;-0,68;25,44
4,155386;0,45;25,65;-0,68;25,66
4,164570;0,45;25,58;-0,45;25,58
4,174577;0,30;25,35;-0,30;25,35
4,184346;0,00;25,50;-0,45;25,50
4,194531;-0,23;25,35;-0,23;25,35
4,204541;-0,15;25,35;-0,08;25,35
4,215039;0,00;25,35;0,00;25,35
4,224566;-0,15;25,20;-0,08;25,20
4,234940;-0,15;25,05;-0,45;25,05
4,245017;-0,45;25,13;-0,60;25,14
4,258140;-0,68;25,50;-0,60;25,52
4,265309;-0,23;25,58;-0,68;25,58
4,275133;-0,23;25,65;-0,75;25,66
