time;Bx;By;Bz;BT
0,003492;-0,38;20,25;-0,15;20,25
0,009053;-0,30;20,25;-0,15;20,25
0,034466;-0,38;20,55;-0,08;20,55
0,035306;-0,45;20,25;0,15;20,26
0,039039;-0,15;20,25;0,15;20,25
0,048898;-0,23;20,25;0,08;20,25
0,058727;-0,30;20,25;-0,15;20,25
0,068964;-0,38;20,25;-0,08;20,25
0,079009;-0,15;20,25;-0,08;20,25
0,089587;-0,15;20,25;0,08;20,25
0,098839;-0,15;20,25;-0,08;20,25
0,111567;-0,15;20,25;-0,15;20,25
0,119038;-0,15;20,25;-0,38;20,25
0,129109;-0,15;20,25;-0,38;20,25
0,138969;-0,15;20,48;-0,15;20,48
0,148836;-0,15;20,33;-0,15;20,33
0,168689;-0,15;20,25;-0,15;20,25
0,169643;-0,08;20,25;-0,30;20,25
0,178910;-0,15;20,40;-0,15;20,40
0,189014;-0,15;20,40;-0,08;20,40
0,198755;0,08;20,40;0,15;20,40
0,208876;0,23;20,48;0,15;20,48
0,221324;0,15;20,33;0,08;20,33
0,229197;0,15;20,25;0,23;20,25
0,238901;-0,15;20,25;0,23;20,25
0,249877;-0,38;20,10;0,53;20,11
0,259058;-0,15;20,18;0,45;20,18
0,269041;-0,15;20,18;0,30;20,18
0,279178;-0,15;20,25;0,23;20,25
0,302938;-0,08;20,25;0,08;20,25
0,304142;-0,08;20,18;0,15;20,18
0,309460;0,00;20,10;-0,08;20,10
0,320916;0,15;20,25;0,00;20,25
0,332884;0,15;20,18;-0,38;20,18
0,339164;0,15;20,03;-0,30;20,03
0,349425;0,08;19,95;-0,38;19,95
0,359063;0,08;19,73;-0,38;19,73
0,370930;-0,15;19,88;-0,15;19,88
0,379244;-0,23;19,95;-0,38;19,95
0,389291;-0,23;20,10;-0,15;20,10
0,398836;-0,23;20,18;-0,15;20,18
0,409772;0,00;20,25;-0,15;20,25
0,419012;-0,15;20,25;-0,38;20,25
0,428965;-0,08;20,48;-0,15;20,48
0,446424;-0,23;20,55;-0,08;20,55
0,448605;-0,23;20,55;-0,08;20,55
0,459872;-0,15;20,40;0,15;20,40
0,470069;-0,08;20,33;0,08;20,33
0,478885;-0,08;20,10;0,08;20,10
0,488965;-0,08;20,10;0,23;20,10
0,498701;-0,08;20,10;0,30;20,10
0,509071;-0,15;20,03;0,23;20,03
0,520608;-0,08;20,03;0,15;20,03
0,529232;0,00;19,95;0,08;19,95
0,539822;-0,15;19,88;0,08;19,88
0,551564;-0,23;19,95;0,08;19,95
0,559861;-0,23;20,03;0,15;20,03
0,576630;-0,30;20,10;-0,08;20,10
0,579040;-0,23;20,18;-0,15;20,18
0,591773;-0,23;20,10;0,08;20,10
0,598950;-0,08;19,95;0,30;19,95
0,609062;0,00;19,88;0,15;19,88
0,619721;0,15;20,03;-0,15;20,03
0,629010;0,23;20,03;0,08;20,03
0,638913;0,15;20,10;0,00;20,10
0,649483;0,30;20,10;0,15;20,10
0,662921;0,15;19,95;0,23;19,95
0,669221;-0,08;20,18;0,23;20,18
0,679390;-0,45;20,25;-0,08;20,26
0,688951;-0,45;20,33;0,30;20,33
0,699434;-0,68;20,18;0,45;20,19
0,709693;-0,90;20,03;0,15;20,05
0,726004;-0,90;19,88;0,23;19,90
0,730404;-1,05;19,95;0,15;19,98
0,740374;-0,90;20,03;0,08;20,05
0,748726;-0,75;19,73;0,15;19,74
0,759026;-0,53;19,80;0,00;19,81
0,771807;-0,53;19,73;-0,15;19,73
0,778721;-0,30;19,95;-0,15;19,95
0,789077;-0,15;19,95;-0,08;19,95
0,799044;-0,08;19,80;-0,08;19,80
0,809194;0,00;19,80;-0,15;19,80
0,819807;-0,15;19,73;-0,15;19,73
0,829931;-0,15;19,80;-0,38;19,80
0,838857;-0,08;20,03;-0,30;20,03
0,849410;0,00;20,03;-0,38;20,03
0,862476;-0,30;20,10;-0,23;20,10
0,875073;-0,45;20,25;-0,30;20,26
0,881642;-0,45;20,55;-0,30;20,56
0,889934;-0,75;20,48;-0,30;20,49
0,898945;-0,68;20,48;-0,30;20,49
0,908988;-0,53;20,55;-0,15;20,56
0,919008;-0,68;20,33;-0,08;20,34
0,929161;-1,05;20,48;0,15;20,50
0,939394;-0,83;20,25;-0,08;20,27
0,949650;-0,83;20,03;-0,08;20,04
0,959909;-0,75;19,95;-0,08;19,96
0,969123;-0,60;19,95;0,00;19,96
0,979484;-0,75;20,03;0,00;20,04
0,993396;-0,60;19,95;-0,15;19,96
0,999764;-0,53;20,03;-0,23;20,03
1,012352;-0,30;19,95;-0,38;19,96
1,025127;-0,30;19,88;-0,23;19,88
1,028788;-0,30;19,88;-0,15;19,88
1,038729;-0,53;19,95;-0,08;19,96
1,051355;-0,45;19,88;0,15;19,88
1,059016;-0,45;19,95;0,15;19,96
1,068861;-0,75;20,03;0,15;20,04
1,079242;-0,75;20,18;0,00;20,19
1,089078;-0,90;20,25;0,15;20,27
1,101806;-0,98;20,25;0,00;20,27
1,109031;-0,83;20,48;0,15;20,49
1,119248;-0,75;20,25;0,00;20,26
1,129317;-0,75;20,25;-0,08;20,26
1,138777;-0,60;20,10;0,00;20,11
1,149479;-0,15;20,18;0,15;20,18
1,159061;-0,23;20,03;0,15;20,03
1,170494;-0,23;19,95;-0,08;19,95
1,178959;0,00;20,10;0,08;20,10
1,189008;-0,15;20,18;-0,15;20,18
1,198733;-0,15;20,40;-0,15;20,40
1,212707;-0,23;20,40;-0,08;20,40
1,219828;-0,23;20,33;-0,30;20,33
1,228945;-0,30;20,25;-0,30;20,25
1,239391;-0,15;20,18;-0,15;20,18
1,250357;-0,15;20,25;-0,15;20,25
1,259042;-0,15;20,10;-0,15;20,10
1,269071;-0,08;19,95;-0,15;19,95
1,279633;-0,08;19,88;-0,08;19,88
1,288948;-0,08;19,95;-0,30;19,95
1,304324;-0,15;19,95;-0,30;19,95
1,309070;-0,23;19,95;-0,45;19,96
1,322988;-0,15;20,18;-0,53;20,18
1,328913;0,00;20,18;-0,38;20,18
1,339659;0,00;20,10;-0,45;20,11
1,349323;-0,08;20,18;-0,15;20,18
1,358946;0,00;20,18;-0,15;20,18
1,369959;-0,15;20,10;-0,08;20,10
1,378897;-0,15;19,95;-0,08;19,95
1,389220;-0,30;19,80;0,30;19,80
1,401241;-0,30;19,80;0,38;19,81
1,408809;-0,23;19,80;0,38;19,80
1,419369;-0,30;19,80;0,53;19,81
1,443698;-0,15;19,80;0,00;19,80
1,444660;-0,08;19,80;-0,08;19,80
1,456766;0,23;19,88;-0,15;19,88
1,458779;0,45;20,10;0,15;20,11
1,468960;0,60;20,10;0,00;20,11
1,478789;0,45;19,95;-0,15;19,96
1,489036;0,15;19,88;0,08;19,88
1,498760;0,38;19,95;-0,15;19,95
1,508945;0,38;19,88;0,15;19,88
1,519260;0,23;19,88;0,08;19,88
1,530066;0,15;19,95;0,00;19,95
1,541925;0,00;19,88;-0,15;19,88
1,552496;0,00;19,88;-0,15;19,88
1,559726;-0,15;19,88;-0,15;19,88
1,568985;-0,08;20,10;-0,30;20,10
1,578857;-0,45;19,95;-0,30;19,96
1,589220;-0,53;19,95;-0,23;19,96
1,599191;-0,45;19,88;-0,08;19,88
1,608991;-0,45;19,65;0,00;19,66
1,619641;-0,45;19,73;0,30;19,73
1,629807;-0,45;19,80;0,15;19,81
1,639561;-0,30;19,95;0,15;19,95
1,653824;-0,23;19,65;0,30;19,65
1,659860;-0,15;19,73;0,23;19,73
1,669897;-0,15;19,80;0,30;19,80
1,679003;-0,15;19,73;0,30;19,73
1,690431;-0,23;19,95;0,38;19,95
1,709719;-0,15;19,95;0,30;19,95
1,710391;-0,23;20,18;0,75;20,19
1,722791;-0,38;19,88;0,45;19,88
1,729396;-0,30;19,88;0,30;19,88
1,738960;-0,23;19,95;0,38;19,95
1,748979;-0,08;19,95;0,15;19,95
1,761334;0,08;19,95;0,15;19,95
1,769041;0,15;19,88;-0,08;19,88
1,779279;-0,15;19,65;-0,30;19,65
1,788950;0,00;19,58;-0,45;19,58
1,798971;-0,08;19,73;-0,38;19,73
1,808785;-0,08;19,95;-0,23;19,95
1,819655;-0,08;19,95;-0,30;19,95
1,829520;-0,23;20,18;-0,45;20,18
1,838972;-0,30;20,25;-0,68;20,26
1,849729;-0,38;20,03;-0,68;20,04
1,858706;-0,15;20,33;-0,53;20,33
1,871766;-0,38;20,18;-0,68;20,19
1,881269;-0,45;20,40;-0,68;20,42
1,888937;-0,60;20,25;-0,75;20,27
1,899176;-0,45;20,48;-0,53;20,49
1,908663;-0,30;20,48;-0,30;20,48
1,919038;-0,38;20,55;-0,15;20,55
1,929341;-0,38;20,70;-0,15;20,70
1,939316;-0,30;20,62;-0,08;20,63
1,949334;0,00;20,78;-0,15;20,78
1,958976;0,15;20,55;0,08;20,55
1,969076;0,15;20,70;0,08;20,70
1,988731;-0,08;20,62;-0,15;20,63
1,989275;-0,23;20,55;-0,30;20,55
2,000666;-0,23;20,55;-0,38;20,55
2,009733;-0,23;20,55;-0,53;20,56
2,019021;-0,38;20,40;-0,53;20,41
2,030776;-0,53;20,33;-0,68;20,34
2,038935;-0,75;20,33;-0,60;20,35
