time;Bx;By;Bz;BT
1,451673;0,38;25,35;0,45;25,36
1,465291;0,23;25,58;0,30;25,58
1,471737;0,08;25,58;0,30;25,58
1,484617;-0,08;25,65;0,38;25,65
1,492812;-0,23;25,80;0,45;25,80
1,501694;-0,45;25,73;0,15;25,73
1,512750;-0,38;25,65;0,08;25,65
1,522356;-0,08;25,80;0,15;25,80
1,546369;0,15;25,88;0,00;25,88
1,546807;0,23;25,73;0,15;25,73
1,562847;0,38;25,73;0,15;25,73
1,563938;0,68;25,65;0,15;25,66
1,574437;0,90;25,50;0,08;25,52
1,581936;1,05;25,35;0,00;25,37
1,591525;0,75;25,50;0,08;25,51
1,601526;0,45;25,50;-0,15;25,50
1,611461;0,30;25,50;0,00;25,50
1,622327;0,08;25,43;-0,08;25,43
1,633841;0,23;25,58;-0,08;25,58
1,641533;-0,08;25,35;-0,15;25,35
1,652028;-0,15;25,50;-0,23;25,50
1,661625;-0,15;25,65;0,08;25,65
1,672278;-0,23;25,58;0,00;25,58
1,693209;-0,15;25,65;0,15;25,65
1,693836;-0,15;25,73;0,15;25,73
1,704490;-0,08;25,65;0,38;25,65
1,711297;-0,15;25,58;0,23;25,58
1,721582;-0,08;25,65;0,38;25,65
1,731907;0,00;25,65;0,38;25,65
1,741550;-0,08;25,65;0,38;25,65
1,751528;0,00;25,95;0,45;25,95
1,761512;-0,08;25,73;0,15;25,73
1,771810;-0,30;25,65;-0,15;25,65
1,783168;-0,08;25,73;-0,15;25,73
1,794945;-0,15;25,80;0,08;25,80
1,802047;-0,15;25,80;0,15;25,80
1,811611;-0,15;25,65;0,23;25,65
1,823221;-0,23;25,65;0,08;25,65
1,835246;-0,15;25,43;-0,15;25,43
1,842092;0,08;25,58;-0,08;25,58
1,851759;0,38;25,43;0,30;25,43
1,861571;0,15;25,35;0,00;25,35
1,871762;0,15;25,35;-0,23;25,35
1,881801;0,38;25,35;-0,30;25,35
1,891261;0,30;25,50;-0,30;25,50
1,904309;0,30;25,65;-0,23;25,65
1,911149;0,23;25,65;-0,08;25,65
1,921959;0,23;25,65;0,15;25,65
1,932453;0,15;25,88;0,00;25,88
1,941195;0,23;25,88;0,00;25,88
1,951670;0,15;25,95;0,00;25,95
1,961477;0,00;25,95;-0,15;25,95
1,973479;0,15;25,88;-0,30;25,88
1,986343;0,15;25,65;-0,45;25,65
1,991925;0,15;25,65;-0,45;25,65
2,001432;0,00;25,58;-0,45;25,58
2,014309;0,15;25,65;-0,45;25,65
2,021380;0,08;25,65;-0,30;25,65
2,031487;0,08;25,65;-0,15;25,65
2,041320;0,08;25,73;0,00;25,73
2,051642;0,00;25,73;0,15;25,73
2,061298;0,15;25,88;0,23;25,88
2,071676;0,23;25,88;0,45;25,88
2,081550;0,15;25,73;0,38;25,73
2,091563;-0,08;25,65;0,38;25,65
2,101483;-0,08;25,65;0,15;25,65
2,111553;-0,15;25,58;0,15;25,58
2,124349;-0,38;25,50;0,15;25,50
2,131511;-0,15;25,43;0,23;25,43
2,141924;-0,23;25,43;0,23;25,43
2,152812;-0,45;25,43;0,15;25,43
2,161647;-0,08;25,65;0,15;25,65
2,173016;-0,08;25,65;0,23;25,65
2,181467;-0,15;25,65;0,38;25,65
2,191746;0,15;25,95;0,30;25,95
2,201519;0,15;25,88;0,30;25,88
2,211891;-0,15;25,95;0,15;25,95
2,221873;-0,38;25,95;0,00;25,95
2,237355;-0,38;25,88;-0,08;25,88
2,242275;-0,53;25,73;-0,15;25,73
2,252449;-0,60;25,73;-0,45;25,74
2,261241;-0,45;25,65;-0,45;25,66
2,271596;-0,75;25,43;-0,45;25,44
2,281866;-0,60;25,35;-0,75;25,37
2,291446;-0,45;25,20;-0,75;25,22
2,301939;0,00;25,50;-0,75;25,51
2,311783;0,15;25,35;-0,90;25,37
2,322370;0,15;25,43;-0,90;25,44
2,332437;0,15;25,35;-0,83;25,36
2,344333;0,15;25,20;-1,05;25,22
2,352098;0,38;25,35;-1,05;25,37
2,364723;0,15;25,58;-0,75;25,59
2,371745;0,15;25,65;-0,45;25,65
2,381919;-0,15;25,50;-0,45;25,50
2,391986;-0,08;25,58;-0,15;25,58
2,402811;-0,15;25,35;-0,15;25,35
2,415153;0,08;25,35;-0,45;25,35
2,421613;0,15;25,58;-0,30;25,58
2,431785;0,08;25,43;-0,45;25,43
2,441385;0,08;25,35;-0,45;25,35
2,454453;0,15;25,35;-0,75;25,36
2,462602;0,08;25,20;-1,05;25,22
2,471905;0,00;25,13;-1,20;25,15
2,482933;-0,15;25,28;-1,20;25,30
2,491677;-0,15;25,50;-0,83;25,51
2,502825;-0,38;25,35;-0,75;25,36
2,516708;-0,30;25,28;-0,83;25,29
2,521966;-0,30;25,28;-0,83;25,29
2,531879;-0,30;25,43;-0,60;25,43
2,541600;-0,38;25,50;-0,38;25,51
2,551689;-0,23;25,88;-0,23;25,88
2,564624;-0,23;25,95;-0,15;25,95
2,571567;-0,15;25,95;-0,23;25,95
2,581712;0,15;25,88;-0,30;25,88
2,591913;0,08;25,65;-0,15;25,65
2,601399;0,23;25,65;-0,08;25,65
2,611504;0,30;25,58;-0,15;25,58
2,621599;0,08;25,65;-0,15;25,65
2,631744;-0,08;25,35;-0,23;25,35
2,641621;-0,08;25,35;-0,23;25,35
2,652514;-0,08;25,35;-0,23;25,35
2,670982;-0,15;25,35;0,00;25,35
2,673838;0,00;25,50;0,00;25,50
2,686559;0,08;25,65;-0,15;25,65
2,691296;-0,15;25,43;0,00;25,43
2,701341;0,15;25,50;-0,08;25,50
